Year,Rank,Title
2017,1,Star Wars: Episode VIII - The Last Jedi
2017,2,Beauty and the Beast
2017,3,Wonder Woman
2017,4,Guardians of the Galaxy Vol. 2
2017,5,Spider-Man: Homecoming
2017,6,It
2017,7,Thor: Ragnarok
2017,8,Despicable Me 3
2017,9,Logan
2017,10,The Fate of the Furious
2017,11,Justice League
2017,12,Dunkirk
2017,13,Coco
2017,14,The Lego Batman Movie
2017,15,Get Out
2017,16,The Boss Baby
2017,17,Pirates of the Caribbean: Dead Men Tell No Tales
2017,18,Jumanji: Welcome to the Jungle
2017,19,Kong: Skull Island
2017,20,Hidden Figures
2017,21,Cars 3
2017,22,War for the Planet of the Apes
2017,23,Split
2017,24,Transformers: The Last Knight
2017,25,Rogue One: A Star Wars Story
2017,26,Wonder
2017,27,La La Land
2017,28,Sing
2017,29,Girls Trip
2017,30,Fifty Shades Darker
2017,31,Baby Driver
2017,32,Annabelle: Creation
2017,33,Daddy's Home 2
2017,34,Murder on the Orient Express
2017,35,Kingsman: The Golden Circle
2017,36,John Wick: Chapter 2
2017,37,Blade Runner 2049
2017,38,The Emoji Movie
2017,39,Power Rangers
2017,40,The Mummy
2017,41,The Hitman's Bodyguard
2017,42,Alien: Covenant
2017,43,Captain Underpants: The First Epic Movie
2017,44,A Bad Moms Christmas
2017,45,A Dog's Purpose
2017,46,Pitch Perfect 3
2017,47,The Lego Ninjago Movie
2017,48,Baywatch
2017,49,The Shack
2017,50,Happy Death Day
2017,51,Ferdinand
2017,52,Atomic Blonde
2017,53,American Made
2017,54,The Dark Tower
2017,55,The Greatest Showman
2017,56,Boo 2! A Madea Halloween
2017,57,Lion
2017,58,Snatched
2017,59,The Great Wall
2017,60,Smurfs: The Lost Village
2017,61,Going in Style
2017,62,All Eyez on Me
2017,63,xXx: Return of Xander Cage
2017,64,Passengers
2017,65,47 Meters Down
2017,66,The Big Sick
2017,67,Moana
2017,68,Ghost in the Shell
2017,69,Valerian and the City of a Thousand Planets
2017,70,The Star
2017,71,King Arthur: Legend of the Sword
2017,72,Jigsaw
2017,73,American Assassin
2017,74,The Foreigner
2017,75,"Everything, Everything"
2017,76,Wind River
2017,77,Geostorm
2017,78,Monster Trucks
2017,79,Fist Fight
2017,80,How to Be a Latin Lover
2017,81,Lady Bird
2017,82,Fences
2017,83,Patriots Day
2017,84,Kidnap
2017,85,Underworld: Blood Wars
2017,86,The Mountain Between Us
2017,87,Life
2017,88,Why Him?
2017,89,The Nut Job 2: Nutty by Nature
2017,90,Rings
2017,91,Logan Lucky
2017,92,Home Again
2017,93,Resident Evil: The Final Chapter
2017,94,The House
2017,95,Gifted
2017,96,"Three Billboards Outside Ebbing, Missouri"
2017,97,The Bye Bye Man
2017,98,Victoria & Abdul
2017,99,Rough Night
2017,100,My Little Pony: The Movie
2017,102,Sleepless
2017,103,Diary of a Wimpy Kid: The Long Haul
2017,104,Manchester by the Sea
2017,105,The Circle
2017,106,Baahubali 2: The Conclusion
2017,107,Chips
2017,108,Assassin's Creed
2017,109,Only the Brave
2017,110,Darkest Hour
2017,111,The Disaster Artist
2017,112,Mother!
2017,113,The Zookeeper's Wife
2017,114,The Glass Castle
2017,115,Downsizing
2017,116,Flatliners
2017,117,Detroit
2017,118,The Shape of Water
2017,119,Moonlight
2017,120,The Case for Christ
2017,121,Wish Upon
2017,122,It Comes At Night
2017,123,Born in China
2017,124,Megan Leavey
2017,125,Father Figures
2017,126,The Founder
2017,127,All the Money in the World
2017,128,Battle of the Sexes
2017,129,Before I Fall
2017,130,"Roman J. Israel, Esq."
2017,131,Unforgettable
2017,132,Fantastic Beasts and Where to Find Them
2017,133,The Beguiled
2017,134,Live by Night
2017,135,The Belko Experiment
2017,136,Thank You for Your Service
2017,137,Marshall
2017,138,Rock Dog
2017,139,Arrival
2017,140,The Lost City of Z
2017,141,The Promise
2017,142,A Cure for Wellness
2017,143,The Space Between Us
2017,144,Jackie
2017,145,Gold
2017,146,Let There Be Light
2017,147,I Am Not Your Negro
2017,148,Beatriz at Dinner
2017,149,Birth of the Dragon
2017,150,Silence
2017,151,The Snowman
2017,152,Collateral Beauty
2017,153,Same Kind of Different as Me
2017,154,Lowriders
2017,155,Loving Vincent
2017,156,Maudie
2017,157,Just Getting Started
2017,158,All Saints
2017,159,Suburbicon
2017,160,Paris Can Wait
2017,161,The Man Who Invented Christmas
2017,162,20th Century Women
2017,163,Molly's Game
2017,164,The Florida Project
2017,165,Your Name.
2017,166,Office Christmas Party
2017,167,A Beautiful Planet
2017,168,Tiger Zinda Hai
