,2013,2014,2015,2016,2017,2018,2019,2020,2021
Dwayne Johnson,6.116666666666666,6.133333333333334,6.125,6.172222222222222,6.178947368421052,6.204545454545454,6.183333333333333,6.244444444444444,6.244444444444444
Mark Wahlberg,6.525000000000001,6.52857142857143,6.4375,6.416666666666667,6.4526315789473685,6.3909090909090915,6.416666666666667,6.416666666666667,6.416666666666667
Samuel L. Jackson,6.661538461538461,6.642857142857143,6.713333333333334,6.835294117647059,6.827777777777778,6.82,6.82,6.8478260869565215,6.8478260869565215
Owen Wilson,6.3999999999999995,6.362500000000001,6.352941176470589,6.377777777777778,6.265000000000001,6.326086956521739,6.326086956521739,6.326086956521739,6.326086956521739
Johnny Depp,6.873333333333333,6.84375,6.811764705882353,6.747368421052631,6.719999999999999,6.714285714285713,6.643478260869563,6.643478260869563,6.643478260869563
Will Ferrell,6.473333333333333,6.4625,6.53529411764706,6.489473684210527,6.4,6.345454545454545,6.234782608695652,6.234782608695652,6.234782608695652
Steve Carell,6.746153846153847,6.753333333333334,6.71875,6.7823529411764705,6.772222222222222,6.744999999999999,6.7409090909090885,6.7409090909090885,6.7409090909090885
Hugh Jackman,6.984615384615383,7.039999999999998,7.1,7.0055555555555555,7.026315789473684,7.055,7.055,7.038095238095237,7.038095238095237
Denzel Washington,7.135714285714286,7.106666666666667,7.1125,7.1125,7.105555555555556,7.0736842105263165,7.055,7.055,7.055
Adam Sandler,5.957142857142857,5.920000000000001,5.95625,5.972222222222222,5.972222222222222,5.972222222222222,5.989473684210526,6.0649999999999995,6.0649999999999995
Ben Stiller,6.38125,6.38125,6.370588235294117,6.366666666666666,6.278947368421052,6.278947368421052,6.278947368421052,6.278947368421052,6.278947368421052
Matt Damon,7.325,7.269230769230769,7.185714285714285,7.239999999999999,7.2,7.044444444444445,7.044444444444445,7.1000000000000005,7.1000000000000005
Bruce Willis,6.835714285714286,6.725,6.725,6.725,6.725,6.725,6.705882352941177,6.705555555555556,6.705555555555556
Matthew McConaughey,6.1,6.290909090909091,6.483333333333333,6.483333333333333,6.64,6.58235294117647,6.572222222222222,6.572222222222222,6.572222222222222
