Year,Rank,Title
2000,1,How the Grinch Stole Christmas
2000,2,Mission: Impossible II
2000,3,Gladiator
2000,4,The Perfect Storm
2000,5,Meet the Parents
2000,6,X-Men
2000,7,Scary Movie
2000,8,What Lies Beneath
2000,9,Dinosaur
2000,10,Erin Brockovich
2000,11,Nutty Professor II: The Klumps
2000,12,Charlie's Angels
2000,13,Big Momma's House
2000,14,Remember the Titans
2000,15,The Patriot
2000,16,What Women Want
2000,17,Chicken Run
2000,18,Gone in 60 Seconds
2000,19,Cast Away
2000,20,"Me, Myself & Irene"
2000,21,Space Cowboys
2000,22,Scream 3
2000,23,Unbreakable
2000,24,U-571
2000,25,Hollow Man
2000,26,Stuart Little
2000,27,Shaft
2000,28,The Green Mile
2000,29,The Kid
2000,30,Rugrats in Paris: The Movie
2000,31,Road Trip
2000,32,Bring It On
2000,33,Rules of Engagement
2000,34,The Cell
2000,35,Mission to Mars
2000,36,Coyote Ugly
2000,37,Snow Day
2000,38,Fantasia 2000
2000,39,American Beauty
2000,40,Next Friday
2000,41,The Whole Nine Yards
2000,42,Shanghai Noon
2000,43,Romeo Must Die
2000,44,102 Dalmatians
2000,45,The Cider House Rules
2000,46,Final Destination
2000,47,The Talented Mr. Ripley
2000,48,Galaxy Quest
2000,49,The Road to El Dorado
2000,50,The Hurricane
2000,51,Vertical Limit
2000,52,Men of Honor
2000,53,Toy Story 2
2000,54,The Tigger Movie
2000,55,Frequency
2000,56,The Replacements
2000,57,Pokémon the Movie 2000
2000,58,Miss Congeniality
2000,59,Any Given Sunday
2000,60,The Beach
2000,62,Pitch Black
2000,63,The Emperor's New Groove
2000,64,The Family Man
2000,65,Little Nicky
2000,66,The Original Kings of Comedy
2000,67,Autumn in New York
2000,68,Bedazzled
2000,69,28 Days
2000,70,Keeping the Faith
2000,71,Bounce
2000,72,Hanging Up
2000,73,The Flintstones in Viva Rock Vegas
2000,74,The Skulls
2000,75,Mysteries of Egypt
2000,76,The 6th Day
2000,77,My Dog Skip
2000,78,Where the Heart Is
2000,79,"Dude, Where's My Car?"
2000,80,Pay It Forward
2000,81,Return to Me
2000,82,Almost Famous
2000,83,The Legend of Bagger Vance
2000,84,The Art of War
2000,85,Bless the Child
2000,86,The Watcher
2000,87,"Girl, Interrupted"
2000,88,Love & Basketball
2000,89,High Fidelity
2000,90,Book of Shadows: Blair Witch 2
2000,91,Proof of Life
2000,92,The Adventures of Rocky & Bullwinkle
2000,93,Nurse Betty
2000,94,Bicentennial Man
2000,95,Deuce Bigalow: Male Gigolo
2000,96,Reindeer Games
2000,97,Titan A.E.
2000,98,Boys and Girls
2000,99,Magnolia
2000,100,Battlefield Earth
2000,101,Urban Legends: Final Cut
2000,102,Down to You
2000,103,Wonder Boys
2000,104,Anna and the King
2000,105,The Ninth Gate
2000,106,Dracula 2000
2000,107,The Contender
2000,108,The Sixth Sense
2000,109,Small Time Crooks
2000,110,Red Planet
2000,111,Center Stage
2000,112,Best in Show
2000,113,Boiler Room
2000,114,Billy Elliot
2000,115,Lost Souls
2000,116,Eye of the Beholder
2000,117,Thomas and the Magic Railroad
2000,118,Loser
2000,119,Drowning Mona
2000,120,Bait
2000,121,American Psycho
2000,122,Get Carter
2000,123,The Next Best Thing
2000,124,Man on the Moon
2000,125,Snow Falling on Cedars
2000,126,Michael Jordan to the Max
2000,127,Supernova
2000,128,Dungeons & Dragons
2000,129,The Ladies Man
2000,130,The Little Vampire
2000,131,Dr. T & the Women
2000,132,The Crew
2000,133,Everest
2000,134,Angela's Ashes
2000,135,Highlander: Endgame
2000,136,Ready to Rumble
2000,137,"Crouching Tiger, Hidden Dragon"
2000,138,Saving Grace
2000,139,The Legend of Drunken Master
2000,140,The World Is Not Enough
2000,141,Here on Earth
2000,142,Lucky Numbers
2000,143,Godzilla 2000
2000,144,3 Strikes
2000,145,Digimon: The Movie
2000,146,The End of the Affair
2000,147,Sleepy Hollow
2000,148,Boys Don't Cry
2000,149,Whatever It Takes
2000,150,Cirque du Soleil: Journey of Man
2000,151,Play It to the Bone
2000,152,T-Rex: Back to the Cretaceous
2000,153,Galapagos
2000,154,Screwed
2000,155,All the Pretty Horses
2000,156,I Dreamed of Africa
2000,157,All About My Mother
2000,158,Sunshine
2000,159,What Planet Are You From?
2000,160,Croupier
2000,161,Topsy-Turvy
2000,162,The Way of the Gun
2000,163,Where the Money Is
2000,164,The In Crowd
2000,165,Black & White
