timestamp,text,like_count,reply_count,author
2020-06-05T10:11:25Z,Thiller,0,0,Nutan Pandey
2020-06-04T23:37:52Z,2020: Annabelle: Stuck at Home,0,0,Raven Gale
2020-06-03T07:34:26Z,2021 : Annabelle comes home after battling coronavirus,0,0,Tanishq Akkian Shivam
2020-06-02T18:11:38Z,2020: Annabelle got sick,1,0,Hannah Roe
2020-06-02T17:26:20Z,Nice horror movie,0,0,Sangay Dorjee
2020-05-31T15:36:20Z,Yo James Wan need jesus,0,0,wie
2020-05-31T07:30:59Z,"""I touched everything.""  Only a few 3 spirits were shown",0,0,Pogi
2020-05-31T03:08:05Z,•Life- What do you hate the most 'bout me? •Me- 1:22  WOW. WHAT A MOOD.,1,0,•EUPHORIA•
2020-05-29T15:18:20Z,So at the and edd plays a song  in every part,0,0,thug life
2020-05-26T12:00:12Z,2020 : Annabelle: quarantine,1,0,Ananya Tr
2020-05-26T08:40:29Z,Annabelle Creation was way better and scarier than this movie,0,0,Clara Frost
2020-05-25T19:30:36Z,Deci sa moara oprea daca n-o visez la noapte pe topia deghizata in calugarita aia sau in papusa asta,0,0,B0Gd4N
2020-05-20T20:54:39Z,Who watched it and comes to watch the trailer? 😁,0,0,Ayal Ghanem
2020-05-20T17:48:52Z,2020 Annabelle work from home home,0,0,One And Only
2020-05-20T14:11:26Z,Annabelle: Comes Home (2020) Full Movie HD Full Movie Streaming   ———————————————————————  quality HD  ➥  12-new-hd-flixstream.blogspot.com      All languages available           айлык алгыныз келеби? Бирок сиз бала менен уйдо,7,0,Widia Shintia
2020-05-20T11:22:54Z,Spiderman:Homecoming  Annabell:Comes Home  Spiderman:Far From Home,1,0,McLovin
2020-05-19T19:27:51Z,Just call arthur,0,0,the dark knight batman
2020-05-18T16:25:28Z,No no conjuring 2 is bst😚,0,0,Subhra Baran Manna
2020-05-16T11:42:11Z,Hollywood : we have Annabelle  Bollywood : we have the most dangerous tumbaad and ratsasan,1,0,ENXGTA
2020-05-13T17:32:14Z,I like this movie,0,0,Maybaby Thawmuit
2020-05-13T09:24:48Z,ok,0,0,Philip Eriksson
2020-05-12T10:04:17Z,i dont get why people like these movies... ;D im fucking scared as hell haha ;D,0,0,Miguel Petersen
2020-05-10T13:07:18Z,Why in every horror movies pianos are already turned on?,1,0,Shree Prajan
2020-05-09T18:40:32Z,No one died that's sucks,0,0,Kira Crystal
2020-05-09T11:40:16Z,Insidious 1 was the best ever,0,0,Eda Wide
2020-05-08T18:50:12Z,Constantine will just make fun of these demons ghost straight back to hell!!!!,0,0,mikz uzumaki
2020-05-08T18:46:31Z,I THINK THIS ANABELLE IS A FLOP Nothing good only the beginning of the scene...among the 3 annabelles the ANABELLE CREATION WAS THE MOST FIERCE ONE!!!!!!!,1,0,mikz uzumaki
2020-05-08T17:30:43Z,"Watched,.. borrringggg... 1/10",0,0,Laura x 23
2020-05-08T14:38:38Z,"Daniella is a HORRIBLE friend. Totally unlikeable character and then they tried to redeem her actions in the end with her just being forgiven, Um no.",7,0,Emily Rose
2020-05-05T18:28:07Z,ma god,0,0,Yoan Konlambigue
