timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2015-07-09T16:03:18,This looks really good:),3,0,MsRandomnotes1,15syDwC000k,0.6,2015-07-09 16:03:18,True,True
2015-07-09T16:48:21,Saoirse looks amazing!,3,0,GriPhone,15syDwC000k,0.7500000000000001,2015-07-09 16:48:21,True,True
2015-07-09T17:15:20,Wanna watch this! Saoirse looks stunning 💕,14,0,enoki,15syDwC000k,0.5,2015-07-09 17:15:20,True,True
2015-07-09T17:41:44,This movie looks beautiful...And OMG Emily Bett Rickards is in it ahhhhh!!!!!,65,1,Natalia RDZ,15syDwC000k,0.0,2015-07-09 17:41:44,True,True
2015-07-09T17:43:37,Emily Bett Rickards my precious baby. She looks gorgeous,26,0,OhSnapTurtles,15syDwC000k,0.6,2015-07-09 17:43:37,True,True
2015-07-09T17:57:42,EMILY BETT RICKARDS,21,0,clari hernandez,15syDwC000k,0.0,2015-07-09 17:57:42,True,True
2015-07-09T18:17:35,I have to see this movie :),0,0,Abbigale Sykes,15syDwC000k,0.5,2015-07-09 18:17:35,True,True
2015-07-09T18:18:06,emily bett !!! looking forward to this it looks beautiful,3,0,ferrars,15syDwC000k,0.85,2015-07-09 18:18:06,True,True
2015-07-09T18:19:41,"This film seems really good..plus there is my baby Emily, plus the soundtrack by the Irrepressible... *___* i wanna see it!",11,0,alessia di maio,15syDwC000k,0.25,2015-07-09 18:19:41,True,True
2015-07-09T18:50:12,emily and saoirse!!!! already love it 😍,7,0,Theresa D.,15syDwC000k,0.5,2015-07-09 18:50:12,True,True
2015-07-09T19:11:54,I love this! Saoirse Ronan is an amazing actress. My favorite.,14,0,Danielle Bossolan,15syDwC000k,0.5750000000000001,2015-07-09 19:11:54,True,True
2015-07-09T19:16:35,"Emily Bett Rickards! oh my god, i'm so gonna see this!",4,0,Carla Marques,15syDwC000k,0.0,2015-07-09 19:16:35,True,True
