timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2017-04-18T15:15:44,1στ,0,0,Johnny Sins,5dfcQOBJ83A,0.0,2017-04-18 15:15:44,True,True
2017-04-18T15:20:17,the son of john wick has arrived,2317,32,Golden GT,5dfcQOBJ83A,0.0,2017-04-18 15:20:17,True,True
2017-04-18T15:20:19,Dammit Dylan O'Brien you should be working on the deathcure and not this. But still looks like a good movie though.,45,11,GalaxyKing,5dfcQOBJ83A,0.7,2017-04-18 15:20:19,True,True
2017-04-18T15:21:34,That actually looked pretty good they could use that as John Wicks origins story,471,5,John Paul,5dfcQOBJ83A,0.31666666666666665,2017-04-18 15:21:34,True,True
2017-04-18T15:22:37,where's scott??,580,15,Jonaxz Javier,5dfcQOBJ83A,0.0,2017-04-18 15:22:37,True,True
2017-04-18T15:23:55,"Michael Keaton be like ""You're an assassin, Harry.""",1378,9,johanazhari,5dfcQOBJ83A,0.0,2017-04-18 15:23:55,True,True
2017-04-18T15:24:26,This looks sick!!!,191,2,DigitalMatt,5dfcQOBJ83A,-1.0,2017-04-18 15:24:26,True,True
2017-04-18T15:26:05,Mitch Rapp. Now you can RIP Vince Flynn.,3,0,E P Ramos,5dfcQOBJ83A,0.0,2017-04-18 15:26:05,True,True
2017-04-18T15:26:48,Dylan is welcomed in my pants.,728,8,Lunar Eclipse,5dfcQOBJ83A,0.0,2017-04-18 15:26:48,True,True
2017-04-18T15:28:05,Rip I thought it was maze runner 3,0,0,Eggie3000,5dfcQOBJ83A,0.0,2017-04-18 15:28:05,True,True
2017-04-18T15:28:56,So that's what stiles is doing after leaving beacon hills...,4384,35,Risingxshine,5dfcQOBJ83A,0.0,2017-04-18 15:28:56,True,True
2017-04-18T15:32:12,I'm a native Arabic speaker and the texts @ 0:44 make no sense,0,2,TheSniper5681,5dfcQOBJ83A,0.0,2017-04-18 15:32:12,True,True
2017-04-18T15:32:38,They picked the wrong person for this movie...he doesn't fit it at all.,14,15,MichaelJackson,5dfcQOBJ83A,-0.04999999999999999,2017-04-18 15:32:38,True,True
