timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2017-05-01T13:03:04,"A24 never fails to deliver, this looks great!",1116,43,InfinityWardYeah,6YOYHCBQn9g,0.625,2017-05-01 13:03:04,True,True
2017-05-01T13:03:58,The first trailer was enough!,441,8,Peete Schneider,6YOYHCBQn9g,0.125,2017-05-01 13:03:58,True,True
2017-05-01T13:09:06,You can betchur ass I'll be first in line for any film made by A24,8,0,ATW Tech - Alpha R2,6YOYHCBQn9g,0.25,2017-05-01 13:09:06,True,True
2017-05-01T13:11:34,"One of the best studios in the business today. Can't wait for this,",833,6,nero12345789,6YOYHCBQn9g,1.0,2017-05-01 13:11:34,True,True
2017-05-01T13:16:58,well looked good til you spoiled the house being burnt down,1,0,Kashmir93 !,6YOYHCBQn9g,0.2722222222222222,2017-05-01 13:16:58,True,True
2017-05-01T13:17:07,Song name at the beginning and very end?,0,1,Steep,6YOYHCBQn9g,0.2,2017-05-01 13:17:07,True,True
2017-05-01T13:17:22,I'm speechless!,8,1,Brodhi Moore,6YOYHCBQn9g,0.0,2017-05-01 13:17:22,True,True
2017-05-01T13:27:55,"A24 is my favorite studio right now, this looks great",734,11,Lou Bloom,6YOYHCBQn9g,0.5285714285714286,2017-05-01 13:27:55,True,True
2017-05-01T13:32:08,What a great trailer!,5,0,MovieMusicTV,6YOYHCBQn9g,1.0,2017-05-01 13:32:08,True,True
2017-05-01T13:37:11,"At least, they didn't showed the whole thing.",1,2,peter chen,6YOYHCBQn9g,-0.04999999999999999,2017-05-01 13:37:11,True,True
2017-05-01T13:37:40,After watching Krisha you can tell this is gonna be a mindfuck,1,0,nhunterg,6YOYHCBQn9g,0.0,2017-05-01 13:37:40,True,True
2017-05-01T13:42:46,Big spoilers in the trailer,0,0,Bad Blood Bear,6YOYHCBQn9g,0.0,2017-05-01 13:42:46,True,True
2017-05-01T13:44:26,I love how A24 trailers never gives away the plot.  Just enough info to actually make me wanna watch the movie. cant wait,1767,31,Joy George,6YOYHCBQn9g,0.16666666666666666,2017-05-01 13:44:26,True,True
2017-05-01T13:49:24,Sound is a bit shit.,0,0,Dennis Reynolds,6YOYHCBQn9g,0.1,2017-05-01 13:49:24,True,True
2017-05-01T13:53:46,This is how you make a trailer! A24 is just simply the best! Can't wait for this!,35,0,Mega MovieZ,6YOYHCBQn9g,0.5,2017-05-01 13:53:46,True,True
2017-05-01T14:09:10,"Hey A24, could you possibly contact me for movie roles? I'd love to work for your company because every film you've made had inspired me to dream big. Please let me be in your movies!!!",71,26,Dylan James,6YOYHCBQn9g,0.16666666666666666,2017-05-01 14:09:10,True,True
2017-05-01T14:21:04,joel edgerton in another good horror movie,200,12,George,6YOYHCBQn9g,0.7,2017-05-01 14:21:04,True,True
2017-05-01T14:25:07,Chris abbott is daddy af,8,0,Ryan Fuller,6YOYHCBQn9g,0.0,2017-05-01 14:25:07,True,True
2017-05-01T14:27:50,"Ya had me at ""the red door stays closed""",1915,11,Matt at the Movies,6YOYHCBQn9g,-0.05,2017-05-01 14:27:50,True,True
2017-05-01T14:36:04,Awesome background theme.,5,0,Goliath,6YOYHCBQn9g,1.0,2017-05-01 14:36:04,True,True
2017-05-01T14:36:10,This is exactly how much a trailer should show.,1,0,Francis Zealley,6YOYHCBQn9g,0.225,2017-05-01 14:36:10,True,True
2017-05-01T14:42:50,It cums at night,739,46,ENDINEKO1,6YOYHCBQn9g,0.0,2017-05-01 14:42:50,True,True
2017-05-01T14:44:30,Why doesn't the black guy ever sleep with a black woman in movies?,19,15,Vernon Camp,6YOYHCBQn9g,-0.16666666666666666,2017-05-01 14:44:30,True,True
2017-05-01T15:03:52,"I'm so watching this at home, at noon, with the lights on.",1,0,Santiago Méndez,6YOYHCBQn9g,0.0,2017-05-01 15:03:52,True,True
2017-05-01T15:22:33,Joel Edgerton looks like a mix of Conan O'Brien and Paul Rudd,0,0,r0ssr0ss,6YOYHCBQn9g,0.0,2017-05-01 15:22:33,True,True
2017-05-01T15:27:33,Is this a zombie movie?,0,0,Panda eX,6YOYHCBQn9g,0.0,2017-05-01 15:27:33,True,True
2017-05-01T15:29:48,I'm here before this blows up.,2,1,Jon Gaddis,6YOYHCBQn9g,0.0,2017-05-01 15:29:48,True,True
2017-05-01T15:34:15,... Mostly.,768,18,3rd illusion,6YOYHCBQn9g,0.5,2017-05-01 15:34:15,True,True
2017-05-01T15:57:54,god bless you A24...this looks INCREDBLE,0,0,Dylan Hoang,6YOYHCBQn9g,0.0,2017-05-01 15:57:54,True,True
2017-05-01T16:05:25,"That looks dope, keep that dickhead tied to that tree, I don't trust him either!",1,0,AgentFoxMulder,6YOYHCBQn9g,0.0,2017-05-01 16:05:25,True,True
2017-05-01T16:17:09,Just realized that some of the most interesting films I saw in the last few years all come from this studio.,2,0,Le Grand Fromage,6YOYHCBQn9g,0.2,2017-05-01 16:17:09,True,True
2017-05-01T16:20:32,I'm a simple guy I see the A24 logo I click like,226,4,Whiplash95,6YOYHCBQn9g,0.0,2017-05-01 16:20:32,True,True
2017-05-01T16:21:08,"This looks like it'll be a great film, too bad the trailer told me everything I didn't know about it.",0,0,Jzigzags,6YOYHCBQn9g,0.0500000000000001,2017-05-01 16:21:08,True,True
2017-05-01T16:40:23,"*Oh, A24? Shut up and take my money!*",13,0,ILLUMINAT3D,6YOYHCBQn9g,0.0,2017-05-01 16:40:23,True,True
2017-05-01T16:40:27,Amazing,0,0,dead already,6YOYHCBQn9g,0.6000000000000001,2017-05-01 16:40:27,True,True
2017-05-01T16:54:58,The only reason I even clicked on this was because I saw it was from A24.,0,0,Good Reason,6YOYHCBQn9g,0.0,2017-05-01 16:54:58,True,True
2017-05-01T16:56:32,"Guys, I do not have the strength to watch it .... Brother killed his sister ... I don`t belive https://goo.gl/Q2bnuA",0,0,ARTEMY,6YOYHCBQn9g,-0.2,2017-05-01 16:56:32,True,True
2017-05-01T17:00:12,"""Fear turns men into monsters""",1,2,Sammi ss,6YOYHCBQn9g,0.0,2017-05-01 17:00:12,True,True
2017-05-01T17:03:18,looks great,0,0,David C Cruz,6YOYHCBQn9g,0.8,2017-05-01 17:03:18,True,True
2017-05-01T17:06:54,"""we never go out at night"" What's the first thing they do? Go out at night😂",2022,21,Mikah Williams,6YOYHCBQn9g,0.25,2017-05-01 17:06:54,True,True
2017-05-01T17:17:04,Every A24 Film release is like a early Christmas present,1,0,Anndrezzz,6YOYHCBQn9g,0.05,2017-05-01 17:17:04,True,True
2017-05-01T17:19:22,"Trey Edward Shultz made one of my favorite films of last year, Krisha! Can't wait for this!",3,0,supermariofan03,6YOYHCBQn9g,0.25,2017-05-01 17:19:22,True,True
2017-05-01T17:20:05,can't wait.,0,0,Francis Cat,6YOYHCBQn9g,0.0,2017-05-01 17:20:05,True,True
2017-05-01T17:20:22,you had me at A24,0,0,Houston from houston,6YOYHCBQn9g,0.0,2017-05-01 17:20:22,True,True
2017-05-01T17:21:04,Looks like a good movie,0,0,Daily Foodie,6YOYHCBQn9g,0.7,2017-05-01 17:21:04,True,True
2017-05-01T17:23:05,"Yeah, so do I...",0,0,ATLsF1N3ST91,6YOYHCBQn9g,0.0,2017-05-01 17:23:05,True,True
2017-05-01T17:23:05,Its Gordo,100,4,Trevor Phillips,6YOYHCBQn9g,0.0,2017-05-01 17:23:05,True,True
2017-05-01T17:24:30,"6k views, 600 likes and not even 100 comments. This bs does NOT deserve to be on the Trending at all",0,1,ZoupDe Loup,6YOYHCBQn9g,0.0,2017-05-01 17:24:30,True,True
2017-05-01T17:25:00,Alien zoombie virus?!,1,0,furmal86,6YOYHCBQn9g,-0.3125,2017-05-01 17:25:00,True,True
2017-05-01T17:25:29,"This better not do horrible in theaters. If it does and i see people complain that they want more original movies, i'm done.",0,0,Clintonomo Bay,6YOYHCBQn9g,0.09375,2017-05-01 17:25:29,True,True
2017-05-01T17:25:56,      IT   CUMS      AT    NIGHT,61,1,p0613v,6YOYHCBQn9g,0.0,2017-05-01 17:25:56,True,True
2017-05-01T17:26:59,This is just a reimagining of the Thing with kurt russel and wilford brimely from the 70s,0,0,Gearhead 6971,6YOYHCBQn9g,0.0,2017-05-01 17:26:59,True,True
2017-05-01T17:30:24,I usually come during the day,0,0,Die_Rude,6YOYHCBQn9g,-0.25,2017-05-01 17:30:24,True,True
2017-05-01T17:30:38,"Another trailer that shows too much to grab the attention of those who have ADHD, what about a trailer for us normal folks?",1,0,Joseph Mauricio Flores,6YOYHCBQn9g,0.175,2017-05-01 17:30:38,True,True
2017-05-01T17:31:31,Great trailer! Hope it turns out to be an equally great movie.,0,0,Darius Handofnoxus,6YOYHCBQn9g,0.9,2017-05-01 17:31:31,True,True
2017-05-01T17:32:40,"it mostly comes at night, mostly.",1,0,ElevatedLife801,6YOYHCBQn9g,0.5,2017-05-01 17:32:40,True,True
2017-05-01T17:40:52,Thank you for releasing this on a Monday.,0,0,Damn Good Brand LLC,6YOYHCBQn9g,0.0,2017-05-01 17:40:52,True,True
2017-05-01T17:40:55,You all know the monster is gonna be Nicholas Cage... right?,1,0,Lane Modlin,6YOYHCBQn9g,0.2857142857142857,2017-05-01 17:40:55,True,True
2017-05-01T17:44:37,HOW SOON!? A24?? Give us a date already!,0,0,J. E. Murl,6YOYHCBQn9g,0.0,2017-05-01 17:44:37,True,True
2017-05-01T17:47:07,So excited for this.,0,0,GrookeyGang27,6YOYHCBQn9g,0.375,2017-05-01 17:47:07,True,True
2017-05-01T17:47:28,THIS SHIT TRAAAASSSHHH,0,0,Firesword,6YOYHCBQn9g,-0.2,2017-05-01 17:47:28,True,True
2017-05-01T17:49:22,I got the feeling I´m gonna love this film.,0,0,Sergio Osvaldo Valdés Arriaga,6YOYHCBQn9g,0.5,2017-05-01 17:49:22,True,True
2017-05-01T17:53:00,I feel like movies are just cash grabs now.,0,0,LastNoobStanding 7,6YOYHCBQn9g,0.0,2017-05-01 17:53:00,True,True
2017-05-01T17:53:16,I don't doubt the porno spoof version is currently under production (It *Cums* At Night).,305,14,dasoulfoodbuffet,6YOYHCBQn9g,-0.05,2017-05-01 17:53:16,True,True
2017-05-01T17:53:43,"Is it me or did A24 come out of nowhere with a barrage of masterpieces? 2 years ago I didn't know they existed, and now they're my favorite movie studio",191,14,Corey Denham,6YOYHCBQn9g,0.5,2017-05-01 17:53:43,True,True
2017-05-01T17:54:33,the score is the best thing about this trailer,0,0,thorin199,6YOYHCBQn9g,1.0,2017-05-01 17:54:33,True,True
2017-05-01T17:59:06,Hey there random people scrolling through the comments. I hope you have a great day today! Coming from a small youtuber who wants to hit 100 subs.,1,0,4G SPORT,6YOYHCBQn9g,0.1125,2017-05-01 17:59:06,True,True
2017-05-01T17:59:30,"Trending with under 100,000+ Views???",9,5,tstanton_ _,6YOYHCBQn9g,0.0,2017-05-01 17:59:30,True,True
2017-05-01T18:00:15,Joel Edgerton!!!!,0,0,Ana Maria Gallego,6YOYHCBQn9g,0.0,2017-05-01 18:00:15,True,True
2017-05-01T18:01:32,https://plus.google.com/u/0/108272484768264761348/posts/JcwCC2e8wdC,0,0,Golongan Bantarhuni,6YOYHCBQn9g,0.0,2017-05-01 18:01:32,True,True
2017-05-01T18:03:23,Yes yes yes,0,0,caitlinV3,6YOYHCBQn9g,0.0,2017-05-01 18:03:23,True,True
2017-05-01T18:04:24,"Looks like Cabin Fever/The Thing. ""Cabin Thing""",1259,33,Patrick Bateman,6YOYHCBQn9g,0.0,2017-05-01 18:04:24,True,True
2017-05-01T18:05:23,"Wanted monsters tbh, but zombies are cool",0,0,Solus,6YOYHCBQn9g,0.35,2017-05-01 18:05:23,True,True
2017-05-01T18:14:34,Any other creepy pasta fans here that actually knows what this movie is about or seem kinda disappointed about how it looks,0,0,anime king,6YOYHCBQn9g,-0.34375,2017-05-01 18:14:34,True,True
2017-05-01T18:18:33,Fear turns men into bitches.,0,0,Atom Man,6YOYHCBQn9g,0.0,2017-05-01 18:18:33,True,True
2017-05-01T18:20:55,My 2nd most anticipated movie of the year right after PTA's new film,0,0,David Rowe,6YOYHCBQn9g,0.2305194805194805,2017-05-01 18:20:55,True,True
2017-05-01T18:24:44,So what comes at night.  Confusing boring trailer,0,0,GoodDay,6YOYHCBQn9g,-0.65,2017-05-01 18:24:44,True,True
2017-05-01T18:27:24,Ugh 😑 no cool monster just a blah blah disease movie zzzz,1,0,Rocket 88,6YOYHCBQn9g,-0.175,2017-05-01 18:27:24,True,True
2017-05-01T18:27:35,The real question is...Does it come at night?,0,0,Ben Talbot,6YOYHCBQn9g,0.2,2017-05-01 18:27:35,True,True
