timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2014-04-18T23:21:37,Hey they filmed in my town,6,0,Cosmo Hermida,6tC1yOUvvMo,0.0,2014-04-18 23:21:37,True,True
2014-04-19T00:45:46,This trailer is fucking amazing! ,19,0,Omar Roman,6tC1yOUvvMo,0.7500000000000001,2014-04-19 00:45:46,True,True
2014-04-19T01:08:00,Got Damn it Clint stop directing films that are automatic contenders for Oscars lol,24,0,dl,6tC1yOUvvMo,0.8,2014-04-19 01:08:00,True,True
2014-04-19T01:40:15,this looks pretty damn good,6,0,LongLive Lee,6tC1yOUvvMo,0.475,2014-04-19 01:40:15,True,True
2014-04-19T02:41:45,Can't wait to go see this!,0,0,Howlovelybeauty,6tC1yOUvvMo,0.0,2014-04-19 02:41:45,True,True
2014-04-19T03:21:43,What song is this at the beginning?,0,1,"999,999 views",6tC1yOUvvMo,0.0,2014-04-19 03:21:43,True,True
2014-04-19T07:30:58,Clint Eastwood! I'm in.,0,0,Henry Gylling,6tC1yOUvvMo,0.0,2014-04-19 07:30:58,True,True
2014-04-19T09:26:33,This ia just the boy version of hairspray,0,2,Dre5ds,6tC1yOUvvMo,0.0,2014-04-19 09:26:33,True,True
2014-04-19T09:48:04,Awesome. I wanna watch this.,4,0,Sandor Kocsor,6tC1yOUvvMo,1.0,2014-04-19 09:48:04,True,True
2014-04-19T15:46:23,"Looks good,and I wanna watch this!!",0,0,Tan Phaik Kuan,6tC1yOUvvMo,0.0,2014-04-19 15:46:23,True,True
2014-04-19T17:23:08,This looks great and Clint Eastwood so I guess won't be disappointed...,0,0,V Sen,6tC1yOUvvMo,0.025000000000000022,2014-04-19 17:23:08,True,True
2014-04-19T21:29:24,Who is the actor at 1:08? I recognize him but I can't quite put a finger on his name.,0,2,fourwheat55,6tC1yOUvvMo,0.0,2014-04-19 21:29:24,True,True
2014-04-20T17:09:20,Seems like a cross between GoodFellas and Dreamgirls. And I'm totally okay with it.,20,0,ooze333,6tC1yOUvvMo,0.25,2014-04-20 17:09:20,True,True
2014-04-21T17:17:44,Clint Eastwood. SOLD.,6,0,iwatchmike,6tC1yOUvvMo,0.0,2014-04-21 17:17:44,True,True
