timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2015-07-22T07:31:11,"Good one. Except the fact, that I'm not impressed by the newest title theme, movie is long-awaited",0,0,f0r31gn3r,7GqClqvlObY,0.09999999999999998,2015-07-22 07:31:11,True,True
2015-07-22T08:18:52,I am so excited for this new Bond movie. SPECTRE is back and many of the classic Bond tropes are returning.,0,0,BlueHooloovoo,7GqClqvlObY,0.2356060606060606,2015-07-22 08:18:52,True,True
2015-07-22T08:20:01,Best bond ever !!,0,0,Valentin Barcenas,7GqClqvlObY,1.0,2015-07-22 08:20:01,True,True
2015-07-22T08:24:55,Got that classic Bond vibe to it!! Can't wait!,4,0,Tyler Martin,7GqClqvlObY,0.32552083333333326,2015-07-22 08:24:55,True,True
2015-07-22T08:44:09,Hail Hydra!,11,0,Calinks,7GqClqvlObY,0.0,2015-07-22 08:44:09,True,True
2015-07-22T09:00:28,"The nylon jacket and the classic ""evil lair"" confirm for certain that Franz Oberhauser is the new Blofeld ;D ",1,0,Scrummy64,7GqClqvlObY,-0.04653679653679654,2015-07-22 09:00:28,True,True
2015-07-22T09:45:03,You know that things gonna get fucked up when Drax the destroyer knows how to drive a car,1,0,Andrea de nichilo,7GqClqvlObY,-0.6,2015-07-22 09:45:03,True,True
2015-07-22T09:58:22,Can't wait ,0,0,Thinking Thunders,7GqClqvlObY,0.0,2015-07-22 09:58:22,True,True
2015-07-22T10:07:30,Something is off and it's either the trailer or the movie !I hope it's just the trailer! Looking forward to watch it!,9,7,Souhail,7GqClqvlObY,0.0,2015-07-22 10:07:30,True,True
2015-07-22T10:22:20,yehhhhh,0,0,Aikido Colmar Diables Rouges,7GqClqvlObY,0.0,2015-07-22 10:22:20,True,True
2015-07-22T10:22:50,2/10,0,0,Studios,7GqClqvlObY,0.0,2015-07-22 10:22:50,True,True
2015-07-22T10:28:23,0:35 GTA V?,52,11,ThePrehistoricMaster,7GqClqvlObY,0.0,2015-07-22 10:28:23,True,True
2015-07-22T10:44:54,bond meets moriarty!,198,9,loaloading,7GqClqvlObY,0.0,2015-07-22 10:44:54,True,True
2015-07-22T11:07:46,LOOKS SO GOOD!!!!!!,1,0,Visually Unique,7GqClqvlObY,1.0,2015-07-22 11:07:46,True,True
2015-07-22T11:12:40,"1:45~1:53 - Melody from the classic theme of ""007 On Her Majesty's Secret Service""! It will be a great film!!! Can't wait to watch!!!",72,13,Eduardo Tartarotti,7GqClqvlObY,0.2222222222222222,2015-07-22 11:12:40,True,True
2015-07-22T11:18:03,I so want the music in this trailer ,0,0,Sam,7GqClqvlObY,0.0,2015-07-22 11:18:03,True,True
2015-07-22T11:26:24,permission to squee,0,0,Dylan van der schoot,7GqClqvlObY,0.0,2015-07-22 11:26:24,True,True
2015-07-22T11:57:15,Looks amazing!,0,0,I like gooses,7GqClqvlObY,0.7500000000000001,2015-07-22 11:57:15,True,True
2015-07-22T11:58:21,Bellucci's beauty is ageless. ,0,0,Nadia Danelon,7GqClqvlObY,0.0,2015-07-22 11:58:21,True,True
2015-07-22T12:04:21,"Movie prediction: James hunts down bad guys, reveals something about his past, brushes shoulders with death although while managing to screw half the female leads simultaneously and saves the day at the end with a hint of trouble in the distant future.",264,20,Ali Mendez,7GqClqvlObY,-0.19652777777777777,2015-07-22 12:04:21,True,True
2015-07-22T12:15:08,"Dave Batista is so awesome and scary in this, i can't wait",2,0,Mister Who,7GqClqvlObY,0.25,2015-07-22 12:15:08,True,True
2015-07-22T12:29:06,Some Speculate that we should exSpect a great movie. I for one cannot Bond with that idea; it just doesn't Jame with me.                   ಠ__ಠ              ಠ__ಠಠ__ಠ          ಠ__ಠಠ__ಠಠ__ಠ    ಠ__ಠ ಠ__ಠಠ__ಠಠ__ಠ  Me: Momma they like me Mom: What makes you say that Me: They won't stop staring,0,0,malcolm X,7GqClqvlObY,0.8,2015-07-22 12:29:06,True,True
2015-07-22T12:33:28,wow... 0 dislike!!! 007 Rules,0,0,shadowfallenable,7GqClqvlObY,0.1953125,2015-07-22 12:33:28,True,True
2015-07-22T12:37:50,"Hope they don't turn this into some ""origin story"" bullshit. Bond films are supposed to be fun, not Bourne films.   Ps. Skyfall kinda sucked.",15,35,GVStudios,7GqClqvlObY,0.3,2015-07-22 12:37:50,True,True
2015-07-22T12:54:27,"It was me, the author of... THE JOURNALS YOUR BROTHER  #gravityfalls",0,0,Nadia .A,7GqClqvlObY,0.0,2015-07-22 12:54:27,True,True
2015-07-22T13:06:23,OMG MORIARTY,0,0,Intan Wijayanti,7GqClqvlObY,0.0,2015-07-22 13:06:23,True,True
2015-07-22T14:50:10,"Wait...Silva's name (Thiago Rodriguez) is not on the memorial at MI6, like M said it was.  LIARRR!!!",30,12,GIVE EARTH BACK TO DINOSAURS.,7GqClqvlObY,0.0,2015-07-22 14:50:10,True,True
2015-07-22T14:54:26,"Was that ""Moriarty"" at 2:15?",103,7,Renoy George,7GqClqvlObY,0.0,2015-07-22 14:54:26,True,True
2015-07-22T15:06:39,"If i may quote the great Homer Simpson... ""BOOOOOORING!""",0,0,Film Gob,7GqClqvlObY,1.0,2015-07-22 15:06:39,True,True
2015-07-22T15:11:27,Whats the name of music on 1:37 ?,0,0,Metod Kulcar,7GqClqvlObY,0.0,2015-07-22 15:11:27,True,True
2015-07-22T15:13:15,"""it has classic bond feel. Bond is Bond not Jason Bourne."" James Bond comes from a novel series; he doesn't originate from the campy movies people know. *derp* I'm sure it'll be more 'gadgety'  or 'jokey' but not like the old ones.",87,57,Ivan Trevino,7GqClqvlObY,0.31666666666666665,2015-07-22 15:13:15,True,True
2015-07-22T15:15:30,I'm assuming Blofeld is going to be in this in some capacity.,26,24,Jeffrey Riley,7GqClqvlObY,0.0,2015-07-22 15:15:30,True,True
2015-07-22T15:37:17,007 en mexico!! :D :D seeee!!!!,0,0,Emanuel Hdz,7GqClqvlObY,1.0,2015-07-22 15:37:17,True,True
2015-07-22T15:59:13,Finally some 007,1,0,Zacheus Augustine,7GqClqvlObY,0.0,2015-07-22 15:59:13,True,True
2015-07-22T16:02:33,Christoph Waltz!,282,20,Mafioso518,7GqClqvlObY,0.0,2015-07-22 16:02:33,True,True
2015-07-22T16:16:58,Bond is still driving a gas powered car?  He's hopelessly out of date.,0,0,Richard A Hesel,7GqClqvlObY,0.0,2015-07-22 16:16:58,True,True
2015-07-22T16:21:17,"Lea Seydoux as a Bond girl? Nice <3 Christoph Waltz as a Bond villain? Awesome. Wait, was that ANDREW SCOTT!? *brain implodes*",555,30,Vito C,7GqClqvlObY,0.8666666666666667,2015-07-22 16:21:17,True,True
2015-07-22T16:33:26,The balls to try and use OHMSS on this steaming pile. The balls!,1,0,PubliusAfricanus,7GqClqvlObY,0.0,2015-07-22 16:33:26,True,True
2015-07-22T16:44:27,Mmm...this looks okay but I think Goldeneye was the last awesome Bond film. And what were they thinking with this new Q? He has no personality. Wouldn't Jimmy Carr be much more suitable? Jimmy Carr as Q!,0,2,Matthew White,7GqClqvlObY,0.4706439393939394,2015-07-22 16:44:27,True,True
2015-07-22T16:45:17,the bond woman is acting bad :(,0,0,truedeadandlife,7GqClqvlObY,-0.4833333333333332,2015-07-22 16:45:17,True,True
2015-07-22T16:51:37,1:44 OHMSS !!!,0,0,s V,7GqClqvlObY,0.0,2015-07-22 16:51:37,True,True
2015-07-22T17:11:28,"IT WAS MEEEE BARRY-- Shit, I mean JAMES!!!!",0,0,rhet,7GqClqvlObY,-0.4814697265625,2015-07-22 17:11:28,True,True
2015-07-22T17:20:11,batistaaaa,0,0,Aishwary pachauri,7GqClqvlObY,0.0,2015-07-22 17:20:11,True,True
2015-07-22T17:23:48,WAIT A SECOND THIS IS ANDREW SCOTT! !??,0,0,Mónica Ayon,7GqClqvlObY,0.0,2015-07-22 17:23:48,True,True
