timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2016-05-18T16:22:22,you liked your own video?,1,3,Theallknowingsause,AHC7guX-FCk,0.6,2016-05-18 16:22:22,True,True
2016-05-18T16:22:24,first,0,2,timmys videos,AHC7guX-FCk,0.25,2016-05-18 16:22:24,True,True
2016-05-18T16:22:38,"so early that there are ""no views"" ...",0,0,Matthew Rodrigues,AHC7guX-FCk,0.1,2016-05-18 16:22:38,True,True
2016-05-18T16:22:51,AYYYY    third,0,0,Jason Madong,AHC7guX-FCk,0.0,2016-05-18 16:22:51,True,True
2016-05-18T16:22:55,dunno,0,0,Russel Neo Sanchez,AHC7guX-FCk,0.0,2016-05-18 16:22:55,True,True
2016-05-18T16:23:36,forst,0,0,Marcel Enrico,AHC7guX-FCk,0.0,2016-05-18 16:23:36,True,True
2016-05-18T16:24:13,inb4 people say this is better than the Ghostbusters trailer.,1,2,CutToBlackFilm,AHC7guX-FCk,0.5,2016-05-18 16:24:13,True,True
2016-05-18T16:25:01,😮,0,0,098558 //,AHC7guX-FCk,0.0,2016-05-18 16:25:01,True,True
2016-05-18T16:25:25,Monalisa sucks la dada dada ~,0,4,Rommy Erdian,AHC7guX-FCk,-0.3,2016-05-18 16:25:25,True,True
2016-05-18T16:25:50,This feels like one of those 5 minute SNL sketches that got lukewarm responses.,2,0,thescaredshadow,AHC7guX-FCk,0.0,2016-05-18 16:25:50,True,True
2016-05-18T16:26:25,sine,0,0,Laamailia a,AHC7guX-FCk,0.0,2016-05-18 16:26:25,True,True
2016-05-18T16:27:16,Is this comedy or...? I see no entertainment here.,2,3,A High Ferret,AHC7guX-FCk,0.0,2016-05-18 16:27:16,True,True
2016-05-18T16:27:24,"people are complaining about ghostbusters, this look worse",0,0,youredx,AHC7guX-FCk,-0.4,2016-05-18 16:27:24,True,True
2016-05-18T16:27:30,This is gonna be one of those movies who get a 5.9 rating om IMDb but is actually pretty good,3,0,WingS,AHC7guX-FCk,0.475,2016-05-18 16:27:30,True,True
2016-05-18T16:28:17,Looks good,0,0,Qyilz,AHC7guX-FCk,0.7,2016-05-18 16:28:17,True,True
2016-05-18T16:28:37,This looks worse than Ghost busters.,0,1,usa eagle,AHC7guX-FCk,-0.4,2016-05-18 16:28:37,True,True
2016-05-18T16:28:49,👍👍👍👍👍,0,0,jake raven,AHC7guX-FCk,0.0,2016-05-18 16:28:49,True,True
2016-05-18T16:29:05,"That Seal wolf attack, I'll be honest, that was funny haha. Let's see how this movie does before judging it!   For now, check out my vids if you got the time ;)",12,0,PictureFit,AHC7guX-FCk,0.3375,2016-05-18 16:29:05,True,True
2016-05-18T16:29:11,This looks & feels like a Adam Sandler Movie,0,0,The Brains Behind The idiot!,AHC7guX-FCk,0.0,2016-05-18 16:29:11,True,True
2016-05-18T16:29:44,"Comedy is subjective. Some people will find this movie hilarious, some won't. No one is right or wrong in what they think.",596,18,Gooplefries,AHC7guX-FCk,0.09523809523809523,2016-05-18 16:29:44,True,True
2016-05-18T16:30:31,"""Mona Lisa sucks, na na na na""",564,6,sanderflop,AHC7guX-FCk,-0.3,2016-05-18 16:30:31,True,True
2016-05-18T16:30:37,this is legit fun. :D,0,0,jk well,AHC7guX-FCk,0.65,2016-05-18 16:30:37,True,True
2016-05-18T16:30:55,didn't Jamie Kennedy already do this years ago?,4,6,Nick Bruns,AHC7guX-FCk,0.0,2016-05-18 16:30:55,True,True
2016-05-18T16:31:12,*Samberg,0,0,S Makhanya,AHC7guX-FCk,0.0,2016-05-18 16:31:12,True,True
2016-05-18T16:31:36,I've never heard of this andy samburg.  who is he?,0,2,Kit Fisto Strikes Again,AHC7guX-FCk,0.0,2016-05-18 16:31:36,True,True
2016-05-18T16:31:45,If this is as good as Hot Rod them I'm all over it!,34,20,aHairyWhiteGuy,AHC7guX-FCk,0.50625,2016-05-18 16:31:45,True,True
2016-05-18T16:32:13,"so Apatow is just redoing his movie ""Get him to the Greek"" with Samberg playing a brash arrogant shirt popstar as opposed to a brash arrogant druggie rockstar that Russell Brand played. le sigh.",0,3,MarquisVonMonster,AHC7guX-FCk,-0.13333333333333333,2016-05-18 16:32:13,True,True
2016-05-18T16:34:45,"lol ""Samburg""",0,0,Joshua Watkins,AHC7guX-FCk,0.8,2016-05-18 16:34:45,True,True
2016-05-18T16:37:49,This was better than i expected,0,0,Jonatas Nogueira,AHC7guX-FCk,0.2,2016-05-18 16:37:49,True,True
2016-05-18T16:38:58,This guy is like a young Adam sandler.,0,0,Giancarlo,AHC7guX-FCk,0.1,2016-05-18 16:38:58,True,True
2016-05-18T16:41:11,"Why are people comparing this to the new Ghostbusters? This is satire and they're owning up to it, the Ghostbusters unfortunately is not.",0,0,tickub,AHC7guX-FCk,0.19318181818181818,2016-05-18 16:41:11,True,True
2016-05-18T16:42:27,"Not sure, it's look poop, but in a good way, like a good poop.",0,0,Mark Bush,AHC7guX-FCk,0.3833333333333333,2016-05-18 16:42:27,True,True
2016-05-18T16:43:32,I was wondering when he would make a movie like this.,2,0,Mark Keller,AHC7guX-FCk,0.0,2016-05-18 16:43:32,True,True
2016-05-18T16:43:35,yoom what the hell 😂😂. gotta see this,0,0,Alief Kevin,AHC7guX-FCk,0.0,2016-05-18 16:43:35,True,True
2016-05-18T16:43:40,Andy Samburg)),0,0,Влад Попович,AHC7guX-FCk,0.0,2016-05-18 16:43:40,True,True
2016-05-18T16:44:08,subscribe to me and I subscribe back in have video,0,0,AMAZING MAN 115,AHC7guX-FCk,0.0,2016-05-18 16:44:08,True,True
2016-05-18T16:45:24,It's *S A M B E R G*. Thank me later.,162,10,Birdman,AHC7guX-FCk,0.0,2016-05-18 16:45:24,True,True
2016-05-18T16:45:58,Samberg*,0,0,Vaggelis Theodorou,AHC7guX-FCk,0.0,2016-05-18 16:45:58,True,True
2016-05-18T16:46:23,This looks super insane...😰😨,0,0,Stella1902,AHC7guX-FCk,0.3333333333333333,2016-05-18 16:46:23,True,True
2016-05-18T16:48:07,Netflix and Chill in a couple of years..,2,0,Emile,AHC7guX-FCk,0.0,2016-05-18 16:48:07,True,True
2016-05-18T16:48:35,Peralta what you doing?,905,8,Firat Abuleyla,AHC7guX-FCk,0.0,2016-05-18 16:48:35,True,True
2016-05-18T16:52:30,oojhhh shit who wouldn't like a hat like dat! shit!,0,0,Derp Potato,AHC7guX-FCk,-0.25,2016-05-18 16:52:30,True,True
2016-05-18T16:53:20,Guys pls help ✋🏻 what's the best website for online watching 😭 i can't find one for free 💔,0,2,Hadeel,AHC7guX-FCk,0.7,2016-05-18 16:53:20,True,True
2016-05-18T16:54:11,lol no Oscar for this movie...,0,0,THEORY proGAMER,AHC7guX-FCk,0.8,2016-05-18 16:54:11,True,True
2016-05-18T16:54:22,That title,0,0,Konnor,AHC7guX-FCk,0.0,2016-05-18 16:54:22,True,True
2016-05-18T16:55:33,hehe,0,0,Bushra Hussein,AHC7guX-FCk,0.0,2016-05-18 16:55:33,True,True
2016-05-18T16:56:29,kinda weird and insanely different....hope it doesn't get shit emoji from reviewers,0,0,Ash bro,AHC7guX-FCk,-0.5666666666666667,2016-05-18 16:56:29,True,True
2016-05-18T16:57:36,pile of shit,0,0,Mikey Lawrence,AHC7guX-FCk,-0.2,2016-05-18 16:57:36,True,True
2016-05-18T16:58:51,Way to spell his name wrong movie clips,0,0,Sean Murphy,AHC7guX-FCk,-0.5,2016-05-18 16:58:51,True,True
2016-05-18T16:59:20,better than ghostbuster ... unfortunately :(,0,0,Mad Schism,AHC7guX-FCk,-0.25,2016-05-18 16:59:20,True,True
