timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2015-05-20T22:00:26,Why all the playah hate?,1,0,IndigoXYZ18,BRQaEJv9qIk,-0.8,2015-05-20 22:00:26,True,True
2015-05-26T00:29:09,looks really good. love the cast.,0,0,T Movies,BRQaEJv9qIk,0.6,2015-05-26 00:29:09,True,True
2015-05-27T03:12:51,"I  honestly thought Coach Taylor was gonna walk out, for a second.",2,0,NeededEscape,BRQaEJv9qIk,0.3,2015-05-27 03:12:51,True,True
2015-06-20T23:31:57,Didnt they already do this crap with WHEN THE GAME STANDS TALL... lot of bible thumping football movies.,0,0,Yes yes yes,BRQaEJv9qIk,-0.6000000000000001,2015-06-20 23:31:57,True,True
2015-06-23T02:19:26,"Looking forward to this! I'm good friends with the man who wrote the book, and I can vouch for both the sincerity of his Christian convictions and the authenticity of his social consciousness. I confess that I'm not really a fan of the Erwin Brothers movie genre, but this looks like it will be much better than their previous efforts. But if you're not interested in the movie, please get the book by my friend Todd Gerelds. I'm sure it won't disappoint.",3,0,Gebre Menfes Kidus,BRQaEJv9qIk,0.16770833333333335,2015-06-23 02:19:26,True,True
2015-07-18T02:47:17,This is an AWESOME TRAILER!!! btw...HAHA ALL I THINK ABOUT IS HOW RAPH FROM 2012 WILL SAY THIS XD,1,0,Haku Akuma,BRQaEJv9qIk,1.0,2015-07-18 02:47:17,True,True
2015-07-28T21:16:02,So what is this movie actually about?,0,0,Toby Benedict,BRQaEJv9qIk,0.0,2015-07-28 21:16:02,True,True
2015-09-01T01:23:57,"Saw this movie this past weekend in Birmingham Alabama at its preview there, amazing film!!! Can't wait to see it again in October!!!",9,1,James Ellis,BRQaEJv9qIk,0.375,2015-09-01 01:23:57,True,True
2015-09-02T13:19:35,Ahhh this seems like a really good movie! Can't wait to watch it,0,0,Pauline Guzman,BRQaEJv9qIk,0.875,2015-09-02 13:19:35,True,True
2015-09-09T17:20:19,Christ is my fortress,47,21,Kashif Pyara,BRQaEJv9qIk,0.0,2015-09-09 17:20:19,True,True
2015-09-13T06:13:55,Woodlawn is one of the best films I have ever seen. Better than war room.,55,13,Dekker Dutch O'Farrell,BRQaEJv9qIk,0.75,2015-09-13 06:13:55,True,True
2015-09-20T03:06:15,roll tide,0,0,bamabornrtr,BRQaEJv9qIk,0.0,2015-09-20 03:06:15,True,True
2015-09-30T18:07:28,"My youth group is going to go see this, SCREW THAT LETS GO SEE MULAN 3 WHOS WITH ME!!!!!!!!!!!!!!!!!!!!!!!!!!",0,0,Asfagaming,BRQaEJv9qIk,0.0,2015-09-30 18:07:28,True,True
2015-10-03T01:52:00,Wow. Goosebumps tho. Haha. Very excited for this. 😊😇,0,0,Stella Viernes,BRQaEJv9qIk,0.2625,2015-10-03 01:52:00,True,True
2015-10-04T15:09:11,This is  going to be a great movie that will yield people to change.  Thank you all for reminding the world to love.  MizMacMarketing LLC aka. Yolanda Mac,3,4,MizMacMarketing LLC.,BRQaEJv9qIk,0.65,2015-10-04 15:09:11,True,True
2015-10-06T07:59:44,"another movie painting white people out to be racist, or telling people that if you don't believe in god your not worth anything.",0,3,Hoyt Archery,BRQaEJv9qIk,-0.075,2015-10-06 07:59:44,True,True
2015-10-07T01:35:20,"Hey,isn't Woodlawn where adnan syed went?",0,0,Medici Soldier,BRQaEJv9qIk,0.0,2015-10-07 01:35:20,True,True
2015-10-09T23:07:13,When can we see this movie in Mexico?,0,0,Marben Izquierdo,BRQaEJv9qIk,0.0,2015-10-09 23:07:13,False,True
2015-10-11T16:59:28,What's the music?,0,0,Dante Lectro,BRQaEJv9qIk,0.0,2015-10-11 16:59:28,False,True
2015-10-13T21:32:11,Thank God we have another faith base movie making it to the big screen!,7,0,Praying Still Works,BRQaEJv9qIk,-0.4,2015-10-13 21:32:11,False,True
2015-10-14T21:21:52,"Saw this movie when it came out, let me tell you it changed my heart. Very touching and so beautiful to share god's word, Amen!",29,0,Olivia Adkins,BRQaEJv9qIk,0.825,2015-10-14 21:21:52,False,True
2015-10-15T19:01:16,"I don't care about religion or all of that, but this looks like it might be good, and not be about Christians vs everyone else  and it's a true story with a bit of football",0,0,DubsOdyssey,BRQaEJv9qIk,0.5249999999999999,2015-10-15 19:01:16,False,True
2015-10-15T23:13:54,"Looks like a great inspirational film for the whole family, will be checking it out this weekend!!!",10,0,True2Jesus,BRQaEJv9qIk,0.5635416666666667,2015-10-15 23:13:54,False,True
2015-10-16T02:58:49,"who is singing ""this little light of mine""?!",1,0,Caleb Roberts,BRQaEJv9qIk,0.15625,2015-10-16 02:58:49,False,True
2015-10-16T03:42:57,already saw this movie today and I go to woodlawn,0,0,DaTree Mann,BRQaEJv9qIk,0.0,2015-10-16 03:42:57,False,True
2015-10-16T03:49:43,christian propaganda is quite in vogue this year isn't it?,1,0,pernus,BRQaEJv9qIk,-0.05,2015-10-16 03:49:43,False,True
2015-10-16T04:54:18,Who's God? Is he some kind of celebrity? Or What?,2,4,epixstuff456,BRQaEJv9qIk,0.6,2015-10-16 04:54:18,False,True
2015-10-16T06:05:12,"I am not against it, but HOLLYWOOD IS NOT A GOD DAMM CHURCH don't preach, we have missionaries for that.",4,9,Semi-Relatable Rants,BRQaEJv9qIk,0.0,2015-10-16 06:05:12,False,True
2015-10-16T08:42:06,hahaha another horrible christian movie i have to watch and make fun of cant wait!,8,15,chaz,BRQaEJv9qIk,-0.10625000000000001,2015-10-16 08:42:06,False,True
