timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2016-02-13T01:04:20,OMGOSH!!! amazing!,2,0,BelenSolorio,Gvq6cMtT5nA,0.7500000000000001,2016-02-13 01:04:20,True,True
2016-02-13T01:04:43,Smae- to cry to death,1,0,Emma Lily,Gvq6cMtT5nA,0.0,2016-02-13 01:04:43,True,True
2016-02-13T01:09:58,Holy shitttttt! I involuntarily screamed at the top of my lungs!!! 😂😂😆😆😆,57,14,Kaitlyn C,Gvq6cMtT5nA,0.9765625,2016-02-13 01:09:58,True,True
2016-02-13T01:09:58,Holy shitttttt! I involuntarily screamed at the top of my lungs!!! 😂😂😆😆😆,2,0,Kaitlyn C,Gvq6cMtT5nA,0.9765625,2016-02-13 01:09:58,True,True
2016-02-13T01:12:12,This movie is gonna be SICK !!! 😍😍😍,4,0,Melly Love,Gvq6cMtT5nA,-1.0,2016-02-13 01:12:12,True,True
2016-02-13T01:12:26,😮,2,0,Katie S,Gvq6cMtT5nA,0.0,2016-02-13 01:12:26,True,True
2016-02-13T01:14:11,Ahhhhhh OMG,1,0,It's CG,Gvq6cMtT5nA,0.0,2016-02-13 01:14:11,True,True
2016-02-13T01:15:05,Ahhh!!!! I can't wait for this movie!! It looks awesome!,3,0,Darecksi S,Gvq6cMtT5nA,1.0,2016-02-13 01:15:05,True,True
2016-02-13T01:17:06,"I just started crying, like i have a pic for proof",7,0,red lipstick-,Gvq6cMtT5nA,-0.2,2016-02-13 01:17:06,True,True
2016-02-13T01:18:17,Awesome!!!!!!,3,0,Isabelle C,Gvq6cMtT5nA,1.0,2016-02-13 01:18:17,True,True
2016-02-13T01:18:26,Idk if this would be worth my money,1,4,martijn,Gvq6cMtT5nA,0.3,2016-02-13 01:18:26,True,True
2016-02-13T01:21:35,Am i the only one who thinks that they are not even matching the book at all.,3,15,Wicketbaby,Gvq6cMtT5nA,0.0,2016-02-13 01:21:35,True,True
2016-02-13T01:21:45,Every time tris and four kids I go crazy and scream OTP!!,13,3,Moonlight Shine,Gvq6cMtT5nA,-0.9375,2016-02-13 01:21:45,True,True
2016-02-13T01:23:34,probably the only trailer that is honest to the book,1,0,xIchinii,Gvq6cMtT5nA,0.3,2016-02-13 01:23:34,True,True
2016-02-13T01:29:58,😻,2,0,Mariana Santos,Gvq6cMtT5nA,0.0,2016-02-13 01:29:58,True,True
2016-02-13T01:31:24,This is so amazing!,2,0,Hannah Cheung,Gvq6cMtT5nA,0.7500000000000001,2016-02-13 01:31:24,True,True
2016-02-13T01:31:56,OMFG YASSSS!!!!!,2,0,Laura Palfrey,Gvq6cMtT5nA,0.0,2016-02-13 01:31:56,True,True
2016-02-14T20:03:44,I'M CRYING!!!,5,0,Isabel Delgado,Gvq6cMtT5nA,-0.390625,2016-02-14 20:03:44,True,True
2016-02-14T20:07:21,wait wait wait what,1,0,Meli Rosado,Gvq6cMtT5nA,0.0,2016-02-14 20:07:21,True,True
2016-02-14T20:08:12,omg its gonna be EPIC!!!,41,5,Oliwia Ewald,Gvq6cMtT5nA,0.1953125,2016-02-14 20:08:12,True,True
2016-02-14T20:09:55,This is going to be amazing,128,30,Ricardo Brown,Gvq6cMtT5nA,0.6000000000000001,2016-02-14 20:09:55,True,True
2016-02-14T20:17:03,This is frickin amazing the feels omfg,3,0,Micaela,Gvq6cMtT5nA,0.6000000000000001,2016-02-14 20:17:03,True,True
2016-02-14T20:17:23,FELICIDADDDDDD❤❤❤❤,2,0,Linda Sotomayor,Gvq6cMtT5nA,0.0,2016-02-14 20:17:23,True,True
2016-02-14T20:17:29,"I am dead. For me, there is no better way to die. 😍",3,0,Ariana Rodriguez,Gvq6cMtT5nA,-0.225,2016-02-14 20:17:29,True,True
2016-02-14T20:18:36,this is amazing the genetic parts are so interesting I CANT FUVKIMF WAIT and can we please talk about Tris and Tobias😍,2,0,Vivian Gen,Gvq6cMtT5nA,0.55,2016-02-14 20:18:36,True,True
2016-02-14T20:20:55,This is too much,1,0,Kiraaa_xo,Gvq6cMtT5nA,0.2,2016-02-14 20:20:55,True,True
2016-02-14T20:21:39,I'm so fucking ready for this movie,2,0,Lily Colles,Gvq6cMtT5nA,0.2,2016-02-14 20:21:39,True,True
