timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2015-07-21T16:05:21,This looks great,0,0,Aidan Haney,O-RgquKVTPE,0.8,2015-07-21 16:05:21,True,True
2015-07-21T16:06:49,What would we do without the brilliance of Pixar?,3,4,hollaname,O-RgquKVTPE,0.0,2015-07-21 16:06:49,True,True
2015-07-21T16:08:04,First,0,0,prinxzess,O-RgquKVTPE,0.25,2015-07-21 16:08:04,True,True
2015-07-21T16:10:01,Damn Pixar just take my money even though I've seen Inside Out three times already.,17,0,not you,O-RgquKVTPE,0.0,2015-07-21 16:10:01,True,True
2015-07-21T16:10:03,Asombroso!,0,0,erosast,O-RgquKVTPE,0.0,2015-07-21 16:10:03,True,True
2015-07-21T16:10:09,THE ANIMATION LOOKS AMAZING CARTOONY DINOSAUR INCLUDED,1,0,Jalen Moody,O-RgquKVTPE,0.6000000000000001,2015-07-21 16:10:09,True,True
2015-07-21T16:10:32,I smell a another big success from Disney Pixar!,8,6,Shellyman Studios,O-RgquKVTPE,0.1875,2015-07-21 16:10:32,True,True
2015-07-21T16:10:48,awesome,0,0,žžšščč ččššžž,O-RgquKVTPE,1.0,2015-07-21 16:10:48,True,True
2015-07-21T16:10:59,I don't think the animation could look anymore beautiful or realistic. O_O,117,8,theNightFuryfan95,O-RgquKVTPE,0.35555555555555557,2015-07-21 16:10:59,True,True
2015-07-21T16:11:30,Ooh is the song by  of monsters and men??,1,0,Jazmine,O-RgquKVTPE,0.0,2015-07-21 16:11:30,True,True
2015-07-21T16:11:42,This looks so beautiful ,1,0,Tim,O-RgquKVTPE,0.85,2015-07-21 16:11:42,True,True
2015-07-21T16:11:51,Firs,0,0,meme.boi01,O-RgquKVTPE,0.0,2015-07-21 16:11:51,True,True
2015-07-21T16:12:00,Dat dinosaur...,0,0,Dimas Setyo,O-RgquKVTPE,0.0,2015-07-21 16:12:00,True,True
2015-07-21T16:12:03,Looks amazing. Pixar may have another hit on their hands.,0,0,Nesdood007,O-RgquKVTPE,0.6000000000000001,2015-07-21 16:12:03,True,True
2015-07-21T16:12:29,F this. I'm sold.,9,0,ClubSoda,O-RgquKVTPE,0.0,2015-07-21 16:12:29,True,True
2015-07-21T16:12:35,Wow. This really moved me and made me smile. I smell the essences of another good Pixar movie coming. ,0,0,United_World's Finest,O-RgquKVTPE,0.325,2015-07-21 16:12:35,True,True
