timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2016-04-22T07:01:23,first,0,0,Jerome Aguirre,RfJgT89hEME,0.25,2016-04-22 07:01:23,True,True
2016-04-22T07:03:18,Segundo!!!,0,0,Jordan Alvarez,RfJgT89hEME,0.0,2016-04-22 07:03:18,True,True
2016-04-22T07:04:38,"cheesy as Hell ,but I loved the first one so I'm in.",1,3,Bing Bong,RfJgT89hEME,0.15,2016-04-22 07:04:38,True,True
2016-04-22T07:04:46,Wooio,0,0,anshul bhatia,RfJgT89hEME,0.0,2016-04-22 07:04:46,True,True
2016-04-22T07:06:08,Very generic trailer...,2,0,Cosmo,RfJgT89hEME,0.0,2016-04-22 07:06:08,True,True
2016-04-22T07:06:55,going to be awesome,0,0,bkwj 24,RfJgT89hEME,1.0,2016-04-22 07:06:55,True,True
2016-04-22T07:07:19,I'm throwing my money at the screen but nothing is happening,59,0,Black Phillip,RfJgT89hEME,0.0,2016-04-22 07:07:19,True,True
2016-04-22T07:08:53,It looks good,0,0,Rayyerishnan Rayyer,RfJgT89hEME,0.7,2016-04-22 07:08:53,True,True
2016-04-22T07:09:26,"Wow, Jeff Goldblum actually looks like he's going to vary his performance a little ;)",9,0,AJ Universe,RfJgT89hEME,0.040625,2016-04-22 07:09:26,True,True
2016-04-22T07:09:51,they like the landmarks :D :D :D :D that explains all the movies!!,31,0,workmonk vinay,RfJgT89hEME,1.0,2016-04-22 07:09:51,True,True
2016-04-22T07:10:36,Hype hype hype everywhere,0,0,Pollux,RfJgT89hEME,0.0,2016-04-22 07:10:36,True,True
2016-04-22T07:11:54,Wander what the hell all the other countries doing during this invasion. Nothing i guess. lol,1,0,Allan Alberts,RfJgT89hEME,0.3375,2016-04-22 07:11:54,True,True
2016-04-22T07:12:27,i am going to CRY,0,0,MeKILLoH,RfJgT89hEME,0.0,2016-04-22 07:12:27,True,True
2016-04-22T07:12:39,This is going to be so badass,0,0,Dwight K. Schrute,RfJgT89hEME,0.0,2016-04-22 07:12:39,True,True
2016-04-22T07:12:56,6th,0,0,Azwar Channel,RfJgT89hEME,0.0,2016-04-22 07:12:56,True,True
2016-04-22T07:13:40,Will Smith?,1,4,Hero Acer,RfJgT89hEME,0.0,2016-04-22 07:13:40,True,True
2016-04-22T07:13:42,The visual effects look amazing tbvh,8,2,Rayyerishnan Rayyer,RfJgT89hEME,0.30000000000000004,2016-04-22 07:13:42,True,True
