timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2019-09-13T14:29:33,Wow awesome movie,0,0,Reñier Aguirre,TZsgNH17_X4,0.55,2019-09-13 14:29:33,True,True
2019-09-13T14:33:31,Tom Segura roasting people in a horror movie. I'm in.,242,4,Tales From the Forbidden Blender,TZsgNH17_X4,0.0,2019-09-13 14:33:31,True,True
2019-09-13T14:34:09,🤯,0,0,Mr awesome Cool,TZsgNH17_X4,0.0,2019-09-13 14:34:09,True,True
2019-09-13T14:35:35,THIRD !!!!!!!!         *edit* ik no one cares lol,2,0,Pamella Gwiza,TZsgNH17_X4,0.4,2019-09-13 14:35:35,True,True
2019-09-13T14:41:41,Some movies are JUST good and you just have to pause the trailer,93,1,Que_Rico,TZsgNH17_X4,0.7,2019-09-13 14:41:41,True,True
2019-09-13T14:44:22,Alexis cue music  Music playing: 'Its the final Countdown',220,0,Tee m,TZsgNH17_X4,0.0,2019-09-13 14:44:22,True,True
2019-09-13T15:14:28,Its been a long time since I wanted to see a horror movie.,90,0,Romae Davis,TZsgNH17_X4,-0.05,2019-09-13 15:14:28,True,True
2019-09-13T15:14:47,Lmao Tom Sugarman baby!,11,0,Toebiwankonobi,TZsgNH17_X4,0.75,2019-09-13 15:14:47,True,True
2019-09-13T15:25:01,This wouldn’t have happened if they kept their jeans high and tight.,456,5,schmidm90,TZsgNH17_X4,-0.009285714285714286,2019-09-13 15:25:01,True,True
2019-09-13T15:31:31,"try it out..ma'am. Free cloud storage, free international calling. But you gotta complete a survey after our transaction today",3,0,MrAHall624,TZsgNH17_X4,0.225,2019-09-13 15:31:31,True,True
2019-09-13T15:36:44,"Poor Beck, girl can't have a normal life",10281,48,Winter child,TZsgNH17_X4,-0.125,2019-09-13 15:36:44,True,True
2019-09-13T15:44:56,"So Final destination, but with an app.",4200,34,Quinton Richardson,TZsgNH17_X4,0.0,2019-09-13 15:44:56,True,True
2019-09-13T15:57:50,Should’ve stayed with Joe Beck 🤦🏽‍♀️,18,1,Spring Giddinessify,TZsgNH17_X4,0.0,2019-09-13 15:57:50,True,True
2019-09-13T16:03:51,"I’m just here to see the Main mommy tommy, I was sitting in the theaters watching a preview for what seemed to be a Horrible generic horror movie , when to my surprise I spotted the water champ himself, i got so exited I almost spit out my moose soup! Will definitely go see this movie, thanks jeans !",18,0,Samuel Thompson,TZsgNH17_X4,-0.11666666666666667,2019-09-13 16:03:51,True,True
2019-09-13T16:05:59,Soooooo - final destination for the tech-age?,0,0,Jude Samson,TZsgNH17_X4,0.0,2019-09-13 16:05:59,True,True
2019-09-13T16:06:16,"Alexa, play a song involving countdowns to my death? ""Tick tock tick tock tick tock people, time slippin away .."" Okay....",18,0,Edward Creter,TZsgNH17_X4,0.5,2019-09-13 16:06:16,True,True
2019-09-13T16:40:11,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😈😈😈😈😈😈😈😈😈😈😈😈😈😈🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤣🤣🤣🤣🤣🤣😈🤡😈🤡😈🤡😈🤣,1,0,Jason Lam,TZsgNH17_X4,0.0,2019-09-13 16:40:11,True,True
2019-09-13T16:51:18,Beck should have just had Joe!,0,0,Neha Tandon,TZsgNH17_X4,0.0,2019-09-13 16:51:18,True,True
2019-09-13T17:22:27,"It's like One Missed Call meets Final Destination. Also, what Carlisle doing as a brunette?",864,11,Elaini Young,TZsgNH17_X4,0.0,2019-09-13 17:22:27,True,True
2019-09-13T17:55:48,Jus uninstall the App 🤷🏾‍♀️,0,0,Cashelle Cayenne,TZsgNH17_X4,0.0,2019-09-13 17:55:48,True,True
2019-09-13T17:59:45,oh we have dr.carlisle collin here! but isn't he immortal?,312,3,Huda,TZsgNH17_X4,0.0,2019-09-13 17:59:45,True,True
2019-09-13T18:00:31,Is this based on the one sop that follows u in your photos after u open its app,0,0,leothegoldenvlogger,TZsgNH17_X4,0.0,2019-09-13 18:00:31,True,True
2019-09-13T18:16:41,Now that's a killer app,1,0,evieramosi,TZsgNH17_X4,0.0,2019-09-13 18:16:41,True,True
2019-09-13T18:17:54,This looks good for a cliche story. Also there's a movie about a crazy app on Netflix like this. But imagine a male demon Siri becoming real after posessing- okay it's not that similar but it's similar.,1,0,Kxrrin,TZsgNH17_X4,0.15625,2019-09-13 18:17:54,True,True
2019-09-13T18:24:11,"You know what....this is so ""THE RING""...hello!",1,0,Remy Azhary Yosef,TZsgNH17_X4,0.0,2019-09-13 18:24:11,True,True
2019-09-13T18:40:56,I laughed several times.,0,0,C Peterson,TZsgNH17_X4,0.35,2019-09-13 18:40:56,True,True
2019-09-13T18:42:01,clear cache and clear storage,0,0,Steven Vega,TZsgNH17_X4,0.10000000000000002,2019-09-13 18:42:01,True,True
2019-09-13T18:59:51,Hell yeah keep those jeans high and tight!,3,0,Josh Novosad,TZsgNH17_X4,-0.03160714285714286,2019-09-13 18:59:51,True,True
2019-09-13T19:09:34,I just love the idea !,0,0,Marine,TZsgNH17_X4,0.625,2019-09-13 19:09:34,True,True
2019-09-13T19:13:41,Omg I cannot wait to watch this ❤️💖,11,1,debs okpechi,TZsgNH17_X4,0.0,2019-09-13 19:13:41,True,True
2019-09-13T19:28:43,From dating a sociopath to a death stalker app ..,776,6,Senkuu,TZsgNH17_X4,0.0,2019-09-13 19:28:43,True,True
2019-09-13T19:33:04,"I don’t do the so called ‘funny’ on-line surveys or readings. I don’t believe them...but that shit will work itself into your subconscious. Hmm, I think they made a movie about it. 😱",19,1,Juls,TZsgNH17_X4,0.016666666666666663,2019-09-13 19:33:04,True,True
2019-09-13T19:39:52,"""they both die at the end"" gone wrong. Adam silvera, where are you?",140,4,Saanvi Sai,TZsgNH17_X4,-0.5,2019-09-13 19:39:52,True,True
2019-09-13T19:43:31,OMG! That last scene killed me lol.,0,0,Ayanda M.,TZsgNH17_X4,0.20000000000000004,2019-09-13 19:43:31,True,True
2019-09-13T19:44:26,NO THANK YOU!! I DON’T WANNA KNOW WHEN!! BYE 👋🏾!,1,0,Dollie,TZsgNH17_X4,0.0,2019-09-13 19:44:26,True,True
2019-09-13T19:53:02,Yeah fuck this,0,0,matthew burdette,TZsgNH17_X4,-0.4,2019-09-13 19:53:02,True,True
2019-09-13T19:57:59,Wheres Rachel Riley?,0,0,rick Woods,TZsgNH17_X4,0.0,2019-09-13 19:57:59,True,True
2019-09-13T20:01:46,"I guess after the Final Destination series, Death decided to eschew all the crazy machinations and just us an app to get the souls.",65,0,bigvirgotube,TZsgNH17_X4,-0.3,2019-09-13 20:01:46,True,True
2019-09-13T20:06:07,So final destination for this generation,0,0,jonmel,TZsgNH17_X4,0.0,2019-09-13 20:06:07,True,True
2019-09-13T20:16:14,"So it's The Ring, but in app form.",75,2,Ashton Turner,TZsgNH17_X4,0.0,2019-09-13 20:16:14,True,True
2019-09-13T20:27:22,"THEY ACTUALLY DID IT.  They made a killer Cell phone app, lol.   Killer dolls, a possessed car,  then a killer video tape, then a video game that kills you, then apparently you can die playing Truth or Dare, now a killer Cell phone app. Is there one where the house tries to kill you ? I know there has to be.",26,7,King 2202,TZsgNH17_X4,0.06999999999999999,2019-09-13 20:27:22,True,True
2019-09-13T20:31:48,This looks so cool!!,1,0,Tiger Lily,TZsgNH17_X4,0.546875,2019-09-13 20:31:48,True,True
2019-09-13T20:32:22,y'all should stop killing beck,0,0,meera hmj,TZsgNH17_X4,0.0,2019-09-13 20:32:22,True,True
2019-09-13T21:02:10,"I think there is such a thing, an app the calculates a countdown.",4,0,PowerCookie1,TZsgNH17_X4,0.0,2019-09-13 21:02:10,True,True
2019-09-13T21:03:31,Let me guess it is called final destination,0,0,khalil araj,TZsgNH17_X4,0.0,2019-09-13 21:03:31,True,True
2019-09-13T21:21:45,"Can we please, stop it with these Mormon Ads.",14,2,Todd Linsley,TZsgNH17_X4,0.0,2019-09-13 21:21:45,True,True
2019-09-13T21:32:09,So dumb lol would’ve been more interesting if it was similar to final destination. Technology and random creatures just come off cheese AF.,11,1,Abel Villa,TZsgNH17_X4,0.13214285714285715,2019-09-13 21:32:09,True,True
2019-09-13T21:46:25,Black Mirror + Final Destination,0,0,Andrew Moore,TZsgNH17_X4,-0.08333333333333333,2019-09-13 21:46:25,True,True
2019-09-13T21:49:52,why would you ruin your best scare in the trailer???,1965,15,mermer,TZsgNH17_X4,1.0,2019-09-13 21:49:52,True,True
2019-09-13T21:54:15,"Lmao ""whatever is happening to us, I think it's because of this app"" ROFL, ROFL. Omfg what? What is this shit!!",0,0,UGO,TZsgNH17_X4,0.47187500000000004,2019-09-13 21:54:15,True,True
2019-09-13T22:10:09,Final Destination remake,0,0,mr. Loki,TZsgNH17_X4,0.0,2019-09-13 22:10:09,True,True
2019-09-13T22:18:24,Damn what if someone found a way to figure out how long you will live... would want to know How or When???,0,0,T! G!,TZsgNH17_X4,0.043181818181818175,2019-09-13 22:18:24,True,True
2019-09-13T22:29:15,A trailer should not be longer than a 1:30. Had they stopped there that would've been enough.,2,0,Vuyolwethu Mtyapa,TZsgNH17_X4,0.0,2019-09-13 22:29:15,True,True
2019-09-13T22:33:11,Spin on the final destination....,0,0,Elise Waugh,TZsgNH17_X4,0.0,2019-09-13 22:33:11,True,True
2019-09-13T22:33:52,An app that tells you when Die!? No thank you! 😨,3,0,TH3 BLACKGHOST 21,TZsgNH17_X4,0.0,2019-09-13 22:33:52,True,True
2019-09-13T22:41:14,He really messed up with your phone Beck,355,0,Neeraj Singh Tanwer,TZsgNH17_X4,0.2,2019-09-13 22:41:14,True,True
2019-09-13T22:41:28,That was a very excellent short film,0,0,Nathaniel Finestone,TZsgNH17_X4,0.5,2019-09-13 22:41:28,True,True
2019-09-13T22:45:28,There actually is an app that us supposed to countdown how long you have left to live,2,0,Alice Mills,TZsgNH17_X4,0.021590909090909088,2019-09-13 22:45:28,True,True
2019-09-13T23:16:24,Jesus this looks fucking terrible,0,0,Tmoddrummer 35,TZsgNH17_X4,-1.0,2019-09-13 23:16:24,True,True
2019-09-13T23:20:41,Carlisle is still a doctor huh?,0,0,tthpf,TZsgNH17_X4,0.0,2019-09-13 23:20:41,True,True
2019-09-13T23:26:58,I would contact the app's complaints department and obviously give them a bad review....before I died a horrific death,3600,14,Dusty Scrolls,TZsgNH17_X4,-0.5666666666666665,2019-09-13 23:26:58,True,True
2019-09-13T23:52:18,Why would anyone download that app 😑🙄🙄,0,0,Jenn,TZsgNH17_X4,0.0,2019-09-13 23:52:18,True,True
2019-09-14T00:10:11,THIS LOOKS GOOD YASSSSSSSSSSSSSSSS,0,0,andrew carson,TZsgNH17_X4,0.7,2019-09-14 00:10:11,True,True
2019-09-14T00:15:52,Zesrałem się,0,0,Wacik Cukrowy,TZsgNH17_X4,0.0,2019-09-14 00:15:52,True,True
2019-09-14T00:45:18,Nice like final destination but with a murderous ghost app. I don’t hate the idea tbh,11,0,Jess d,TZsgNH17_X4,-0.0666666666666667,2019-09-14 00:45:18,True,True
2019-09-14T00:51:32,"Horror movies are dead man, I just watch em for the sake of it. The last good movie was Blair witch 1999",2,0,foxrot Ghost,TZsgNH17_X4,0.16666666666666666,2019-09-14 00:51:32,True,True
2019-09-14T01:13:42,Tommy Buns!,0,0,CathyAnxiety,TZsgNH17_X4,0.0,2019-09-14 01:13:42,True,True
2019-09-14T01:18:58,So where can I download this?,0,0,GG Ellis,TZsgNH17_X4,0.0,2019-09-14 01:18:58,True,True
2019-09-14T01:24:00,Dumb,0,0,Michael Valentine,TZsgNH17_X4,-0.375,2019-09-14 01:24:00,True,True
2019-09-14T01:55:33,dumb,0,0,Sheep No More,TZsgNH17_X4,-0.375,2019-09-14 01:55:33,True,True
2019-09-14T02:09:37,I would download that thing instantly and be like f this I'm dieing in 4 months I'm going out with a BANG,2,0,Catherine Tarte,TZsgNH17_X4,0.0,2019-09-14 02:09:37,True,True
2019-09-14T02:36:28,wait.  is this a comedy?  jeans?,0,0,Pat Pat,TZsgNH17_X4,0.0,2019-09-14 02:36:28,True,True
2019-09-14T02:36:32,How about dat app doe?,0,0,Matthew Mertens,TZsgNH17_X4,0.0,2019-09-14 02:36:32,True,True
2019-09-14T02:42:33,Model 666-14 Samsung-Apple Phone with 5G model interdimensional calling is to die for.,2,0,WERNUTZ,TZsgNH17_X4,0.0,2019-09-14 02:42:33,True,True
2019-09-14T03:05:08,"Ahhh...and app version of ""One Missed Call""",2,0,Drkone Davis,TZsgNH17_X4,0.0,2019-09-14 03:05:08,True,True
2019-09-14T03:08:31,Lol it’s the guy from final destination.,0,0,John Alipranti,TZsgNH17_X4,0.4,2019-09-14 03:08:31,True,True
2019-09-14T03:41:29,"How many people guessed the end of the sentence after ""What if an app...""?",2,0,PatronHall,TZsgNH17_X4,0.5,2019-09-14 03:41:29,True,True
2019-09-14T04:44:52,Movie release date plz,0,0,naga saikiran,TZsgNH17_X4,0.0,2019-09-14 04:44:52,True,True
2019-09-14T05:50:26,Was it just me or was there no month section on the app,1,0,Mae lols,TZsgNH17_X4,0.0,2019-09-14 05:50:26,True,True
2019-09-14T05:52:31,"Well, this looks shit.",0,0,Painted Solace,TZsgNH17_X4,-0.2,2019-09-14 05:52:31,True,True
2019-09-14T06:00:33,Lol fuck’s sake. Now the apps are liking us.,3,0,OmegaTrooper,TZsgNH17_X4,0.2,2019-09-14 06:00:33,True,True
2019-09-14T06:17:43,"oke, carlisle is a big hint! it's a twilight spin off! after victoria was killed, there was a terror in town, bad vampires were hunting based on the app (as tech is more advanced now) then carlisle and the gang would come to the rescue~",4,0,Mal,TZsgNH17_X4,2.2204460492503132e-17,2019-09-14 06:17:43,True,True
2019-09-14T06:29:23,When is it coming?......2019 when,0,0,Nathaniel Shayne Tagilala,TZsgNH17_X4,0.0,2019-09-14 06:29:23,True,True
2019-09-14T06:34:44,Stop using phones.,0,0,Nicole Villanueva,TZsgNH17_X4,0.0,2019-09-14 06:34:44,True,True
2019-09-14T07:08:15,Wtf Haha,0,0,Jhamie Tanricss,TZsgNH17_X4,-0.15,2019-09-14 07:08:15,True,True
2019-09-14T07:14:49,How has Karl pilkington idea spawned another movie!!!!,0,0,Sean Poole,TZsgNH17_X4,0.0,2019-09-14 07:14:49,True,True
2019-09-14T07:43:26,That is one way to end Friday the 13th,0,0,Zain Kehinde,TZsgNH17_X4,0.0,2019-09-14 07:43:26,True,True
2019-09-14T07:55:32,Ok my suspension of disbelief can only go so far...😒...really?...,0,0,Brent Pilgrim,TZsgNH17_X4,0.25,2019-09-14 07:55:32,True,True
2019-09-14T08:05:39,So beck is in final destination 6 ?,0,0,雲m,TZsgNH17_X4,0.0,2019-09-14 08:05:39,True,True
2019-09-14T08:22:24,"We should start a petition to 'trailer making companys"". Can we pls stop with spoiling the movie thou... 😔🧐😑🙄 its annoying.",13,0,Belicious Muse,TZsgNH17_X4,-0.8,2019-09-14 08:22:24,True,True
2019-09-14T08:39:39,They’ve taken the duo lingo meme and turned it into a film,4092,15,Hey Gamers,TZsgNH17_X4,0.0,2019-09-14 08:39:39,True,True
2019-09-14T09:04:33,I'm sure I'll enjoy this one. Feels like The Ring meets Final Destination. Two of my fave movies.,2,0,cruzinbosco,TZsgNH17_X4,0.3,2019-09-14 09:04:33,True,True
2019-09-14T09:11:13,So In Time (2011) but make it teen targeted???,1,0,Maria Alier,TZsgNH17_X4,0.0,2019-09-14 09:11:13,True,True
2019-09-14T09:53:09,this is like a SNL parody skit😅,0,0,Naitō Gottfreed,TZsgNH17_X4,0.0,2019-09-14 09:53:09,True,True
2019-09-14T10:03:24,Am here by Brent's Link it's after Blue whale the most scary app😁,0,0,N 7,TZsgNH17_X4,0.0,2019-09-14 10:03:24,True,True
2019-09-14T10:18:22,"Is this like 'Love Alarm' but instead of a cliché romance, it's Beck trying to escape her fate in a thriller?",2,0,Gosia Feter,TZsgNH17_X4,0.5,2019-09-14 10:18:22,True,True
2019-09-14T10:28:49,Pleasssseee,0,0,Dirk Diggler,TZsgNH17_X4,0.0,2019-09-14 10:28:49,True,True
2019-09-14T10:46:00,I'd rather watch this on black mirror,0,0,Aashna Chowdhury,TZsgNH17_X4,-0.16666666666666666,2019-09-14 10:46:00,True,True
2019-09-14T10:46:17,ohmygod it’s the “I’m such a mess” girl,2,0,Fiona Chance,TZsgNH17_X4,-0.0875,2019-09-14 10:46:17,True,True
2019-09-14T10:59:39,Fuck this azar ads..I’m cringing to death 😩😩😩😩😩,0,0,Free Thinkers,TZsgNH17_X4,-0.4,2019-09-14 10:59:39,True,True
2019-09-14T11:04:03,The premium version of the app let’s you add more days ..haaa can’t believe these companies are making us pay for some utterly shit 🙄🙄🙄,0,0,Free Thinkers,TZsgNH17_X4,0.15,2019-09-14 11:04:03,True,True
2019-09-14T11:06:40,"""Teen"" this will have at least one character 'struggling' to come out to their parents.",87,2,The Moon,TZsgNH17_X4,-0.15,2019-09-14 11:06:40,True,True
2019-09-14T11:07:26,I want to watch this movie but im only turning 11 i think this is R16+ BTW its just like final destination,0,0,KC Bercasio,TZsgNH17_X4,0.0,2019-09-14 11:07:26,True,True
2019-09-14T11:26:21,We all die in the end book feels,0,0,Leeanne Niel,TZsgNH17_X4,0.0,2019-09-14 11:26:21,True,True
2019-09-14T11:28:48,0:23 doctor again.,0,0,Diana N,TZsgNH17_X4,0.0,2019-09-14 11:28:48,True,True
2019-09-14T11:45:44,I first thought it was you season 2,0,0,Priyanka Mudgal,TZsgNH17_X4,0.25,2019-09-14 11:45:44,True,True
2019-09-14T11:48:16,inevitably they'll be a promotional app...,0,0,Larry Langan,TZsgNH17_X4,0.0,2019-09-14 11:48:16,True,True
2019-09-14T12:07:14,Futurama did it first,1,0,Scott,TZsgNH17_X4,0.25,2019-09-14 12:07:14,True,True
2019-09-14T12:08:09,WTF watch this trailer was a waste of my time 😒,0,0,Habon A,TZsgNH17_X4,-0.35,2019-09-14 12:08:09,True,True
2019-09-14T12:10:23,Beck just can't catch a break.,0,0,tithi,TZsgNH17_X4,0.0,2019-09-14 12:10:23,True,True
2019-09-14T12:21:05,This is funny af lol.,0,0,Celinde,TZsgNH17_X4,0.525,2019-09-14 12:21:05,True,True
2019-09-14T12:23:07,Thought it was going to be a Final Destination type of thing,1,0,JAMAL JOSEPH,TZsgNH17_X4,0.0,2019-09-14 12:23:07,True,True
2019-09-14T12:23:20,They have an app like that already. But why would someone download it? 🤦‍♀️,25,3,JustJess,TZsgNH17_X4,0.0,2019-09-14 12:23:20,True,True
2019-09-14T12:24:31,I'm here for Tom segura!!,0,0,Hubba bubba,TZsgNH17_X4,0.0,2019-09-14 12:24:31,True,True
2019-09-14T12:25:23,Final destination : dont Text or anything,0,0,zack2366,TZsgNH17_X4,0.0,2019-09-14 12:25:23,True,True
