timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2019-07-23T19:03:09,YES,2,0,Bagno Maria,VTqd4yNFuSw,0.0,2019-07-23 19:03:09,True,True
2019-07-23T19:03:55,I am so seeing this.,1,0,Jonathan Pinzon,VTqd4yNFuSw,0.0,2019-07-23 19:03:55,True,True
2019-07-23T19:05:21,I think this is fantastic. Thank you Fox Searchlight and Taika Waititi!,28,0,Mundo Platônico,VTqd4yNFuSw,0.5,2019-07-23 19:05:21,True,True
2019-07-23T19:07:19,I  already know that this movie is gonna be great!,76,1,Dika Fern,VTqd4yNFuSw,1.0,2019-07-23 19:07:19,True,True
2019-07-23T19:09:43,"I dunno Taika, I just don't know",3,1,check film fantastic,VTqd4yNFuSw,0.0,2019-07-23 19:09:43,True,True
2019-07-23T19:11:10,I love Taika's style so much.,320,10,Alex Fraga,VTqd4yNFuSw,0.35,2019-07-23 19:11:10,True,True
2019-07-23T19:12:16,"God bless you, Taika Waititi.",58,0,Tyler Myers,VTqd4yNFuSw,0.0,2019-07-23 19:12:16,True,True
2019-07-23T19:14:29,"I'm highly offended that Scarlet Johanson's charcter isnt being  playing by an Aryan, Trump supporter",4,3,EricIsntHere OrThereEither,VTqd4yNFuSw,0.16,2019-07-23 19:14:29,True,True
2019-07-23T19:15:06,Another Fox Searchlight movie for the Oscars!,37,1,Mundo Platônico,VTqd4yNFuSw,0.0,2019-07-23 19:15:06,True,True
2019-07-23T19:18:33,Moonrise Kingdom vibes. anyone?,291,6,Zadvic,VTqd4yNFuSw,0.0,2019-07-23 19:18:33,True,True
2019-07-23T19:25:14,Did Wes Anderson secretly direct?,127,4,123deerfest,VTqd4yNFuSw,0.1,2019-07-23 19:25:14,True,True
2019-07-23T19:42:38,Gotta love Taika,3,0,Twelve K,VTqd4yNFuSw,0.5,2019-07-23 19:42:38,True,True
2019-07-23T19:43:35,wow this is messed up that retared killed 6 millon people,3,4,vigi Diamond,VTqd4yNFuSw,-0.05,2019-07-23 19:43:35,True,True
2019-07-23T19:44:57,"Hmm, not sure what to make of this one.",1,0,Hitmonkey,VTqd4yNFuSw,-0.25,2019-07-23 19:44:57,True,True
2019-07-23T19:46:41,Taika Waititi is going for Wes Anderson's throat AND I'M ALL FOR IT!,3341,31,Darth Ramious,VTqd4yNFuSw,0.0,2019-07-23 19:46:41,True,True
2019-07-23T19:54:45,"Taika Waititi is a treasure, doing what others are afraid to. Mel Brooks would approve!",817,27,MaximumRD,VTqd4yNFuSw,-0.75,2019-07-23 19:54:45,True,True
2019-07-23T19:57:02,0:04 Yeet,2,0,Thomas Alexanian,VTqd4yNFuSw,0.0,2019-07-23 19:57:02,True,True
2019-07-23T19:58:32,Too bad that flash of Rebel Wilson ruined it all.,2,1,Kamdan,VTqd4yNFuSw,-0.6999999999999998,2019-07-23 19:58:32,True,True
2019-07-23T20:08:05,This looks like one of the worst films I have seen in a long time. I thought this was an April fools joke until I saw it was released today. wow,1,4,Unruly Monster,VTqd4yNFuSw,-0.3166666666666667,2019-07-23 20:08:05,True,True
2019-07-23T20:10:35,This is so freaking cool it’s gonna be funny as hell you know Taika ain’t playin,19,0,Elizabeth Vezen,VTqd4yNFuSw,0.3,2019-07-23 20:10:35,True,True
2019-07-23T20:12:19,I have a very bad feeling this won't go over well.,0,5,J'acob Albers,VTqd4yNFuSw,-0.9099999999999998,2019-07-23 20:12:19,True,True
2019-07-23T20:13:00,"""Do you want some bisgetti?""",18,4,Simão Ferreira,VTqd4yNFuSw,0.0,2019-07-23 20:13:00,True,True
2019-07-23T20:13:13,Korg: The first Avenger,274,3,Daniel Nikrasov,VTqd4yNFuSw,0.25,2019-07-23 20:13:13,True,True
2019-07-23T20:17:14,Okay imma just make this joke... Does anyone think it’s weird that Disney now owns Fox Search Light and the first thing they release is a movie where hitler is a very nice caring man?,2,5,Alan Vizuet,VTqd4yNFuSw,0.28600000000000003,2019-07-23 20:17:14,True,True
2019-07-23T20:17:48,This looks awesome!,1,0,Pablo Soares,VTqd4yNFuSw,1.0,2019-07-23 20:17:48,True,True
2019-07-23T20:20:42,19 World War II veterans disliked this trailer.,0,0,GOLDMANvision,VTqd4yNFuSw,-0.2,2019-07-23 20:20:42,True,True
2019-07-23T20:25:55,Moon-Reich Kingdom!,537,6,brad wood,VTqd4yNFuSw,0.0,2019-07-23 20:25:55,True,True
2019-07-23T20:26:56,where is JoJo refferences?,3,0,Breaking Good,VTqd4yNFuSw,0.0,2019-07-23 20:26:56,True,True
2019-07-23T20:27:47,it's a jojo's reference?,43,1,pablo torres,VTqd4yNFuSw,0.0,2019-07-23 20:27:47,True,True
2019-07-23T20:28:46,Taika you madman I love it #LetsGo,1,0,Ethan De Villiers Ethan De Villiers,VTqd4yNFuSw,0.5,2019-07-23 20:28:46,True,True
2019-07-23T20:29:11,Taika Waititi for Supporting Actor,2,0,Bryce Birkinbine,VTqd4yNFuSw,0.25,2019-07-23 20:29:11,True,True
2019-07-23T20:33:00,"I was worried about this film, especially after fox being taken over by disney, but this look amazing! 😂",2,2,Monogtra Etregmen,VTqd4yNFuSw,0.37500000000000006,2019-07-23 20:33:00,True,True
2019-07-23T20:36:19,A Jewish director making movies about how bad nazism is... What's new?,2,1,Jesus Christ,VTqd4yNFuSw,-0.18787878787878784,2019-07-23 20:36:19,True,True
2019-07-23T20:38:07,"Can't wait for this one! If anyone thinks this is intending to depict Hitler in a positive light, run yourselves a quick Google search on what this is actually about. Waititi has previously joked that there was no ""better way to insult Hitler than having him portrayed by a Polynesian Jew"". Hah!",2503,52,Kate Lattey,VTqd4yNFuSw,0.08023989898989901,2019-07-23 20:38:07,True,True
2019-07-23T20:44:35,I can see this as an actual Jojo arc,74,0,Luivchid Guerrero,VTqd4yNFuSw,0.0,2019-07-23 20:44:35,True,True
2019-07-23T20:46:48,"Wes Anderson, is that you ?",3,1,Satyam Aman,VTqd4yNFuSw,0.0,2019-07-23 20:46:48,True,True
2019-07-23T20:47:36,Why Joblo upload faster than official channel,0,0,Peera,VTqd4yNFuSw,0.0,2019-07-23 20:47:36,True,True
2019-07-23T20:51:14,LOVE THIS!!! Tika is a master of awkward and uncomfortable comedy. I can’t wait for this.,0,0,VideoVoid TV,VTqd4yNFuSw,-0.041145833333333326,2019-07-23 20:51:14,True,True
2019-07-23T20:56:19,Meh,0,0,AZI THE MLG PRO,VTqd4yNFuSw,0.0,2019-07-23 20:56:19,True,True
2019-07-23T21:03:35,"This is great, I love taika. This will inevitably be met with controversy but I hope most people realise it's a satire.",31,5,Aaron G,VTqd4yNFuSw,0.45,2019-07-23 21:03:35,True,True
