timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2017-06-15T17:09:53,يحاحا اول تعليق  #عراقي,0,0,ابن الحكومه,W3VhB1MmQOc,0.0,2017-06-15 17:09:53,True,True
2017-06-15T17:23:11,this strikes me as a bit of a cucking film?,0,0,anony mouse,W3VhB1MmQOc,0.0,2017-06-15 17:23:11,True,True
2017-06-15T17:31:17,Pico 😍😍,0,0,Aliyah Ukaye,W3VhB1MmQOc,0.0,2017-06-15 17:31:17,True,True
2017-06-15T17:36:45,the young guy shes sleeping with looks like andrew keegan gave birth to a son,273,9,luckycat666,W3VhB1MmQOc,0.1,2017-06-15 17:36:45,True,True
2017-06-15T17:50:09,دحفقدؤن,0,0,عبده محمد,W3VhB1MmQOc,0.0,2017-06-15 17:50:09,True,True
2017-06-15T18:06:10,nat wolff makin moves,94,1,Klaus Mikaelson,W3VhB1MmQOc,0.0,2017-06-15 18:06:10,True,True
2017-06-15T18:22:08,"this is like, tinder, the movie",1227,3,GentInGhent,W3VhB1MmQOc,0.0,2017-06-15 18:22:08,True,True
2017-06-15T18:25:04,grandmas back,1,0,Debjit Mirbar,W3VhB1MmQOc,0.0,2017-06-15 18:25:04,True,True
2017-06-15T18:43:00,what 😵😵😵😵,1,0,Aish T,W3VhB1MmQOc,0.0,2017-06-15 18:43:00,True,True
2017-06-15T18:48:08,I'm confused,56,0,N. J. Saroff,W3VhB1MmQOc,-0.4,2017-06-15 18:48:08,True,True
2017-06-15T18:59:20,"damned, accept your faith and take the polygamy",14,0,Mingnism,W3VhB1MmQOc,0.0,2017-06-15 18:59:20,True,True
2017-06-15T19:15:47,Liberals are trying to normalized their Cuckery.,64,2,mathewparrett -,W3VhB1MmQOc,0.0,2017-06-15 19:15:47,True,True
2017-06-15T19:33:57,sooo..... shes dating 3guys at the same time? Im confused?,654,24,BluezConcepts,W3VhB1MmQOc,-0.2,2017-06-15 19:33:57,True,True
2017-06-15T19:51:11,I'm so confused...this is making it look like polygamy but I dont think it is.,0,0,Priscila Goicochea,W3VhB1MmQOc,0.0,2017-06-15 19:51:11,True,True
2017-06-15T20:05:49,Korean drama remake !!,27,9,Yohan,W3VhB1MmQOc,0.0,2017-06-15 20:05:49,True,True
2017-06-15T20:56:14,"OMG, that little girl looks exactly like Reese Witherspoon as a kid....wow!",282,8,KC Nwokoye,W3VhB1MmQOc,0.0625,2017-06-15 20:56:14,True,True
2017-06-15T20:57:45,finally a movie that seems original can't wait to watch this,109,1,emmeline lauvi,W3VhB1MmQOc,0.1875,2017-06-15 20:57:45,True,True
