timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2016-12-20T14:08:51,Any arab here ?,3,2,"محمد العتيبي , معلللقجي",WkTFfmm5ZFQ,0.0,2016-12-20 14:08:51,True,True
2016-12-20T14:09:01,really,0,0,Snider J,WkTFfmm5ZFQ,0.2,2016-12-20 14:09:01,True,True
2016-12-20T14:09:22,its seems interesting.  ready to watch 🤔😊😊,6,0,Anuj Khadka,WkTFfmm5ZFQ,0.35,2016-12-20 14:09:22,True,True
2016-12-20T14:09:24,nope,0,0,Matthew Alexander,WkTFfmm5ZFQ,0.0,2016-12-20 14:09:24,True,True
2016-12-20T14:09:28,third to watch,0,0,Aaryadev Chandra,WkTFfmm5ZFQ,0.0,2016-12-20 14:09:28,True,True
2016-12-20T14:09:59,I'm very excited to see this film. It looks so different from anything else which we need right now.,0,0,Sarah,WkTFfmm5ZFQ,0.25773809523809527,2016-12-20 14:09:59,True,True
2016-12-20T14:10:47,thefucksthis,5,0,Storytellers,WkTFfmm5ZFQ,0.0,2016-12-20 14:10:47,True,True
2016-12-20T14:10:59,"Can be good, can be bad. Lets find out! :)",0,0,zaco666,WkTFfmm5ZFQ,0.10833333333333339,2016-12-20 14:10:59,True,True
2016-12-20T14:11:21,"damn, I actually liked this....",46,0,gart 97,WkTFfmm5ZFQ,0.6,2016-12-20 14:11:21,True,True
2016-12-20T14:11:35,"EVERYBODY, DON'T WATCH THIS TRAILER IF YOU DON'T WANT TO BE SPOILED  THIS IS GIVING TOO MUCH AWAY",1,7,Birdman,WkTFfmm5ZFQ,0.2,2016-12-20 14:11:35,True,True
2016-12-20T14:11:48,Uuummm....What?,0,0,MrRevan,WkTFfmm5ZFQ,0.0,2016-12-20 14:11:48,True,True
2016-12-20T14:12:01,Shutter island 2?,75,6,Alex Yaf,WkTFfmm5ZFQ,0.0,2016-12-20 14:12:01,True,True
2016-12-20T14:12:32,looks creepy,0,0,plantsinspace,WkTFfmm5ZFQ,-0.5,2016-12-20 14:12:32,True,True
2016-12-20T14:12:53,I don't know the story but I'm gonna find out,2,0,klloyd klloyd,WkTFfmm5ZFQ,0.0,2016-12-20 14:12:53,True,True
2016-12-20T14:13:03,reminds me of shutter island...anyone else?,844,36,Naks,WkTFfmm5ZFQ,0.0,2016-12-20 14:13:03,True,True
2016-12-20T14:13:37,green goblin the movie,2,0,Khafil doang,WkTFfmm5ZFQ,-0.2,2016-12-20 14:13:37,True,True
2016-12-20T14:13:39,SHUTTER ISLAND!,0,0,Jackson Espey,WkTFfmm5ZFQ,0.0,2016-12-20 14:13:39,True,True
2016-12-20T14:14:21,Either a classic or an utter failure,391,17,Puzzle Play,WkTFfmm5ZFQ,-0.05000000000000002,2016-12-20 14:14:21,True,True
2016-12-20T14:14:23,"Dane Dehaan is a great actor and I saw his movie, ""The Amazing Spiderman 2",13,1,klloyd klloyd,WkTFfmm5ZFQ,0.7000000000000001,2016-12-20 14:14:23,True,True
2016-12-20T14:14:36,I'm just quietly waiting for the justice league trailer!🙃,1,0,Enson Ochoa,WkTFfmm5ZFQ,0.0,2016-12-20 14:14:36,True,True
2016-12-20T14:16:04,Maybe the cure is in Spidermans blood,5,0,Varun S,WkTFfmm5ZFQ,0.0,2016-12-20 14:16:04,True,True
2016-12-20T14:16:07,awesome,0,0,Артур Даньшин,WkTFfmm5ZFQ,1.0,2016-12-20 14:16:07,True,True
2016-12-20T14:16:19,Deadpool + Shutter Island,0,0,Jason Lee,WkTFfmm5ZFQ,0.0,2016-12-20 14:16:19,True,True
2016-12-20T14:16:38,A cure for wellness.  war of the planet of the apes Jhon wick 2.  Despicable me 3.spider man homecoming.  justice League.  2017 is the hottest year for movies and me?,136,49,Usman Baloch,WkTFfmm5ZFQ,0.0,2016-12-20 14:16:38,True,True
2016-12-20T14:18:37,reminds me of ahs asylum and that was my fave season of the show so i'm kinda excited about this,1,0,android 18 stan,WkTFfmm5ZFQ,0.375,2016-12-20 14:18:37,True,True
2016-12-20T14:18:47,wtf,0,0,Emma Jamon,WkTFfmm5ZFQ,-0.5,2016-12-20 14:18:47,True,True
2016-12-20T14:18:54,"I buried 1600 kilos of cocaine somewhere in the house, right next to the cure for wellness. Good luck. :)",0,0,ISLEOFDOMINOS,WkTFfmm5ZFQ,0.37142857142857144,2016-12-20 14:18:54,True,True
2016-12-20T14:19:55,Hap.....he travelled here,4,1,Paul Mathew,WkTFfmm5ZFQ,0.0,2016-12-20 14:19:55,True,True
2016-12-20T14:20:06,Shutter Island???,0,0,david johnson,WkTFfmm5ZFQ,0.0,2016-12-20 14:20:06,True,True
2016-12-20T14:20:06,whos up ?,0,0,Andre Tv,WkTFfmm5ZFQ,0.0,2016-12-20 14:20:06,True,True
2016-12-20T14:20:54,om telolet om,0,0,Riza Alfarisi,WkTFfmm5ZFQ,0.0,2016-12-20 14:20:54,True,True
2016-12-20T14:20:58,shutter island .... anyone .. !,1,0,Gotham Promos & Clips,WkTFfmm5ZFQ,0.0,2016-12-20 14:20:58,True,True
2016-12-20T14:21:08,"This looks unsettling and beautiful at the same time. Gosh, that cinematography...",858,3,Artsy Fartsy,WkTFfmm5ZFQ,0.11666666666666665,2016-12-20 14:21:08,True,True
2016-12-20T14:21:19,The OA,6,2,Rick Sanchez,WkTFfmm5ZFQ,0.0,2016-12-20 14:21:19,True,True
2016-12-20T14:22:22,He reminded me of a young Leo Decap.,0,0,emersonv,WkTFfmm5ZFQ,0.1,2016-12-20 14:22:22,True,True
2016-12-20T14:22:23,It looks such a wonderful movie with such a bad lead actor. Kinda wasted opportunity...,0,1,Glorious Mustache,WkTFfmm5ZFQ,0.020000000000000028,2016-12-20 14:22:23,True,True
2016-12-20T14:22:29,i dont think i enjoy watching anyone devolve into madness quite as much as watching Dane,0,0,Kareem Forde,WkTFfmm5ZFQ,0.30000000000000004,2016-12-20 14:22:29,True,True
2016-12-20T14:22:41,shutter island ??,0,0,aakanksha soy,WkTFfmm5ZFQ,0.0,2016-12-20 14:22:41,True,True
2016-12-20T14:22:50,Learn face reading..!!!,3,3,SagaBaba - VedicAstro,WkTFfmm5ZFQ,0.0,2016-12-20 14:22:50,True,True
2016-12-20T14:25:31,I feel like I've watched the whole movie already.,12,4,Ramona Jinx,WkTFfmm5ZFQ,0.2,2016-12-20 14:25:31,True,True
2016-12-20T14:25:38,Good to see more original films being released. I'm tired of sequels and superhero movies. I'll definitely be watching this,1,0,Black Phillip,WkTFfmm5ZFQ,0.23499999999999996,2016-12-20 14:25:38,True,True
2016-12-20T14:26:10,Gore Verbinski's style resembles too much of David Fincher's.,0,0,sarcasuccus,WkTFfmm5ZFQ,0.2,2016-12-20 14:26:10,True,True
2016-12-20T14:27:20,Harry Osborn really does not want to die.,3,0,A Platonic Meme,WkTFfmm5ZFQ,0.2,2016-12-20 14:27:20,True,True
2016-12-20T14:27:39,Everything I fear lay waiting for me in this movie.,2,0,Joshua Osborne,WkTFfmm5ZFQ,0.0,2016-12-20 14:27:39,True,True
2016-12-20T14:28:05,looks amazing can't wait to see it😌😌,0,0,Lucy lucy,WkTFfmm5ZFQ,0.6000000000000001,2016-12-20 14:28:05,True,True
2016-12-20T14:28:15,look like the Shutter island !,0,0,Khang Renner,WkTFfmm5ZFQ,0.0,2016-12-20 14:28:15,True,True
2016-12-20T14:29:09,Bioshock The Movie,0,0,Nicolás Martin Ruiz,WkTFfmm5ZFQ,0.0,2016-12-20 14:29:09,True,True
2016-12-20T14:29:21,Wowsers,0,0,legallytk,WkTFfmm5ZFQ,0.0,2016-12-20 14:29:21,True,True
2016-12-20T14:30:20,Mind control and crazy mermaid shit.. 'Inside' anybody ?,2,0,darkblueghost,WkTFfmm5ZFQ,-0.4,2016-12-20 14:30:20,True,True
2016-12-20T14:31:52,this sounds like shutter island,0,0,fikri firdaus,WkTFfmm5ZFQ,0.0,2016-12-20 14:31:52,True,True
2016-12-20T14:32:06,kinda ruined the story at the end but i guess we all kind of knew what was coming,0,0,Tedbear,WkTFfmm5ZFQ,0.6,2016-12-20 14:32:06,True,True
2016-12-20T14:32:45,Trailers that start with that deep bassline are always a sign of a great movie,1,0,jaja,WkTFfmm5ZFQ,0.4,2016-12-20 14:32:45,True,True
2016-12-20T14:34:02,I was there,0,0,Darth Kanye West,WkTFfmm5ZFQ,0.0,2016-12-20 14:34:02,True,True
2016-12-20T14:35:01,no thank you im just here to pick up mr penbrook,1,0,Chris Watts,WkTFfmm5ZFQ,0.0,2016-12-20 14:35:01,True,True
2016-12-20T14:35:33,Hab's at it again...,0,0,Dink,WkTFfmm5ZFQ,0.0,2016-12-20 14:35:33,True,True
2016-12-20T14:35:40,The music in this trailer ruins the vibe,0,0,Jacob Odom,WkTFfmm5ZFQ,-0.15,2016-12-20 14:35:40,True,True
2016-12-20T14:35:52,Very similar to Shutter Island.,0,0,Haiko8,WkTFfmm5ZFQ,0.0,2016-12-20 14:35:52,True,True
2016-12-20T14:35:55,Better version of Shutter Island,0,0,Laxman Parihar,WkTFfmm5ZFQ,0.5,2016-12-20 14:35:55,True,True
