timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2016-05-11T18:19:27,first to comment never felt so lonely,0,0,that guy,Y2c1y1HT0yo,0.07500000000000001,2016-05-11 18:19:27,True,True
2016-05-11T18:19:48,Second,0,0,Harrison Bailey,Y2c1y1HT0yo,0.0,2016-05-11 18:19:48,True,True
2016-05-11T18:19:55,lucky i was about to,0,0,Chalulu,Y2c1y1HT0yo,0.3333333333333333,2016-05-11 18:19:55,True,True
2016-05-11T18:20:43,0 views & didn't even have a thumbnail yet.  Guess they figured we all know Kristen Stewart has only 1 expression & we've all seen it a million times before.,0,0,Nameless,Y2c1y1HT0yo,0.0,2016-05-11 18:20:43,True,True
2016-05-11T18:20:45,1st,0,0,TvD Diagos,Y2c1y1HT0yo,0.0,2016-05-11 18:20:45,True,True
2016-05-11T18:21:07,im so early wtf,0,0,Charmaine Lee,Y2c1y1HT0yo,-0.2,2016-05-11 18:21:07,True,True
2016-05-11T18:21:14,Kristen Stewart SMILING,113,6,Gustavo Pereira,Y2c1y1HT0yo,0.0,2016-05-11 18:21:14,True,True
2016-05-11T18:21:35,Meh,3,0,JasminL,Y2c1y1HT0yo,0.0,2016-05-11 18:21:35,True,True
2016-05-11T18:21:54,Kristen Stewart looks extremely gorgeous !! <3,36,0,Charmaine Lee,Y2c1y1HT0yo,1.0,2016-05-11 18:21:54,True,True
2016-05-11T18:22:39,Wasn't this uploaded once before?,0,0,Birdman,Y2c1y1HT0yo,0.0,2016-05-11 18:22:39,True,True
2016-05-11T18:23:38,This... actually looks pretty good.,44,0,Scout Shellby,Y2c1y1HT0yo,0.31666666666666665,2016-05-11 18:23:38,True,True
2016-05-11T18:24:40,When I saw it's Woody Alan who's directing I didin't care that Stewart and Eisenberg are casted together again.,0,0,indre _,Y2c1y1HT0yo,0.0,2016-05-11 18:24:40,True,True
2016-05-11T18:24:44,Blake 😍,0,0,Franka,Y2c1y1HT0yo,0.0,2016-05-11 18:24:44,True,True
2016-05-11T18:24:52,Wanna see it now :3,2,0,Asia Mial,Y2c1y1HT0yo,0.5,2016-05-11 18:24:52,True,True
2016-05-11T18:25:11,Looks like a crap great Gatspy,0,0,itsonlymakeup1,Y2c1y1HT0yo,0.0,2016-05-11 18:25:11,True,True
2016-05-11T18:26:43,Jesse Eisenberg acts like Woody Allen,0,2,Abidoune Mohamed,Y2c1y1HT0yo,0.0,2016-05-11 18:26:43,True,True
2016-05-11T18:27:25,ding ding ding ding,26,2,team 89er,Y2c1y1HT0yo,0.0,2016-05-11 18:27:25,True,True
2016-05-11T18:27:36,Kristen Stewart looks so pretty in this movie.,769,21,TETSUOOO,Y2c1y1HT0yo,0.25,2016-05-11 18:27:36,True,True
2016-05-11T18:29:23,i love Kristen,3,0,VNail,Y2c1y1HT0yo,0.5,2016-05-11 18:29:23,True,True
2016-05-11T18:31:50,If the oscars made an Oscar-bait movie,0,0,Peter Emerson,Y2c1y1HT0yo,0.0,2016-05-11 18:31:50,True,True
2016-05-11T18:34:57,are these two like Johnny Depp and Helena Carter? like im surprised she wasn't in zombieland.,1,1,BoringMan,Y2c1y1HT0yo,0.1,2016-05-11 18:34:57,True,True
2016-05-11T18:36:00,it KINDA looked like the trailer of the great gatsby....,0,0,Harshit ZZZ,Y2c1y1HT0yo,0.8,2016-05-11 18:36:00,True,True
2016-05-11T18:36:49,"What a lovely cast, looks interesting.",8,1,Wahid Fayumzadah,Y2c1y1HT0yo,0.5,2016-05-11 18:36:49,True,True
