timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2019-08-20T16:00:21,First     Finally I am first someone give me an award 😎,5,4,Squrvy,YPuhNtG47M0,0.25,2019-08-20 16:00:21,True,True
2019-08-20T16:00:35,𝙾𝚑 𝚢𝚊𝚜 𝚝𝚑𝚎 𝚋𝚎𝚜𝚝,1,0,The Death メ - Hayato,YPuhNtG47M0,0.0,2019-08-20 16:00:35,True,True
2019-08-20T16:00:46,First Or maybe second,1,6,Divyansh Yadav,YPuhNtG47M0,0.125,2019-08-20 16:00:46,True,True
2019-08-20T16:00:50,Indian fans 👍,3,1,Devil FitnesS,YPuhNtG47M0,0.0,2019-08-20 16:00:50,True,True
2019-08-20T16:01:21,Check out my reaction to this trailer on my channel this weekend.,0,0,The Light Side,YPuhNtG47M0,0.0,2019-08-20 16:01:21,True,True
2019-08-20T16:01:24,"Sept 20? Tough luck, me and the boys are heading to raid Area 51 then",87,9,Ashwin Abraham,YPuhNtG47M0,-0.3888888888888889,2019-08-20 16:01:24,True,True
2019-08-20T16:01:40,Stallone rocks ......diehard from India .........,1,0,Amarnath sekar,YPuhNtG47M0,0.0,2019-08-20 16:01:40,True,True
2019-08-20T16:01:59,Kerala perinthalmanna love,1,0,Mohammed Basil,YPuhNtG47M0,0.5,2019-08-20 16:01:59,True,True
2019-08-20T16:02:08,Very good.....,1,0,Marcio phellipe Silva,YPuhNtG47M0,0.9099999999999999,2019-08-20 16:02:08,True,True
2019-08-20T16:02:39,"Im sure the next will be ""Rambo drop of blood""",3,0,Chris Peters,YPuhNtG47M0,0.25,2019-08-20 16:02:39,True,True
2019-08-20T16:03:07,Rambo :The last chance to cash in,1,1,Oliver Queen,YPuhNtG47M0,0.0,2019-08-20 16:03:07,True,True
2019-08-20T16:03:11,I can't wait to watch this movie.,171,6,1. chart,YPuhNtG47M0,0.0,2019-08-20 16:03:11,True,True
2019-08-20T16:03:20,I miss the Rambo theme!,8,2,David Waiss Mago Ilusionista.,YPuhNtG47M0,0.0,2019-08-20 16:03:20,True,True
2019-08-20T16:03:28,Rambo forever,1,0,Mohit Mahapatra,YPuhNtG47M0,0.0,2019-08-20 16:03:28,True,True
2019-08-20T16:03:43,😍😍😍😍👌👌👌✌️✌️✌️👌👌😍😍😍😍😍😍😍😍😍👌👌👌,1,0,jugraj singh,YPuhNtG47M0,0.0,2019-08-20 16:03:43,True,True
2019-08-20T16:03:56,Italian fans!! Sly you are the very Best. We love you. Smash like button italian,5,0,Pharrell Droid,YPuhNtG47M0,0.375,2019-08-20 16:03:56,True,True
2019-08-20T16:04:04,Home Alone: Rambo,0,0,Nona M,YPuhNtG47M0,0.0,2019-08-20 16:04:04,True,True
