timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2018-01-03T16:08:43,first here,5,4,ROOBS THE DOOBS,YhSPDqqgO3Y,0.25,2018-01-03 16:08:43,True,True
2018-01-03T16:10:19,what a movie,0,0,smoking ashes,YhSPDqqgO3Y,0.0,2018-01-03 16:10:19,True,True
2018-01-03T16:12:08,So ccoool and i am 2,38,7,spionul 86,YhSPDqqgO3Y,0.0,2018-01-03 16:12:08,True,True
2018-01-03T16:13:18,"""Truth or Dare, Bitch"".  -A",0,0,KnightfallProtocol,YhSPDqqgO3Y,0.0,2018-01-03 16:13:18,True,True
2018-01-03T16:13:28,this is the remake of the 1932 version Truth or Dare,33,5,Thanks For Nothing,YhSPDqqgO3Y,0.0,2018-01-03 16:13:28,True,True
2018-01-03T16:14:31,foda,0,0,carlos cardoso uchia,YhSPDqqgO3Y,0.0,2018-01-03 16:14:31,True,True
2018-01-03T16:19:53,The faces are what makes it creepy asf.,1913,70,Energy oneeighty,YhSPDqqgO3Y,-0.5,2018-01-03 16:19:53,True,True
2018-01-03T16:20:33,I got to see that,11,0,Italiano810,YhSPDqqgO3Y,0.0,2018-01-03 16:20:33,True,True
2018-01-03T16:21:48,"I might watch this if it was on Netflix, and I was drunk.",447,6,Fenrir,YhSPDqqgO3Y,-0.5,2018-01-03 16:21:48,True,True
2018-01-03T16:22:19,This looks fun,7,0,Say WHAAT,YhSPDqqgO3Y,0.3,2018-01-03 16:22:19,True,True
2018-01-03T16:26:51,That scared the Shit out of me I could not watch the rest of the video,9,1,Apple doggo,YhSPDqqgO3Y,-0.2,2018-01-03 16:26:51,True,True
2018-01-03T16:27:36,"And the next film is kiss chase if you stop running you will feel the kiss of death. Tag the person who has the virus by midnight will die, so pass it it and run.",88,7,tattoodrdoke,YhSPDqqgO3Y,0.0,2018-01-03 16:27:36,True,True
2018-01-03T16:29:18,HEY GUYS WHATS THE NAME OF THAT MUSIC IN THE BEGINNING THX IN ADVANCE,0,0,Clifton Spence,YhSPDqqgO3Y,0.0,2018-01-03 16:29:18,True,True
2018-01-03T16:31:59,Another teen horror film,25,1,Kaleb Hancock,YhSPDqqgO3Y,0.0,2018-01-03 16:31:59,True,True
2018-01-03T16:46:39,Looks good!,0,0,Jacob Lofthus,YhSPDqqgO3Y,0.875,2018-01-03 16:46:39,True,True
2018-01-03T16:59:11,Amazing 😍😍,0,0,Mr. J,YhSPDqqgO3Y,0.6000000000000001,2018-01-03 16:59:11,True,True
2018-01-03T17:07:00,Markie (blondhair) is jesse quick from the flash right? i guess thats why shes not in season 4.,6,4,theo acqin,YhSPDqqgO3Y,0.30952380952380953,2018-01-03 17:07:00,True,True
2018-01-03T17:12:25,AH LUCY HALE!!! WHERE ARE THE PLL FANS? 😍😍,0,0,Phasma Gaming,YhSPDqqgO3Y,0.0,2018-01-03 17:12:25,True,True
2018-01-03T17:12:40,You can make a horror movie out of anything nowadays can't you,0,0,Theron Deel,YhSPDqqgO3Y,0.0,2018-01-03 17:12:40,True,True
2018-01-03T17:12:43,Tyler ? Im watching even if i hate horror movie,0,0,TKaz 10,YhSPDqqgO3Y,-0.8,2018-01-03 17:12:43,True,True
2018-01-03T17:18:35,Can you imagine if World leaders were the ONLY players in this game???,0,0,Ms Keys Note,YhSPDqqgO3Y,-0.2,2018-01-03 17:18:35,True,True
2018-01-03T17:24:11,"If the game plays you, it must be Russia.",1111,16,Sho Zin,YhSPDqqgO3Y,-0.4,2018-01-03 17:24:11,True,True
2018-01-03T18:05:07,I don't feel like this is a go to the theater movie but I'll still watch at home,7,0,Nae West,YhSPDqqgO3Y,0.0,2018-01-03 18:05:07,True,True
2018-01-03T18:26:10,Great concept but why the heck did they show the whole movie in a trailer AGAIN?.....or was it a DARE? ;),0,0,Saketh Rasakatla,YhSPDqqgO3Y,0.4166666666666667,2018-01-03 18:26:10,True,True
2018-01-03T18:30:53,This will be a good movie,0,0,Frunz Ayv,YhSPDqqgO3Y,0.7,2018-01-03 18:30:53,True,True
2018-01-03T18:46:48,Me: truth or dare? Other person: dare. Me:I dare you to subscribe to filmselect trailers,0,0,Venom Darkus/Pyrus Bakugan Brawler,YhSPDqqgO3Y,-0.125,2018-01-03 18:46:48,True,True
2018-01-03T19:12:19,How many moives do they make of truth and dare,0,0,Amy Blehm,YhSPDqqgO3Y,0.5,2018-01-03 19:12:19,True,True
2018-01-03T19:18:19,"Dang, gonna get my popcorn ready before this movies comes out nvm I ain't a 3 month old popcorn!",0,0,Seidet Segura,YhSPDqqgO3Y,0.1625,2018-01-03 19:18:19,True,True
2018-01-03T19:26:42,FSK?,0,0,Alina Dragonball lover,YhSPDqqgO3Y,0.0,2018-01-03 19:26:42,True,True
2018-01-03T19:28:22,Lmao omg dude C'MON WITH THE SAME SHIT,0,0,RMC,YhSPDqqgO3Y,0.13333333333333333,2018-01-03 19:28:22,True,True
2018-01-03T19:40:53,This look so hilarious! Comedy of the year,219,3,Yago Albert,YhSPDqqgO3Y,0.625,2018-01-03 19:40:53,True,True
2018-01-03T19:42:36,Lol. Is this supposed to be scary? Or even creepy?? Those faces are some of the most laugh inducing I have ever seen.,8,0,Subtle Beast,YhSPDqqgO3Y,0.12000000000000002,2018-01-03 19:42:36,True,True
2018-01-03T19:44:36,Yo soy de Ecuador,0,0,Diego avila,YhSPDqqgO3Y,0.0,2018-01-03 19:44:36,True,True
2018-01-03T20:08:19,This looks like if the movies “It follows” and “Final destination” had a Love child,29,2,W. G.,YhSPDqqgO3Y,0.25,2018-01-03 20:08:19,True,True
2018-01-03T20:39:49,"Ssssooo basically, this is the King's Game??? Oh...okay... 😑😑😑",7,1,VIXEN,YhSPDqqgO3Y,-0.4,2018-01-03 20:39:49,True,True
2018-01-03T20:45:09,Damn their faces look like fricken Pennywise from it,398,14,Mandrew United,YhSPDqqgO3Y,0.0,2018-01-03 20:45:09,True,True
2018-01-03T21:02:03,"If you don't accept the dare, you die",0,0,Sydney Hamilton,YhSPDqqgO3Y,0.0,2018-01-03 21:02:03,True,True
2018-01-03T21:07:31,I can't wait to see Lucy in this #number1pllfan,0,0,CHAN Till The End,YhSPDqqgO3Y,0.0,2018-01-03 21:07:31,True,True
2018-01-03T21:11:57,this looks stupid,7,0,Laughing Octopus,YhSPDqqgO3Y,-0.7999999999999999,2018-01-03 21:11:57,True,True
2018-01-03T21:14:35,Lucy changed from nice to fuckin creepy😂😂😂   Btw she’s known as Olivia in the movie,0,0,Arlette Preciado,YhSPDqqgO3Y,0.6,2018-01-03 21:14:35,True,True
2018-01-03T21:17:09,"Damn, where is Stiles when you need him?",0,0,Braylon K,YhSPDqqgO3Y,0.0,2018-01-03 21:17:09,True,True
2018-01-03T21:30:26,um...stop playing? movie ends? also really bad CGI,8,4,TheScratcherStudios,YhSPDqqgO3Y,-0.6999999999999998,2018-01-03 21:30:26,True,True
2018-01-03T21:32:30,So is this supposed to be like a Horror Comedy? Because those faces looked so goofy it had me laughing throughout.,685,27,Alphamega Zulu,YhSPDqqgO3Y,0.5,2018-01-03 21:32:30,True,True
2018-01-03T21:49:25,Nolan Funk's fan here,0,0,Funkter,YhSPDqqgO3Y,0.0,2018-01-03 21:49:25,True,True
2018-01-03T21:51:22,Imitation of Ousama Game?,0,0,narutoroxanne22,YhSPDqqgO3Y,-0.26666666666666666,2018-01-03 21:51:22,True,True
2018-01-03T22:04:03,lameee😒,1,0,Evan NK,YhSPDqqgO3Y,0.0,2018-01-03 22:04:03,True,True
2018-01-03T22:12:13,Epic!,0,0,JH onn,YhSPDqqgO3Y,0.125,2018-01-03 22:12:13,True,True
2018-01-03T22:34:19,OH MY GOD,0,0,losermaddie,YhSPDqqgO3Y,0.0,2018-01-03 22:34:19,True,True
2018-01-03T22:35:45,Scott is in tur movie. Yes.,0,0,Eduard Mihay,YhSPDqqgO3Y,0.0,2018-01-03 22:35:45,True,True
2018-01-03T22:42:31,seem so much like it follows,0,0,James Gaiya,YhSPDqqgO3Y,0.2,2018-01-03 22:42:31,True,True
2018-01-03T22:43:36,"Well, this trailer costed less than the film but showed it all",0,0,Enea Tarabelli,YhSPDqqgO3Y,-0.16666666666666666,2018-01-03 22:43:36,True,True
2018-01-03T22:43:41,What's next spin the bottle,1334,55,SpiralEntree,YhSPDqqgO3Y,0.0,2018-01-03 22:43:41,True,True
