timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2014-06-28T16:46:24,First,0,0,Christian Cotto,_2aWqecTTuE,0.25,2014-06-28 16:46:24,True,True
2014-06-28T16:55:43,Yes Yes and Yes gonna be awesome,0,0,Dulens B.,_2aWqecTTuE,1.0,2014-06-28 16:55:43,True,True
2014-06-28T17:11:50,what it`s the music,0,4,Bayram Niftaliev,_2aWqecTTuE,0.0,2014-06-28 17:11:50,True,True
2014-06-28T18:15:36,Does he sparkle?,3,1,Michael Brian Guerrero,_2aWqecTTuE,0.0,2014-06-28 18:15:36,True,True
2014-06-28T18:30:52,Vlad Tepez,2,0,Zamri S,_2aWqecTTuE,0.0,2014-06-28 18:30:52,True,True
2014-06-28T18:41:25,Castlevania: Lords of Shadow 2,36,5,Drenn23,_2aWqecTTuE,0.0,2014-06-28 18:41:25,True,True
2014-06-28T18:42:16,Wats the song?,0,0,TheWaWfreak,_2aWqecTTuE,0.0,2014-06-28 18:42:16,True,True
2014-06-28T18:50:10,Omg that looked freaking awesome! soo gonna watch that!,6,0,Wolfbane_41,_2aWqecTTuE,1.0,2014-06-28 18:50:10,True,True
2014-06-28T19:26:44,too cheesy,0,0,slagcity,_2aWqecTTuE,-0.5,2014-06-28 19:26:44,True,True
2014-06-28T20:02:10,"In addition to seeing Bard the Bowman, I see Tywin Lannister and Rickon Stark.",0,0,Sarah O'Connell,_2aWqecTTuE,-0.2,2014-06-28 20:02:10,True,True
2014-06-28T20:33:10,ah at last an incorrect interpretation of vampiric origins and a vampire movie that will not be stupid and horrible vampirism,0,0,Kizer5Red,_2aWqecTTuE,-0.6,2014-06-28 20:33:10,True,True
2014-06-28T20:35:14,This is going to be so awesome! :),1,0,MNMNT,_2aWqecTTuE,0.75,2014-06-28 20:35:14,True,True
2014-06-28T20:35:38,"Song is Everybody wants to rule the world-Lorde, same as in the AC Unity trailer",20,5,MNMNT,_2aWqecTTuE,0.1,2014-06-28 20:35:38,True,True
2014-06-28T20:48:23,"I think we have been into  ""superheroes"" genre too much..that even Dracula is turned into X-men/Avenger -like.",3,2,villamor espiritu,_2aWqecTTuE,0.0,2014-06-28 20:48:23,True,True
2014-06-28T20:59:47,At least these vamps are not sparkling,0,0,apre180,_2aWqecTTuE,-0.3,2014-06-28 20:59:47,True,True
2014-06-28T21:15:28,This is the most epic vampire movie trailer I've ever seen in my whole life. I just hope the movie won't suck. ,0,0,Solf Kimblee,_2aWqecTTuE,0.26666666666666666,2014-06-28 21:15:28,True,True
2014-06-28T21:41:15,Ever wonder what would happen if the Hobbit and Game of Thrones got together? It might looks something like this. ,9,1,Bruce Matsunaga,_2aWqecTTuE,-0.4,2014-06-28 21:41:15,True,True
2014-06-28T21:46:00,"vlad, prince of darkness.  muhahahahahahahahaha yessssssssss",1,0,Deadmanlyndon,_2aWqecTTuE,0.0,2014-06-28 21:46:00,True,True
2014-06-28T21:58:55,second part of the trailer looks like from 2014 first part was quite boring hopefully it doesn't apply for whole movie,0,0,Martin Drienka,_2aWqecTTuE,-0.1375,2014-06-28 21:58:55,True,True
2014-06-28T22:04:24,"anyone know the name of the song, that was playing?",0,0,vasukai1,_2aWqecTTuE,0.0,2014-06-28 22:04:24,True,True
2014-06-28T23:22:41,it's so on my to-see list,0,0,Akadia Elie,_2aWqecTTuE,0.0,2014-06-28 23:22:41,True,True
2014-06-28T23:47:51,Sick!!!!!,0,0,Aron Chacon,_2aWqecTTuE,-1.0,2014-06-28 23:47:51,True,True
2014-06-28T23:55:27,bat-man ?,3,1,Johnny,_2aWqecTTuE,0.0,2014-06-28 23:55:27,True,True
2014-06-29T00:30:15,then he becomes evil and kill everyone,0,0,Mr jooj,_2aWqecTTuE,-1.0,2014-06-29 00:30:15,True,True
2014-06-29T00:35:46,"seeing as how this is basically the plot of the star wars prequels, i'm interested in seeing if one movie can pull off what a trilogy failed to do unconvincingly....",1,0,ryan barker,_2aWqecTTuE,-0.125,2014-06-29 00:35:46,True,True
2014-06-29T00:39:13,Those poor bats at the end!,0,1,Sr. Fanatic,_2aWqecTTuE,-0.5,2014-06-29 00:39:13,True,True
2014-06-29T00:43:55,I'll see it :),0,0,catgoddess11,_2aWqecTTuE,0.5,2014-06-29 00:43:55,True,True
2014-06-29T00:49:30,Song Darude-Sandstorm,1,0,Navvab Tadjvar,_2aWqecTTuE,0.0,2014-06-29 00:49:30,True,True
2014-06-29T00:50:18,Castlevania 2 ... ,0,0,c thun,_2aWqecTTuE,0.0,2014-06-29 00:50:18,True,True
2014-06-29T01:00:14,"Sometimes the world needs another Dracula movie, but today is not that day!",0,0,Jack Saat,_2aWqecTTuE,0.0,2014-06-29 01:00:14,True,True
2014-06-29T01:08:41,No impalement is an instant disappointment.,0,0,Eamonism,_2aWqecTTuE,-0.3,2014-06-29 01:08:41,True,True
2014-06-29T01:34:10,suck this eduard,0,0,ANDRES HAMMERHEAD,_2aWqecTTuE,0.0,2014-06-29 01:34:10,True,True
