timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2017-09-25T15:01:03,Yaaaaahhhhhh,4,0,Hannah,aVsOXRgjeeU,0.0,2017-09-25 15:01:03,True,True
2017-09-25T15:01:28,First like!!!!!,2,0,sam byergo,aVsOXRgjeeU,0.762939453125,2017-09-25 15:01:28,True,True
2017-09-25T15:01:53,"I’M SCREAMING, I LOVE THIS",3,0,sam aldred,aVsOXRgjeeU,0.5,2017-09-25 15:01:53,True,True
2017-09-25T15:02:24,NEVER CLICKED SO FAST,7,0,мíυ ìяυмα,aVsOXRgjeeU,0.2,2017-09-25 15:02:24,True,True
2017-09-25T15:02:36,Hi,0,0,Jordan Channel,aVsOXRgjeeU,0.0,2017-09-25 15:02:36,True,True
2017-09-25T15:02:44,YEET,0,0,Nellie The Elegant,aVsOXRgjeeU,0.0,2017-09-25 15:02:44,True,True
2017-09-25T15:02:57,Can’t waitt,3,0,Karissa C.,aVsOXRgjeeU,0.0,2017-09-25 15:02:57,True,True
2017-09-25T15:03:41,I CAN'T WAIT,1464,9,nk,aVsOXRgjeeU,0.0,2017-09-25 15:03:41,True,True
2017-09-25T15:03:51,THE CUP OMG BECHLOE,1146,9,MoPro Lack of Uploads,aVsOXRgjeeU,0.0,2017-09-25 15:03:51,True,True
2017-09-25T15:03:52,Love it,0,0,Nash Espiritu,aVsOXRgjeeU,0.5,2017-09-25 15:03:52,True,True
2017-09-25T15:04:41,"omg I'm so excited for this let's go out with a blast, acabitches!!!",4,0,KuroiYuki88,aVsOXRgjeeU,0.732421875,2017-09-25 15:04:41,True,True
2017-09-25T15:05:06,Omg wings by little mix was used in this trailer!!!!,277,4,Pankti Vora,aVsOXRgjeeU,-0.457763671875,2017-09-25 15:05:06,True,True
2017-09-25T15:05:07,OMG YESSSS,2,0,Moope De Doope,aVsOXRgjeeU,0.0,2017-09-25 15:05:07,True,True
2017-09-25T15:05:24,WHEN YOU'RE IN CLASS AND A PITCH PERFECT TRAILER NOTIFIES YOU,26,0,Pie,aVsOXRgjeeU,1.0,2017-09-25 15:05:24,True,True
2017-09-25T15:05:30,Yes!!! Can't wait for the movie!! They're back pitches!! #PitchPerfect,4,0,DevanyPlayzYT,aVsOXRgjeeU,0.0,2017-09-25 15:05:30,True,True
2017-09-25T15:05:38,WHO THE FUCK WAS CHLOE SMILING AT?! WE NEED BECHLOE!!!!!!!,357,10,sam byergo,aVsOXRgjeeU,-1.0,2017-09-25 15:05:38,True,True
2017-09-25T15:05:46,And where is Bechloe?,257,1,Weltraumhai,aVsOXRgjeeU,0.0,2017-09-25 15:05:46,True,True
2017-09-25T15:05:49,That's gonna be great can't wait Pitches😁,0,0,JB BLUEBERRY,aVsOXRgjeeU,0.8,2017-09-25 15:05:49,True,True
2017-09-25T15:05:59,I'm going to Watch this,0,0,A K,aVsOXRgjeeU,0.0,2017-09-25 15:05:59,True,True
2017-09-25T15:06:44,"gonna watch it , malaysians based , where u at ??",0,0,Iskandar Shah,aVsOXRgjeeU,0.0,2017-09-25 15:06:44,True,True
2017-09-25T15:06:54,HOLY SHIT YESSS,0,0,BlackBeltBabe16,aVsOXRgjeeU,-0.2,2017-09-25 15:06:54,True,True
2017-09-25T15:07:04,WINGS WAS SOO UNEXPECTED,255,5,Weellop,aVsOXRgjeeU,0.1,2017-09-25 15:07:04,True,True
2017-09-25T15:07:58,YAS! AND THEY HAVE LITTLE MIX'S SONG!,448,19,Pamela,aVsOXRgjeeU,-0.234375,2017-09-25 15:07:58,True,True
2017-09-25T15:08:27,I HAVE NEVER BEEN SO EXCITED FOR SOMETHING,7,0,fischbach,aVsOXRgjeeU,0.375,2017-09-25 15:08:27,True,True
2017-09-25T15:08:35,"I’m gonna miss em when they’re gone. I’m gonna miss em by their hair, I’m gonna miss em everywhere. 😭😭😭😭😭",2891,22,Kimani Wilson-Hunte,aVsOXRgjeeU,0.0,2017-09-25 15:08:35,True,True
2017-09-25T15:08:52,Best christmas present,6,0,Shannon Read,aVsOXRgjeeU,0.5,2017-09-25 15:08:52,True,True
2017-09-25T15:09:21,Does this trailer make anyone else kinda sad..? :(,335,7,sam byergo,aVsOXRgjeeU,-0.625,2017-09-25 15:09:21,True,True
2017-09-25T15:10:29,Hailee I just saw the new trailer and it amazing can’t wait to see you,0,0,David Sistaro,aVsOXRgjeeU,0.3681818181818182,2017-09-25 15:10:29,True,True
2017-09-25T15:11:02,God!  I'm dying😍❤😭,0,0,Saloni Sonara,aVsOXRgjeeU,0.0,2017-09-25 15:11:02,True,True
