timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2018-01-12T00:52:18,First and Awesome,24,2,Galaxy Dew,eT9eWtb7C4c,0.625,2018-01-12 00:52:18,True,True
2018-01-12T19:06:38,YES,1,0,minnowtxt,eT9eWtb7C4c,0.0,2018-01-12 19:06:38,True,True
2018-01-12T20:14:15,did that dog actually just dab. remove that scene from the movie,386,20,Gorilla-man,eT9eWtb7C4c,0.0,2018-01-12 20:14:15,True,True
2018-01-12T20:48:32,How is the CG here WORSE than those other talking animal movies from years ago? That's the question I wanna ask. 😐,13,3,Kev,eT9eWtb7C4c,-0.2625,2018-01-12 20:48:32,True,True
2018-01-12T20:53:55,Who allows this director to continue directing,316,11,BestTitanosaurus,eT9eWtb7C4c,0.0,2018-01-12 20:53:55,True,True
2018-01-12T21:03:21,Brr cg van dogs... So bad,0,0,ferraridevil,eT9eWtb7C4c,-0.6999999999999998,2018-01-12 21:03:21,True,True
2018-01-12T21:24:35,Oh god I thought this whole talking dog bullshit was over in the early 2000's,0,0,Der Deutsche-Scotsmen,eT9eWtb7C4c,0.15000000000000002,2018-01-12 21:24:35,True,True
2018-01-12T22:11:36,This is a rip off of a movie I watched a few years ago called Marmaduke. This movie’s the exact same thing.,4,13,Nicole Varela,eT9eWtb7C4c,0.016666666666666663,2018-01-12 22:11:36,True,True
2018-01-12T23:18:51,"Dabbing dog.  Well, I guess I can live with skipping this movie.",209,3,Hoopdy,eT9eWtb7C4c,0.13636363636363635,2018-01-12 23:18:51,True,True
2018-01-13T02:16:23,Mother fuck this movie to hell,0,0,voorhees109,eT9eWtb7C4c,-0.4,2018-01-13 02:16:23,True,True
2018-01-13T05:24:41,As awful as this movie is going to be...They should have partnered Will Arnet with a Golden Labrador....named Mr Peanutbutter.,52,2,nahualmorph,eT9eWtb7C4c,-0.35,2018-01-13 05:24:41,True,True
2018-01-13T06:05:36,What fresh hell is this?...,97,3,SilentHamish,eT9eWtb7C4c,0.3,2018-01-13 06:05:36,True,True
2018-01-13T06:12:10,"*Looks at trailer announcement* I'm not expecting much from the premise and poster, but I could be wrong, this could be pretty good... *Raja Gosnell is directing* This is going to be trash, there is no way that this can be good.",76,4,The Nintendo and Sony Boy,eT9eWtb7C4c,0.26999999999999996,2018-01-13 06:12:10,True,True
2018-01-13T11:44:29,Dabbing confirmed video has been ticketed,5,0,beast lit,eT9eWtb7C4c,0.4,2018-01-13 11:44:29,True,True
2018-01-14T10:42:25,"God, and I thought Peter Rabbit looked like shit",27,0,skykingdublin,eT9eWtb7C4c,-0.2,2018-01-14 10:42:25,True,True
2018-01-14T19:46:17,"You know what I'd LOVE?A live action movie with talking dogs but for adults, a parody that shits on this kind of movies, that would be different",71,4,Jet is bae,eT9eWtb7C4c,0.20909090909090908,2018-01-14 19:46:17,True,True
2018-01-15T21:00:38,I have a pug but not a boy its a girl,4,0,funtime Vic,eT9eWtb7C4c,0.0,2018-01-15 21:00:38,True,True
2018-01-15T21:20:55,1:06 A dog just dabbed. I have seen the end.,107,3,Blackiecomics (DEAD CHANNEL),eT9eWtb7C4c,0.0,2018-01-15 21:20:55,True,True
2018-01-15T22:12:17,I can see the lifelessness in Wil Arnett's eyes,38,0,Wyguy the French Fry,eT9eWtb7C4c,0.0,2018-01-15 22:12:17,True,True
2018-01-16T01:44:55,"Oops wrong era movie, wrong movie",7,0,willie t.,eT9eWtb7C4c,-0.5,2018-01-16 01:44:55,True,True
2018-01-16T02:08:34,Wow very original and unique,43,2,Metanoia,eT9eWtb7C4c,0.32083333333333336,2018-01-16 02:08:34,True,True
2018-01-16T06:16:52,SO WATCHING THIS IN THE SPRING!!!!,5,19,Tonya D. Manning,eT9eWtb7C4c,0.0,2018-01-16 06:16:52,True,True
2018-01-16T08:27:34,2017: “‘The Emoji Movie’ is the worst kid’s movie of all ti—“  2018: Show Dogs.,246,9,TheMonsterGroovy,eT9eWtb7C4c,-1.0,2018-01-16 08:27:34,True,True
2018-01-16T17:27:25,https://www.facebook.com/ShowDogsMovieShame/   what the camera doesnt show you,0,0,Jacob Everone,eT9eWtb7C4c,0.0,2018-01-16 17:27:25,True,True
2018-01-17T12:41:08,"""uuhh Alex.... im gonna go for punishments for 300"" ""oooookay! and your answer is ""an inhumane punishment for war criminals"" ""hmmm... oh god... this is a tough one.... oh! is it ""what is Show Dogs?"" ""Thats correct! and that brings your total to 300 dollars!""",4,0,Mildly Entertaining,eT9eWtb7C4c,-0.5025462962962962,2018-01-17 12:41:08,True,True
2018-01-17T20:43:45,why so much hate ?,4,8,O A,eT9eWtb7C4c,-0.8,2018-01-17 20:43:45,True,True
2018-01-17T22:54:41,kill me,8,0,StageLined,eT9eWtb7C4c,0.0,2018-01-17 22:54:41,True,True
2018-01-18T11:29:50,what the fuck... you know when some movies should not be made? well this one shouldn't even though of *EVER* again.,0,0,JustDeluded -,eT9eWtb7C4c,-0.4,2018-01-18 11:29:50,True,True
2018-01-20T18:01:47,just when you think it can't get worse than tequila and bonetti.,1,0,Eric Banks,eT9eWtb7C4c,-0.4,2018-01-20 18:01:47,True,True
2018-01-20T22:27:14,That dog.... It dabbed. Plz remove that from the movie,3,0,iDontKnowWhatMyNameShouldBe hi :D,eT9eWtb7C4c,0.0,2018-01-20 22:27:14,True,True
2018-01-20T23:05:15,"Oh my God, this look awful. Far worse than Nine Lives.",3,0,Jonathan Pinzon,eT9eWtb7C4c,-0.43333333333333335,2018-01-20 23:05:15,True,True
2018-01-21T19:44:55,"1:57 Say what you will about this trailer, but you gotta admit, that is a top-quality beagle.",9,0,BeagleFeatures,eT9eWtb7C4c,0.0,2018-01-21 19:44:55,True,True
2018-01-21T21:58:39,Yessssssss,1,0,ill.Lucid,eT9eWtb7C4c,0.0,2018-01-21 21:58:39,True,True
2018-01-21T22:50:51,They played the vamps I’m literally screaming 😂😘,1,0,Lydia Graham,eT9eWtb7C4c,0.0,2018-01-21 22:50:51,True,True
2018-01-21T23:04:37,"I have given a name to my pain, and it is Raja Gosnell.",4,1,Simplified,eT9eWtb7C4c,0.0,2018-01-21 23:04:37,True,True
2018-01-22T01:39:00,Double Toasted brought me hear .,18,2,Skatercakes,eT9eWtb7C4c,0.0,2018-01-22 01:39:00,True,True
2018-01-22T01:54:05,Why do these shitty talking animal movies still get made? Seriously why?,1,0,To Release is To Resolve,eT9eWtb7C4c,-0.3333333333333333,2018-01-22 01:54:05,True,True
2018-01-22T09:44:46,the dog is Luda,0,1,mikeynike81,eT9eWtb7C4c,0.0,2018-01-22 09:44:46,True,True
2018-01-22T14:17:53,Can we please leave these movies in the mid 2000s,1,0,Platinum Peyton,eT9eWtb7C4c,0.0,2018-01-22 14:17:53,True,True
2018-01-22T15:12:45,hire the director  of hotel Transylvania to direct the nut job 3,0,0,Alexander McClelland,eT9eWtb7C4c,0.1,2018-01-22 15:12:45,True,True
