timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2015-09-09T13:14:05,What... The.... Heck? Creepy,0,0,NoversalStudios,h6cVyoMH4QE,-0.5,2015-09-09 13:14:05,True,True
2015-09-09T13:19:07,Dark comedy?,8,10,Austin Kaleb,h6cVyoMH4QE,-0.15,2015-09-09 13:19:07,True,True
2015-09-09T13:29:48,Fuck the Star Wars with Boyega. Krampus the most expected movie on December. Universal and Legendary has great relationship!!!,2,3,Бекжан Еділ,h6cVyoMH4QE,0.3333333333333333,2015-09-09 13:29:48,True,True
2015-09-09T13:46:31,Are we having fun yet?!,15,0,TheSardonicMan,h6cVyoMH4QE,0.375,2015-09-09 13:46:31,True,True
2015-09-09T13:47:58,"Crampus punishes bad children, he doesnt take shit...",0,0,Coxy,h6cVyoMH4QE,-0.44999999999999996,2015-09-09 13:47:58,True,True
2015-09-09T13:48:34,So it's a comedy right?,0,0,Mark,h6cVyoMH4QE,0.2857142857142857,2015-09-09 13:48:34,True,True
2015-09-09T13:50:33,Awesome! Really looking forward to this one!,0,0,Loren Burrell,h6cVyoMH4QE,0.625,2015-09-09 13:50:33,True,True
2015-09-09T13:53:54,"thats ridiculous, i think this is horror-comedy",0,0,. ilacziko,h6cVyoMH4QE,-0.3333333333333333,2015-09-09 13:53:54,True,True
2015-09-09T14:06:48,Hard to tell if it's comedy or horror but it looks pretty entertaining,1,11,Neil Duff,h6cVyoMH4QE,0.15277777777777776,2015-09-09 14:06:48,True,True
2015-09-09T14:07:46,December 2015 movies hype list: 1)Sisters 2)Krampus 3)Hateful Eight 4)Joy 5)Star something I forget,32,7,Mitchel Broussard,h6cVyoMH4QE,0.0,2015-09-09 14:07:46,True,True
2015-09-09T14:09:52,This looks so horrible not scary!,1,2,Max Meijer,h6cVyoMH4QE,-0.34375,2015-09-09 14:09:52,True,True
2015-09-09T14:12:26,*Legendary* you better start paying for some views like the other companys cause lol,0,0,kalenen,h6cVyoMH4QE,0.54375,2015-09-09 14:12:26,True,True
2015-09-09T14:15:51,Christmas Nightmares: The Motion Picture!,0,0,Kalvin Koskela,h6cVyoMH4QE,0.0,2015-09-09 14:15:51,True,True
2015-09-09T14:16:57,It's amazing!   the director of Trick R Treat is awesome! looking forward to it :),6,0,JpopKARAOKE,h6cVyoMH4QE,0.75,2015-09-09 14:16:57,True,True
2015-09-09T14:17:17,"This looks really fucking solid actually, didn't expect that. The creature looks scary as hell as well, I'm excited!",454,13,Mr. Tulip,h6cVyoMH4QE,-0.0078125,2015-09-09 14:17:17,True,True
2015-09-09T14:24:29,My new favorite Holiday movie. Nice!!!!!😀,0,0,aldusxenon,h6cVyoMH4QE,0.3181818181818182,2015-09-09 14:24:29,True,True
2015-09-09T14:30:37,Mfw Legendary got their movies on point this year,0,0,ETC!,h6cVyoMH4QE,1.0,2015-09-09 14:30:37,True,True
2015-09-09T14:32:32,"Wow, that looks way less fun than the American Dad version.",0,0,GTA5Player1,h6cVyoMH4QE,0.058333333333333334,2015-09-09 14:32:32,True,True
2015-09-09T14:33:01,Thumbs up if American Dad brought you here,2,2,DeVaughn Brown,h6cVyoMH4QE,0.0,2015-09-09 14:33:01,True,True
2015-09-09T14:36:21,This may just be me but I was laughing at most of this. The dialogue seems WAY to cliche XD,3,4,CrafterBazimon,h6cVyoMH4QE,0.5,2015-09-09 14:36:21,True,True
2015-09-09T14:40:04,Please let him drop a lump of Coal.,0,0,Rickest Morty,h6cVyoMH4QE,0.0,2015-09-09 14:40:04,True,True
2015-09-09T14:42:58,they might as well just made trick or treat 2 instead of this crap!!,0,1,Woken Giant82,h6cVyoMH4QE,-1.0,2015-09-09 14:42:58,True,True
2015-09-09T14:48:36,This is going to be a Christmas classic.,5,0,MaddLu,h6cVyoMH4QE,0.16666666666666666,2015-09-09 14:48:36,True,True
2015-09-09T15:00:08,This might actually be better than Trick R' Treat...Let's see if it winds up becoming one of my new favourite horror films!,0,0,Manny,h6cVyoMH4QE,0.3734848484848485,2015-09-09 15:00:08,True,True
2015-09-09T15:03:39,Starring Chris Stuckmann,0,0,The_Gay_Charlie,h6cVyoMH4QE,0.0,2015-09-09 15:03:39,True,True
2015-09-09T15:11:08,"""He fucks you over by taking your last devil deal in the womb""",134,11,James Sunderland,h6cVyoMH4QE,0.0,2015-09-09 15:11:08,True,True
2015-09-09T15:17:26,this is bad ass,0,0,justisperez,h6cVyoMH4QE,-0.6999999999999998,2015-09-09 15:17:26,True,True
2015-09-09T15:19:22,DUMMMMMMMMMMMMMMMMMM,0,0,SirVladHarkonen,h6cVyoMH4QE,0.0,2015-09-09 15:19:22,True,True
2015-09-09T15:19:55,Totally going to see this movie!!!,0,0,martin caspary-smith,h6cVyoMH4QE,0.0,2015-09-09 15:19:55,True,True
2015-09-09T15:19:57,He better drop a Lump of Coal...,127,16,alty,h6cVyoMH4QE,0.5,2015-09-09 15:19:57,True,True
2015-09-09T15:22:02,Interesting. Either Krampus isn't CGI or he's super good CGI.,1,2,Gurren Catnip,h6cVyoMH4QE,0.5111111111111111,2015-09-09 15:22:02,True,True
2015-09-09T15:25:01,"This shall tide me over until Sam's return, thank you Michael Dougherty.",2,0,FrankenFuzz,h6cVyoMH4QE,0.0,2015-09-09 15:25:01,True,True
2015-09-09T15:26:59,looks pretty fun,0,0,Daft,h6cVyoMH4QE,0.275,2015-09-09 15:26:59,True,True
2015-09-09T15:27:11,"god damit! every goddamn time, Dont give away the jump scare in the trailer man :(",0,0,HB,h6cVyoMH4QE,-0.75,2015-09-09 15:27:11,True,True
2015-09-09T15:30:15,This is gonna be so bad. But like in a good way.,0,0,ZealousEscape,h6cVyoMH4QE,5.551115123125783e-17,2015-09-09 15:30:15,True,True
2015-09-09T15:31:12,"Looks like a movie that doesn't quite know what it wants to be. I guess you could call it a horror/comedy, but if this trailer is anything to go by, it's going to flip-flop between different genres.",0,0,sbowesuk,h6cVyoMH4QE,0.1,2015-09-09 15:31:12,True,True
2015-09-09T15:32:28,Awesome!!! Can't wait,0,0,DJDanniDarkness,h6cVyoMH4QE,1.0,2015-09-09 15:32:28,True,True
2015-09-09T15:34:09,I'm surprised that I want to see this.,0,0,Rawsilver,h6cVyoMH4QE,0.1,2015-09-09 15:34:09,True,True
2015-09-09T15:44:24,"WOW, now that was a good one! I hope it's as good as the trailer tho",0,0,Alan Pereira,h6cVyoMH4QE,0.5583333333333332,2015-09-09 15:44:24,True,True
2015-09-09T15:46:06,"A Christmas-themed horror by the writer/director of Trick 'r Treat? HELL YES. ALL OF THIS. IN MY FACE RIGHT NOW. *MOTORBOATS*    Also, am I the only one that caught a couple of nods  to Gremlins in the trailer? Like the scene inside the car and the abandoned street with a flashlight? I feel like those shots straight from Gremlins. Since Gremlins is one of my all-time favourite movies, I'm okay with this.",5,0,Series Consideration,h6cVyoMH4QE,0.24642857142857144,2015-09-09 15:46:06,True,True
2015-09-09T15:46:24,They need Dwight Shrute,0,0,Atomic Punk,h6cVyoMH4QE,0.0,2015-09-09 15:46:24,True,True
2015-09-09T15:46:53,Is it a comedy or a horror? Just seems so cheesy.,18,7,Duncan McKenzie,h6cVyoMH4QE,-0.5,2015-09-09 15:46:53,True,True
2015-09-09T15:47:22,Now I can't wait for the holidays LOL,0,0,Kristopher Michaels,h6cVyoMH4QE,0.8,2015-09-09 15:47:22,True,True
2015-09-09T15:58:36,I LOVE IT,0,0,smilly456,h6cVyoMH4QE,0.5,2015-09-09 15:58:36,True,True
2015-09-09T16:00:08,O. M. God that looks awesome!,0,0,Dani,h6cVyoMH4QE,1.0,2015-09-09 16:00:08,True,True
2015-09-09T16:03:15,Is this I Love Movies? I think it is!,84,11,Shoot That Nebula,h6cVyoMH4QE,0.625,2015-09-09 16:03:15,True,True
2015-09-09T16:03:53,"Looks like horror comedy, trying to be more horror than comedy, with comedic cast....bet it sucks.",0,1,XxXVideoVeiwerXxX,h6cVyoMH4QE,0.1,2015-09-09 16:03:53,True,True
2015-09-09T16:06:29,"Hollywood horror is dead, the last great mainstream genre movies were The Conjuring and Oculus, all the rest so far has been garbage (especially if we compare them with amazing Indies genre movie that have come out in these last years) with stupid jumpscares, dumb characters and cliche stories, BUT by the look of this movie and Crimson Peak, mainstream horror could see some light again.  I love the practical effects, I think WETA was working on this movie.",22,35,Sleepy Azathoth,h6cVyoMH4QE,0.09318181818181821,2015-09-09 16:06:29,True,True
2015-09-09T16:11:31,"Krumpits, eh",0,0,locateyourhuevos,h6cVyoMH4QE,0.0,2015-09-09 16:11:31,True,True
2015-09-09T16:12:09,Wooo!,0,0,Alberto Dominguez,h6cVyoMH4QE,0.0,2015-09-09 16:12:09,True,True
2015-09-09T16:18:32,I just took a huge krampus in me pants,1,0,locateyourhuevos,h6cVyoMH4QE,0.4000000000000001,2015-09-09 16:18:32,True,True
2015-09-09T16:19:16,innnnteresting.,0,0,MonkeyspankO,h6cVyoMH4QE,0.0,2015-09-09 16:19:16,True,True
2015-09-09T16:23:26,The Sharknado of christmas movies,3,0,Moonboon,h6cVyoMH4QE,0.0,2015-09-09 16:23:26,True,True
2015-09-09T16:25:25,Do you think this trailer would've been better with Tim Allen in it?,0,0,res20stupid,h6cVyoMH4QE,0.5,2015-09-09 16:25:25,True,True
2015-09-09T16:28:48,"This looks kinda fun, it will be on reruns in the UK within a few years and I will probably be very drunk watching this at some point in the future.",1,0,Phoenix,h6cVyoMH4QE,-0.1375,2015-09-09 16:28:48,True,True
2015-09-09T16:29:22,YESS KRAMPUS!,0,0,KyWard03,h6cVyoMH4QE,0.0,2015-09-09 16:29:22,True,True
2015-09-09T16:30:00,SHEILA!,0,0,piplup2009,h6cVyoMH4QE,0.0,2015-09-09 16:30:00,True,True
2015-09-09T16:31:13,"Fuck yes, people will finally understand my Krampus christmas sweater.",0,0,David Davidson,h6cVyoMH4QE,-0.2,2015-09-09 16:31:13,True,True
2015-09-09T16:33:36,Gotta see this looks good and kinda scary!,0,0,corozone10,h6cVyoMH4QE,0.03749999999999998,2015-09-09 16:33:36,True,True
2015-09-09T16:33:42,Is that the Home Alone house?!?!?!?!?!,0,0,Shannon Tejeda,h6cVyoMH4QE,0.0,2015-09-09 16:33:42,True,True
2015-09-09T16:35:41,Issaic HYPE Kappa,0,0,rockies613,h6cVyoMH4QE,0.0,2015-09-09 16:35:41,True,True
2015-09-09T16:37:40,is this comedy?,0,1,oren revenge,h6cVyoMH4QE,0.0,2015-09-09 16:37:40,True,True
2015-09-09T16:38:53,this warms the German part of my heart!,1,0,BK Lulu,h6cVyoMH4QE,0.0,2015-09-09 16:38:53,True,True
2015-09-09T16:39:02,"this looks fun, I'd watch it if I wasn't scared of horror movies",1,0,piplup2009,h6cVyoMH4QE,0.3,2015-09-09 16:39:02,True,True
