timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2015-02-06T17:07:43,First,0,0,Madison Croft,hVdzNlNxLxg,0.25,2015-02-06 17:07:43,True,True
2015-02-06T17:07:48,Second,0,0,Madison Croft,hVdzNlNxLxg,0.0,2015-02-06 17:07:48,True,True
2015-02-06T17:18:57,First! ...To give thumbs down.  Hollywood is so desperate they will remake any horror film. Pathetic.,2,0,TheRedman790,hVdzNlNxLxg,-0.3607638888888889,2015-02-06 17:18:57,True,True
2015-02-06T17:19:13,"Oh look, another 'white family moves into a new house which is haunted by the ghosts of the cemetary the house was built on'. ",204,23,Niamh L,hVdzNlNxLxg,0.06818181818181818,2015-02-06 17:19:13,True,True
2015-02-06T17:22:48,Wasn't the creepy old lady with the child's voice what made the original?  Now it's some uninteresting man.,26,6,TheRedman790,hVdzNlNxLxg,-0.00833333333333334,2015-02-06 17:22:48,True,True
2015-02-06T17:27:06,why there have to be a remake of Poltergeist?,1,0,Andy Ho,hVdzNlNxLxg,0.0,2015-02-06 17:27:06,True,True
2015-02-06T18:12:59,"woah, it looks good i'm curious to see it",1,0,KL Sounds,hVdzNlNxLxg,0.3,2015-02-06 18:12:59,True,True
2015-02-06T18:28:46,This looks terrible,1,0,John Manousakis,hVdzNlNxLxg,-1.0,2015-02-06 18:28:46,True,True
2015-02-06T19:08:56,LMAO!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! when that girl gets dragged from the bottom of the stairs !!!!!!!!!!!!!!!!!!!!!!!!!!!!1 this looks good and funny as hell ,38,4,Dre5ds,hVdzNlNxLxg,0.65,2015-02-06 19:08:56,True,True
2015-02-06T19:47:55,"Well, this doesn't seem like it will even compare to the original one, but hey, it's something new to watch.  I feel like there has been a lack of good horror movies being released in the past few years. Hopefully, the movie is better than the trailer portrays.",1,0,TheDysfunctionalDuo,hVdzNlNxLxg,0.21022727272727273,2015-02-06 19:47:55,True,True
2015-02-06T20:05:23,What is Mr. Lane Pryce doing in this movie. Lol.,1,0,F dL,hVdzNlNxLxg,0.8,2015-02-06 20:05:23,True,True
2015-02-06T20:39:29,PG 13 so it's not scary.,7,0,Leon Watson,hVdzNlNxLxg,0.25,2015-02-06 20:39:29,True,True
2015-02-06T20:43:40,I think they may have done a great job here. I am definitely going to watch it.,1,0,Mr. Coffee,hVdzNlNxLxg,0.4,2015-02-06 20:43:40,True,True
2015-02-06T20:47:00,Hahahahahahahahahahahahahahahahahahahahahahahahahahahaha,1,0,Katie Smith,hVdzNlNxLxg,0.0,2015-02-06 20:47:00,True,True
2015-02-06T20:48:37,This makes me hate my life ,1,0,Brysib,hVdzNlNxLxg,-0.8,2015-02-06 20:48:37,True,True
2015-02-06T20:53:16,"Looks awful, but of course everybody so going to waste money on it.",0,0,Breaktimers,hVdzNlNxLxg,-0.6,2015-02-06 20:53:16,True,True
2015-02-06T21:01:06,"It probably won't be as good as the original but I don't think they made this movie to try to out-due the original. The original is one of my favorite movie's, so this film looks promising.",1,0,OfficialRobertJ,hVdzNlNxLxg,0.4208333333333334,2015-02-06 21:01:06,True,True
2015-02-06T21:22:31,Is this a new genre of scary movie? It's kind of like Horror and Sci-Fi at the same time. hmmm. Looking forward to this.,1,0,Kidd Lorenz,hVdzNlNxLxg,0.05909090909090908,2015-02-06 21:22:31,True,True
2015-02-06T21:41:27,I'm always worried when a trailer shows too much of the story.,4,0,stlouisphile,hVdzNlNxLxg,0.2,2015-02-06 21:41:27,True,True
2015-02-06T21:55:40,the trailer was awesome. Definitely going to see this. ,1,0,MetalSonicGamerX200,hVdzNlNxLxg,0.5,2015-02-06 21:55:40,True,True
2015-02-06T22:01:35,"This looks like it has potential to be good!  Although, the original is a classic!",1,0,Rodimus75,hVdzNlNxLxg,0.3645833333333333,2015-02-06 22:01:35,True,True
2015-02-06T22:09:21,thing creppy,1,0,Jørdÿ_Šwęrvø,hVdzNlNxLxg,0.0,2015-02-06 22:09:21,True,True
2015-02-06T22:20:41,"If it isn't broke, don't fix it. ._.",46,0,Chris Mourose,hVdzNlNxLxg,0.0,2015-02-06 22:20:41,True,True
2015-02-06T22:23:32,This look awesome like sci-fi and horror and action etc... ,1,0,Kevin Le,hVdzNlNxLxg,0.55,2015-02-06 22:23:32,True,True
2015-02-06T22:28:10,Is this out on movies,1,0,Capone Hernandez,hVdzNlNxLxg,0.0,2015-02-06 22:28:10,True,True
2015-02-06T22:38:51,I love Ghost House xD There movies are amazing WE NEED A GRUDGE 4!!!!!,1,0,Enma Ai,hVdzNlNxLxg,0.75,2015-02-06 22:38:51,True,True
