timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2013-12-27T05:24:06,looks pretty good,1,0,jpbuford20,nl4QeQzIkOM,0.475,2013-12-27 05:24:06,True,True
2013-12-28T11:46:24,i hate this song ^^,0,4,Amin Paulin,nl4QeQzIkOM,-0.8,2013-12-28 11:46:24,True,True
2014-02-03T13:48:59,@The Script  OMG !!!!!!!!!!! My irish babies are way amazing,0,1,carla silva,nl4QeQzIkOM,0.30000000000000004,2014-02-03 13:48:59,True,True
2014-02-03T15:01:29,Hall of Fame *.*,0,0,Tania Cruz,nl4QeQzIkOM,0.0,2014-02-03 15:01:29,True,True
2014-02-04T12:21:51,yeah ! @The Script ! you've done it again LADS ! :D Hall Of Fame ! Goosebumps ! :),1,1,JaySiEmDi,nl4QeQzIkOM,0.75,2014-02-04 12:21:51,True,True
2014-02-04T13:19:53,HALL OF FAME OMF <3,1,0,Danique Meijer,nl4QeQzIkOM,1.0,2014-02-04 13:19:53,True,True
2014-02-04T15:21:58,its the guy from life of pi :D,11,2,Arushi Ganguly,nl4QeQzIkOM,1.0,2014-02-04 15:21:58,True,True
2014-02-15T14:32:07,this movie needs attention. seriously,9,0,Barry Villacarillo,nl4QeQzIkOM,-0.3333333333333333,2014-02-15 14:32:07,True,True
2014-02-19T03:41:41,"he should of just  went to the Dominican republic to find pitchers, baseball there is like a religion",1,1,H H,nl4QeQzIkOM,0.0,2014-02-19 03:41:41,True,True
2014-02-24T14:20:16,hey all women u gotta watchhh it :),0,0,Arushi Arora,nl4QeQzIkOM,0.5,2014-02-24 14:20:16,True,True
2014-04-10T01:41:56,can i marry Suraj Sharma seriously please,5,1,mariekt horan,nl4QeQzIkOM,-0.3333333333333333,2014-04-10 01:41:56,True,True
2014-04-12T03:30:20,It was a good movie before i watched the trailer.,9,0,MOHAMMED ALBAKEET,nl4QeQzIkOM,0.7,2014-04-12 03:30:20,True,True
2014-04-18T01:04:32,I like it ,0,0,Samuel Ward,nl4QeQzIkOM,0.0,2014-04-18 01:04:32,True,True
2014-04-20T18:08:40,I love me some Suraj Sharma :),0,0,ibemobbinlkeee,nl4QeQzIkOM,0.5,2014-04-20 18:08:40,True,True
2014-04-21T10:53:23,"Look at the music !!!!!! Wow , composer ?",0,0,Rajasekar Muthusamy,nl4QeQzIkOM,0.1,2014-04-21 10:53:23,True,True
2014-04-22T02:56:58,It will be hit because there is 1/2 of world's population in India and everybody will watch it lol....,1,4,danial pun,nl4QeQzIkOM,0.8,2014-04-22 02:56:58,True,True
2014-04-23T04:15:59,I liked it when they called it Cool Runnings.,4,0,Charles Vannice,nl4QeQzIkOM,0.475,2014-04-23 04:15:59,True,True
2014-04-26T13:48:02,I love the trailer,0,0,Domingo Galvan,nl4QeQzIkOM,0.5,2014-04-26 13:48:02,True,True
2014-04-26T20:09:19,I want to see this movie and The Purge Anarchy sooooo bad,9,2,IProDerp,nl4QeQzIkOM,-0.6999999999999998,2014-04-26 20:09:19,True,True
2014-04-27T09:48:41,Slumdog Million Dollar Arm,1,0,Andreas Paco,nl4QeQzIkOM,0.0,2014-04-27 09:48:41,True,True
2014-05-01T23:23:33,Can someone tell me all the names of the kids,1,0,samantha dudek,nl4QeQzIkOM,0.0,2014-05-01 23:23:33,True,True
2014-05-03T07:58:35,Looks gay. Lol. I'm high now.,0,0,Gordan Ramsey,nl4QeQzIkOM,0.4588888888888889,2014-05-03 07:58:35,True,True
2014-05-05T01:41:50,1:23 what song is in the background,0,0,Sam Norton,nl4QeQzIkOM,0.0,2014-05-05 01:41:50,True,True
2014-05-05T21:23:54,this movie will either be really good or nostalgic critic bait,1,0,MrGabeanator,nl4QeQzIkOM,0.09999999999999998,2014-05-05 21:23:54,True,True
2014-05-05T21:42:46,The ad was the trailer #trailerseption,0,0,Ally Lee jordan,nl4QeQzIkOM,0.0,2014-05-05 21:42:46,True,True
2014-05-06T08:01:53,Music : AR Rahman.. why is not publishing this ads,0,3,Saravanan Saravanan,nl4QeQzIkOM,0.0,2014-05-06 08:01:53,True,True
2014-05-06T11:42:37,I want to see this movie,0,0,AnimatedLifestyle443,nl4QeQzIkOM,0.0,2014-05-06 11:42:37,True,True
2014-05-06T14:37:09,Finally that Slumdog Millionaire actor getting some job... i gonna watch this movie for him... ,0,0,Ankit Tak,nl4QeQzIkOM,0.0,2014-05-06 14:37:09,True,True
2014-05-07T04:32:41,What's the name of the song,0,1,Kong vang,nl4QeQzIkOM,0.0,2014-05-07 04:32:41,True,True
2014-05-07T06:34:44,at first i thought one of the guy was Bruno mars ,0,0,Leah Domingo,nl4QeQzIkOM,0.25,2014-05-07 06:34:44,True,True
2014-05-07T11:53:57,If this was based on a true story what team did this curry rice eating creep play for?  Did he ever make MVP?,1,2,Lawrence Callahan,nl4QeQzIkOM,0.35,2014-05-07 11:53:57,True,True
2014-05-07T15:58:15,"Hey look, another cliched inspirational sports movie...one we have seen over and over before. ",3,4,Ryan Balthazor,nl4QeQzIkOM,0.5,2014-05-07 15:58:15,True,True
2014-05-07T19:27:10,Whole movie spoiled,0,0,Leaguelina,nl4QeQzIkOM,0.2,2014-05-07 19:27:10,True,True
2014-05-08T09:06:57,Great Video.,0,6,Samir Midha,nl4QeQzIkOM,0.8,2014-05-08 09:06:57,True,True
2014-05-09T01:16:22,this made me tear up ,0,1,plan3tmarz,nl4QeQzIkOM,0.0,2014-05-09 01:16:22,False,True
2014-05-09T08:48:51,"American producers as always showing another countries like crap, India is so beautiful to show it this way. The guys look so ignorant when getting into the elevator like if they don't have elevators in India. India looks poor and misrepresented here, and of course the US with good beautiful looking views, smart and nice dressed, always showing THE CITY side of America and always showing the villages and rural areas of other countries. WHY IS IT THIS WAY ALL THE TIME?, this kills the image of other countries.",62,12,Nian Leprone,nl4QeQzIkOM,0.16038961038961033,2014-05-09 08:48:51,False,True
2014-05-10T00:55:17,"As an American who is of Indian descent I have to say something I've learned from experience, which is this anything being represented especially a culture on that medium called television or theaters has done very little good. And I worry this movie will attempt to represent Indians. TV and Movies are propaganda!  and these feel good movies are disgusting :P",1,0,Noor Hossain,nl4QeQzIkOM,0.09765625,2014-05-10 00:55:17,False,True
2014-05-12T21:27:27,I can tell its going to be a REALLY GOODmoive  AND PLEASE NO BAD COMMENTS ABOUT THIS MOVIE THANKS :) if you do your stupid ,1,1,Anshi Mehta,nl4QeQzIkOM,0.09000000000000001,2014-05-12 21:27:27,False,True
2014-05-13T04:22:02,Top 10 Cricket  1. Pakistan Shoaib Akhtar Bowling Speed: 161.3 kmph NO.1 FAST BOWLER,0,0,amina khan,nl4QeQzIkOM,0.35,2014-05-13 04:22:02,False,True
2014-05-13T04:22:40,Top 10 Cricket  1. Pakistan Shoaib Akhtar Bowling Speed: 161.3 kmph NO.1 FAST BOWLER 2. Australia Brett Lee Bowling Speed: 161.1 kmph 3. Australian Shaun Tait Bowling Speed: 161.1 kmph 4.  Australian Jeff Thompson Bowling Speed: 160.4 kmph 5. West indian Andy Roberts Bowling Speed: 159.5 kmph 6. West indian Fidel Edwards Bowling Speed: 157.7 kmph 7. Australian Mitchell Johnson bowling speed: 156.8 kmph 8. Pakistani Muhammad Sami Bowling Speed: 156.4 kmph 9. New Zealand Shane Bond Bowling Speed: 156.4 kmph 10. South African Dale Steyn Bowling Speed: 155.7 kmph  If i keep going india excits no.22 ishant sharma the only indian which is at no.22 ,2,2,amina khan,nl4QeQzIkOM,0.10454545454545454,2014-05-13 04:22:40,False,True
2014-05-14T19:02:16,can't wait to see this movie!! baseball and based on a true story....dope!!!,0,0,407Wild,nl4QeQzIkOM,0.68359375,2014-05-14 19:02:16,False,True
2014-05-15T01:24:43,This movie is my type of movie.  Sport,0,0,Julian Gooderad,nl4QeQzIkOM,0.0,2014-05-15 01:24:43,False,True
2014-05-15T09:18:41,Why didn't they look for a cricket player in Britain? Is it because they wouldn't get hilarious movie scenes from people who don't know how an elevator works?,0,5,Paul Chikuma,nl4QeQzIkOM,0.5,2014-05-15 09:18:41,False,True
2014-05-15T14:30:28,Is weird to watch a movie with don without smoking his luckies,0,0,mike97rock,nl4QeQzIkOM,-0.5,2014-05-15 14:30:28,False,True
2014-05-15T20:26:16,awwww i must see it. ,0,0,Godsmasterpiece1993,nl4QeQzIkOM,0.5,2014-05-15 20:26:16,False,True
