timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2014-12-09T14:29:56,"First! This movie sounds interesting, but I'm not digging the haircut lol",1,0,Candy Beans,rBicCZG4vg0,0.5375,2014-12-09 14:29:56,True,True
2014-12-09T14:31:14,lol that hair colour! no joseph needs darker hair! but other then that looks beautiful :) the way its been filmed looks amazing,57,2,Anna,rBicCZG4vg0,0.5650000000000001,2014-12-09 14:31:14,True,True
2014-12-09T14:34:56,im like the director and the actor but ill be honest this looks dumb,0,0,melih narinç,rBicCZG4vg0,-0.09166666666666667,2014-12-09 14:34:56,True,True
2014-12-09T14:35:40,theres already a fantastic documentary on this dude and his stunt. no need for a movie IMO.,5,0,Merwin Goddard,rBicCZG4vg0,0.2,2014-12-09 14:35:40,True,True
2014-12-09T14:38:25,"Hollywood version for ""Man on Wire"" (2008) http://www.imdb.com/title/tt1155592/?ref_=fn_al_tt_1 - Philippe Petit's wire walk between the Twin Towers.",0,0,Taty Grassini,rBicCZG4vg0,0.0,2014-12-09 14:38:25,True,True
2014-12-09T14:38:46,what is this?,0,0,Alex Chasson,rBicCZG4vg0,0.0,2014-12-09 14:38:46,True,True
2014-12-09T14:40:22,"can we have 60fps pls, this was painfully choppy....",0,0,sudd,rBicCZG4vg0,-0.2,2014-12-09 14:40:22,True,True
2014-12-09T14:42:27,OH MY GAWD GUYS ITS ROBIN! ITS ROBINNNNNNNNNNNNNNNNNNNNNNN,0,0,leonthesleepy,rBicCZG4vg0,0.0,2014-12-09 14:42:27,True,True
2014-12-09T14:43:21,soo a dude standing and walking?,0,0,Franco Lipinski,rBicCZG4vg0,0.0,2014-12-09 14:43:21,True,True
2014-12-09T14:44:02,best movie to be watched by acrophobics,1,0,SDSLSD,rBicCZG4vg0,1.0,2014-12-09 14:44:02,True,True
2014-12-09T14:44:36,"just go watch the highest rated movie ever 'man on a wire', there you go dont need to see the movie",9,0,Zed,rBicCZG4vg0,0.0,2014-12-09 14:44:36,True,True
2014-12-09T14:50:28,Would be funny if it ends with a plane coming towards them in the distance,0,0,Albin Lundholm,rBicCZG4vg0,0.25,2014-12-09 14:50:28,True,True
2014-12-09T14:53:49,"given the crew, this can become a really good film. (but please improve the cgi and green screen work before it hits theatres)",162,29,MacduffProd,rBicCZG4vg0,0.24999999999999997,2014-12-09 14:53:49,True,True
2014-12-09T14:54:52,"Much tense, very drama, wow",3,0,InkOnTube,rBicCZG4vg0,-0.0111111111111111,2014-12-09 14:54:52,True,True
2014-12-09T15:00:30,"THEY RE-BUILT THE TWIN TOWERS, WOW!!!",5,0,josh Stansenegg3r,rBicCZG4vg0,0.1953125,2014-12-09 15:00:30,True,True
2014-12-09T15:01:20,dumbest trailer ever!! also why in all his movies he wears contacts ?,0,0,Lukia Bl,rBicCZG4vg0,0.0,2014-12-09 15:01:20,True,True
2014-12-09T15:07:03,Interesting teaser. Seen the documentary which was amazing. ,1,0,chaosinorderrr,rBicCZG4vg0,0.3666666666666667,2014-12-09 15:07:03,True,True
2014-12-09T15:12:38,Its like the entire movie is about a guy on one of the WTC being a daredevil...,0,0,caps,rBicCZG4vg0,0.0,2014-12-09 15:12:38,True,True
2014-12-09T15:14:50,oh no..its 3d ,2,0,Eric Giby,rBicCZG4vg0,0.0,2014-12-09 15:14:50,True,True
2014-12-09T15:16:30,Wow that was a really cheesy teaser. Oh well,2,0,Salah Al-Bloushi,rBicCZG4vg0,-0.2,2014-12-09 15:16:30,True,True
2014-12-09T15:18:53,"Just when the suspense starts to kick in and im preparing myself to be amazed by fantasy... they flashed ""A True Story"" ... Sheesh... WTH..",39,13,docyagamikiko,rBicCZG4vg0,0.35,2014-12-09 15:18:53,True,True
2014-12-09T15:19:04,Starring Joseph Gordon-Levitt as Mark Wahlberg. LoL,3,0,Pedro Capistrano,rBicCZG4vg0,0.8,2014-12-09 15:19:04,True,True
2014-12-09T15:25:04,Sad to know this director in this stupid movie,0,0,KHD,rBicCZG4vg0,-0.6499999999999999,2014-12-09 15:25:04,True,True
2014-12-09T15:26:34,"honestly, not all films need to be in 3D, it's pointless and a waste of money ",0,0,JayGola17,rBicCZG4vg0,-0.25,2014-12-09 15:26:34,True,True
2014-12-09T15:31:54,CAN'T WAIT,0,0,Vane Naumovski,rBicCZG4vg0,0.0,2014-12-09 15:31:54,True,True
2014-12-09T15:41:42,The clouds (bottom left) jump a few frames at 1:04 lol,255,36,HolyGayfish,rBicCZG4vg0,0.20000000000000004,2014-12-09 15:41:42,True,True
2014-12-09T15:49:44,"""Need more boeings""-  7.8/10",0,0,Jonatas Nogueira,rBicCZG4vg0,0.5,2014-12-09 15:49:44,True,True
2014-12-09T16:03:53,This Trailer makes me feel like a kid again it has that 1999 trailer feeling lol ,30,4,Wrestling?Let'sTalk!,rBicCZG4vg0,0.8,2014-12-09 16:03:53,True,True
2014-12-09T16:29:27,"Just to inform everyone, Man on Wire was about the same man. And it won an Oscar. Pretty much a pointless feature film right here.",175,28,McNie Watson,rBicCZG4vg0,0.07142857142857142,2014-12-09 16:29:27,True,True
2014-12-09T16:33:16,Eu achei esse trailer meio bosta! kkkkkkkkk,0,0,Andre Takahashi,rBicCZG4vg0,0.0,2014-12-09 16:33:16,True,True
2014-12-09T16:48:02,This looks so bad it hurts,0,0,Joey Middleton,rBicCZG4vg0,-0.6999999999999998,2014-12-09 16:48:02,True,True
2014-12-09T16:48:39,i'm sorry wilson....,0,0,Tate Gibbs,rBicCZG4vg0,-0.5,2014-12-09 16:48:39,True,True
2014-12-09T16:56:29,"Seems that I'm the only person,, who is wandering what this movie about. :/",0,0,Gadgetbig,rBicCZG4vg0,-0.125,2014-12-09 16:56:29,True,True
2014-12-09T17:01:43,Chills! Def worth an imax trip! Amazing how tall they were but also sad how many people had to jump that awful day.,0,0,sean ceasar,rBicCZG4vg0,-0.004999999999999982,2014-12-09 17:01:43,True,True
2014-12-09T17:02:58,Heres an idea: let's make a trailer about something vague as all hell and subtlety hint at 9/11! They totally won't see that coming! -_- Good music though.,3,8,Tony Arevalo,rBicCZG4vg0,0.024999999999999984,2014-12-09 17:02:58,True,True
2014-12-09T17:03:00,The visuals make this seem like a parody of something.,0,0,Tipsheda,rBicCZG4vg0,0.0,2014-12-09 17:03:00,True,True
2014-12-09T17:05:23,It looks like a dance movie ,0,0,nullnullnull,rBicCZG4vg0,0.0,2014-12-09 17:05:23,True,True
2014-12-09T17:09:36,"The movie is about their(the guy and the building) love story, and how everything is possible..",3,0,Sunshine,rBicCZG4vg0,0.25,2014-12-09 17:09:36,True,True
2014-12-09T17:11:33,"What's the point of this film? There's already an academy award winning documentary on Philippe Petit crossing the twin towers on a rope called 'Man on Wire'. It's superb, watch Man on Wire rather than this crap",12,6,nachocheese154,rBicCZG4vg0,0.175,2014-12-09 17:11:33,True,True
2014-12-09T17:24:30,3d seems a bit unnecessary,1,0,Wade Jodeh,rBicCZG4vg0,-0.4,2014-12-09 17:24:30,True,True
2014-12-09T17:29:02,"""True Story""...",0,0,FuPlaayz,rBicCZG4vg0,0.35,2014-12-09 17:29:02,True,True
2014-12-09T17:32:05,"I really want to see this, but at the same time I'm afraid of the vertigo it will cause.",0,0,Frieda Claxton,rBicCZG4vg0,-0.13333333333333333,2014-12-09 17:32:05,True,True
2014-12-09T17:33:10,He looks like marky mark ,0,0,aburgess514,rBicCZG4vg0,0.0,2014-12-09 17:33:10,True,True
2014-12-09T17:35:22,This movie about the WTC is just too soon. In fact this movie should have never been made.  Lets start a campaign to boycott it now. ,13,30,MCPrimetime,rBicCZG4vg0,0.0,2014-12-09 17:35:22,True,True
2014-12-09T17:40:09,They have to show HELICOPTERS AND FIGHTER JETS firing at him while he tries to walk on wire - to make this movie (based on the greatest documentary 'Man on Wire') Dramatic Enough for the Worldwide Blockbuster Audience. LOL. ,5,2,Michael M,rBicCZG4vg0,0.21111111111111114,2014-12-09 17:40:09,True,True
2014-12-09T17:45:14,INTERSTELLAR SOUNDTRACK?????,0,1,Daniel Suarez,rBicCZG4vg0,0.0,2014-12-09 17:45:14,True,True
2014-12-09T17:58:03,why 3D,0,0,soren ansari,rBicCZG4vg0,0.0,2014-12-09 17:58:03,True,True
2014-12-09T17:58:24,"Wire Walker? You mean INSIDE JOB TALKER?!?! 9/11 WAS ALL BUSH, AND I BET THIS KID HAD SOMETHIN TO DO WITH IT!!!!!!",0,0,Awesomeness Hippopotamus,rBicCZG4vg0,-1.0,2014-12-09 17:58:24,True,True
2014-12-09T18:00:04,"Wait, is this a film about the guy who walked between the Twin Towers. If so there is already a documentary about him, and a really good documentary at that.",1,0,Mediamonsta95,rBicCZG4vg0,0.2333333333333333,2014-12-09 18:00:04,True,True
2014-12-09T18:07:12,So I guess Hollywood has run out of decent stories to make movies about. Nice try anyway. ,0,0,Philip August,rBicCZG4vg0,0.3833333333333333,2014-12-09 18:07:12,True,True
2014-12-09T18:11:39,Now this is what I'm talking about.,1,0,netscape82,rBicCZG4vg0,0.0,2014-12-09 18:11:39,True,True
2014-12-09T18:20:24,"EXCELLENT. One of the most engaging, creative trailers I've ever seen; a Story in and of itself. I Love it.  —Now; let's see if the *movie* can even come CLOSE ...",0,0,SuperLuminal Man,rBicCZG4vg0,0.58,2014-12-09 18:20:24,True,True
2014-12-09T18:21:25,Made my butthole hurt,55,3,WeWatchedAMovie,rBicCZG4vg0,0.0,2014-12-09 18:21:25,True,True
2014-12-09T18:25:46,but why? there was already a documentary,0,0,Julia,rBicCZG4vg0,0.0,2014-12-09 18:25:46,True,True
2014-12-09T18:33:50,this is how trailers supposed to be made <3 ,0,0,Anna Neprawskey,rBicCZG4vg0,1.0,2014-12-09 18:33:50,True,True
2014-12-09T18:35:37,looks like a story about a ballerina ? donno ,0,0,Anna Neprawskey,rBicCZG4vg0,0.0,2014-12-09 18:35:37,True,True
2014-12-09T18:35:43,this looks like trash,0,0,Smuddy,rBicCZG4vg0,0.0,2014-12-09 18:35:43,True,True
2014-12-09T18:43:47,"A guy doing ballerina on the edge of a skyscraper, 10/10 would watch ",0,0,Elementz,rBicCZG4vg0,0.0,2014-12-09 18:43:47,True,True
2014-12-09T18:48:12,"A film about tight rope walking, interesting..",0,0,Daenerys Targaryen,rBicCZG4vg0,0.1607142857142857,2014-12-09 18:48:12,True,True
2014-12-09T18:49:49,""" A True Story """,0,0,Marvin Pacay,rBicCZG4vg0,0.35,2014-12-09 18:49:49,True,True
2014-12-09T18:54:40,Everything about this trailer makes me feel like it was made in early 2000's,0,0,Bucket,rBicCZG4vg0,0.1,2014-12-09 18:54:40,True,True
