timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2016-07-28T13:02:27,"Whatever you say about him, there's no denying Mel Gibson is a talented man.",0,0,oi oi,s2-1hz1juBI,0.7,2016-07-28 13:02:27,True,True
2016-07-28T13:05:31,Awesome!,0,0,Michael Korotkih,s2-1hz1juBI,1.0,2016-07-28 13:05:31,True,True
2016-07-28T13:11:07,Feeling more than patriotism,0,0,Namita Sing,s2-1hz1juBI,0.5,2016-07-28 13:11:07,True,True
2016-07-28T13:16:13,Mel Gibson may have his personal problems but there's no denying he's one damn good director.,177,7,ATW Tech - Alpha R2,s2-1hz1juBI,0.35,2016-07-28 13:16:13,True,True
2016-07-28T13:17:30,"Another war movie ,Hail America !",2,2,Michael Corleone,s2-1hz1juBI,0.0,2016-07-28 13:17:30,True,True
2016-07-28T13:21:11,Еслиб еще субтитры были на руском,1,0,Twister 41Ster,s2-1hz1juBI,0.0,2016-07-28 13:21:11,True,True
2016-07-28T13:22:49,Garfield's acting seems uninspired.,27,10,Marcai,s2-1hz1juBI,-0.25,2016-07-28 13:22:49,True,True
2016-07-28T13:25:22,Great to see Mel Gibson back on track.,0,0,DecarabiaSatanachia,s2-1hz1juBI,0.4,2016-07-28 13:25:22,True,True
2016-07-28T13:30:14,"God, you can really hear the Aussie/Brit accents in that trailer.Why not just cast Americans ffs!.Looks very melodramatic too.",3,0,LQ,s2-1hz1juBI,0.2,2016-07-28 13:30:14,True,True
2016-07-28T13:32:08,"Mel went from indie movie Mad Max to superstardom bc of his awesome acting and directing skills. I don't know the man,what problems he has,but he went from rags to riches.",0,0,Thomas Larson,s2-1hz1juBI,0.09375,2016-07-28 13:32:08,True,True
2016-07-28T13:32:34,Mad Mel is back!,7,0,Stephen Davis,s2-1hz1juBI,-0.3125,2016-07-28 13:32:34,True,True
2016-07-28T13:37:02,wrong casting. american story with all british australian actors.,1,3,DongHyun Lee,s2-1hz1juBI,-0.125,2016-07-28 13:37:02,True,True
2016-07-28T13:41:12,He's no Eastwood.,2,3,KFC,s2-1hz1juBI,0.0,2016-07-28 13:41:12,True,True
2016-07-28T13:47:03,Looks Amazing :D :D,0,0,TheBlackViking,s2-1hz1juBI,0.8666666666666667,2016-07-28 13:47:03,True,True
2016-07-28T13:51:44,So forest gump meets war film. Yawn.,0,0,ruthlessandevil,s2-1hz1juBI,0.0,2016-07-28 13:51:44,True,True
2016-07-28T13:52:10,Am I the only one that thought this was just cheesy,5,4,Raphael Soria,s2-1hz1juBI,-0.25,2016-07-28 13:52:10,True,True
2016-07-28T13:55:29,Mel Gibson est de retour !,12,11,Le ciné-club de M. Bobine,s2-1hz1juBI,0.0,2016-07-28 13:55:29,True,True
