timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2014-06-17T15:13:48,Fuck yeah,0,0,Faim Gfc,sTte6BQndTQ,-0.4,2014-06-17 15:13:48,True,True
2014-06-17T15:31:40,Where is mockingjay? ??? I NEED IT NOWWW PLZZZZ ITS MY ONLY HOPEEE HOPEEEEEEE!!!,0,0,molly,sTte6BQndTQ,0.0,2014-06-17 15:31:40,True,True
2014-06-17T15:58:59,Bridge Over The River Kwai.. If you know what I'm referring to you are old school.,27,5,Lionheart Mind Explosion,sTte6BQndTQ,0.1,2014-06-17 15:58:59,True,True
2014-06-17T16:27:22,Lionsgate and the mockingjay trailer ????? Whennnn ???,0,0,Juan Villamil,sTte6BQndTQ,0.0,2014-06-17 16:27:22,True,True
2014-06-17T16:40:42,I liked the trailer but I hope that the celebration scene at the end of this trailer is not part of the ending to the movie. I hate it when movie trailers have the last shot of the movie. ,1,0,David Kang,sTte6BQndTQ,-0.0666666666666667,2014-06-17 16:40:42,True,True
2014-06-17T16:52:53,No Chuck Norris? meh.....,0,4,Andros,sTte6BQndTQ,0.0,2014-06-17 16:52:53,True,True
2014-06-17T17:58:40,So Sweet !!!,0,0,Winston Price,sTte6BQndTQ,0.68359375,2014-06-17 17:58:40,True,True
2014-06-17T18:15:03,Que reparto Tan! Fake!!!,0,0,BIMARA,sTte6BQndTQ,-0.9765625,2014-06-17 18:15:03,True,True
2014-06-17T18:49:43,Bet Ford says one of his Star Wars one liners- Never tell me the odds,34,9,Mahesh Walatara,sTte6BQndTQ,0.0,2014-06-17 18:49:43,True,True
2014-06-17T18:50:01, so excited :D :d :D,0,0,Ilija Zivkovic,sTte6BQndTQ,0.7916666666666666,2014-06-17 18:50:01,True,True
2014-06-17T18:57:54,Damn my dick has a dick and my nuts grew bigger watching this trailer . I couldn't breathe for like 5 mins man !!!!! This trailer just took my soul out .... Fuck this movie looks so fuckin good !!! Can't wait ! I can't out in to words on how amazing this looks ,0,0,Gilbert Espino,sTte6BQndTQ,0.30000000000000004,2014-06-17 18:57:54,True,True
2014-06-17T19:03:45,What's the song?,0,5,Nat W.,sTte6BQndTQ,0.0,2014-06-17 19:03:45,True,True
2014-06-17T19:04:55,"wtf, did i just see the whole movie? ",1,0,Frank Holguin,sTte6BQndTQ,-0.15,2014-06-17 19:04:55,True,True
2014-06-17T19:11:27,Not much Jet Li in the trailer,1,1,myalen100,sTte6BQndTQ,-0.1,2014-06-17 19:11:27,True,True
2014-06-17T19:17:45,"this is crazy movie, there are so many old people that we know of, they are going old school with this",0,0,Z The Gamerz,sTte6BQndTQ,0.02500000000000001,2014-06-17 19:17:45,True,True
2014-06-17T19:29:22,friggin' awesome,0,0,Christine Rouselle,sTte6BQndTQ,1.0,2014-06-17 19:29:22,True,True
2014-06-17T19:29:43,"This should be a fun ride, with all the ""Hollywood"" muscle anybody can handle. Looking forward to it!",0,0,Scott H. Duke,sTte6BQndTQ,0.375,2014-06-17 19:29:43,True,True
2014-06-17T19:33:35,If only theyd make an xbox one game of this series. Tht garbage tht was on 360 dnt count. ,0,0,the1&only,sTte6BQndTQ,-0.2,2014-06-17 19:33:35,True,True
2014-06-17T19:42:22,recipe to make your trailer even more awesome : add eminem done !,6,0,AJoX,sTte6BQndTQ,0.75,2014-06-17 19:42:22,True,True
2014-06-17T19:46:45,So beautiful. ,0,0,ahmad dana,sTte6BQndTQ,0.85,2014-06-17 19:46:45,True,True
2014-06-17T19:51:05,Victor Ortiz?!,0,0,B P,sTte6BQndTQ,0.0,2014-06-17 19:51:05,True,True
2014-06-17T19:55:34,эмейзинг ёпта!!!,0,0,Artur Hakimov,sTte6BQndTQ,0.0,2014-06-17 19:55:34,True,True
