timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2014-11-26T15:59:56,Erster!! Na spaß fuck off,2,0,Hemant Sharma,vioeOGABBMY,-0.4,2014-11-26 15:59:56,True,True
2014-11-26T16:07:25,Den muss ich anschauen ,0,0,Space Core,vioeOGABBMY,0.0,2014-11-26 16:07:25,True,True
2014-11-26T16:29:10,Das sieht aus wie ein ziemlicher schrottfilm...,8,4,Arane Bär,vioeOGABBMY,0.0,2014-11-26 16:29:10,True,True
2014-11-26T16:29:11,Fuck you ,0,0,SimplySo,vioeOGABBMY,-0.4,2014-11-26 16:29:11,True,True
2014-11-26T16:33:12,sieht gut aus..,0,0,x AllStar28 x,vioeOGABBMY,0.0,2014-11-26 16:33:12,True,True
2014-11-26T16:55:38,Fuck You,1,0,soma,vioeOGABBMY,-0.4,2014-11-26 16:55:38,True,True
2014-11-26T16:56:29,geil,1,0,Andi,vioeOGABBMY,0.0,2014-11-26 16:56:29,True,True
2014-11-26T17:13:17,Warum kommen manche Trailer bei euch so spät? Habe diesen schon vor 2 Wochen gesehen...,0,4,H00PER,vioeOGABBMY,0.0,2014-11-26 17:13:17,True,True
2014-11-26T18:08:58,"Geil, Mark Wallberg! Der knüppelt auch nur Filme raus in letzter Zeit. Werd ich gucken :)",2,0,De oppresso liber,vioeOGABBMY,0.5,2014-11-26 18:08:58,True,True
2014-11-26T18:21:26,schneit es lohnt sich balad ins Kino zu gehen ,0,0,Alexandru Neagu,vioeOGABBMY,0.0,2014-11-26 18:21:26,True,True
2014-11-26T18:50:41,"Sehr geiler Trailer, man hat nicht direkt die ganze Story gespoilert =) JF",15,0,NLC | Network Marketing | Das Business des 21. Jahrhunderts,vioeOGABBMY,0.5,2014-11-26 18:50:41,True,True
2014-11-26T20:06:02,:),0,0,Genius,vioeOGABBMY,0.5,2014-11-26 20:06:02,True,True
2014-11-26T22:21:52,Fuck You!,0,0,Alex Reflex,vioeOGABBMY,-0.5,2014-11-26 22:21:52,True,True
