timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2019-09-12T08:06:00,First💙,1,0,BEN GAMER,vo4m0nPDm9Y,0.0,2019-09-12 08:06:00,True,True
2019-09-12T08:06:10,💙Supscribe💝me💙,0,0,BEN GAMER,vo4m0nPDm9Y,0.0,2019-09-12 08:06:10,True,True
2019-09-12T08:07:22,Third 😄,1,0,DipZie,vo4m0nPDm9Y,0.0,2019-09-12 08:07:22,True,True
2019-09-12T08:07:45,Can't wait!!!!!!!,2,0,TargLife,vo4m0nPDm9Y,0.0,2019-09-12 08:07:45,True,True
2019-09-12T08:16:46,Fact: i despise Christmas films but this. This we can work with,532,11,Gryffindore7,vo4m0nPDm9Y,0.0,2019-09-12 08:16:46,True,True
2019-09-12T08:29:58,This is everything I asked for Christmas ♥️😭,185,3,Iris Paola Resquin Duré,vo4m0nPDm9Y,0.0,2019-09-12 08:29:58,True,True
2019-09-12T08:48:17,AHHH GEORGE I MISS U,17,2,Kaixoo Aeri,vo4m0nPDm9Y,0.0,2019-09-12 08:48:17,True,True
2019-09-12T09:00:43,Pls everyone let’s try and get Last Christmas to number one this year 💕🎅🏼🎁❄️🤶🏼⛄️🎄,19,4,Kate X,vo4m0nPDm9Y,0.0,2019-09-12 09:00:43,True,True
2019-09-12T09:09:10,Emilia is literally a ball of sunshine,636,1,Richa Eudela,vo4m0nPDm9Y,0.0,2019-09-12 09:09:10,True,True
2019-09-12T09:35:01,"This is gonna be literally her last christmas, shes gonna die at the end",85,4,Derrick Williams,vo4m0nPDm9Y,0.0,2019-09-12 09:35:01,True,True
2019-09-12T09:38:41,He's either a ghost or her guardian angel 🤔 ... Or else...,223,22,tanah liat,vo4m0nPDm9Y,0.0,2019-09-12 09:38:41,True,True
2019-09-12T10:20:37,miss emilia clarke singing!!! i love this ❤❤❤,47,0,d a n y,vo4m0nPDm9Y,0.5,2019-09-12 10:20:37,True,True
2019-09-12T10:46:44,"I hope there will be a lot of young people who listen to the music of George Michael in winter 2019.🎼🎵🎶🎛🎧📻 Plus, Wham! will go to No. 1 with the single 'Last Christmas'.👍",3,0,ᄌᄒᄌ,vo4m0nPDm9Y,0.01785714285714286,2019-09-12 10:46:44,True,True
2019-09-12T12:28:35,"Yeah, he's still not real. I'll also still see it.",64,2,bison1203,vo4m0nPDm9Y,-0.1,2019-09-12 12:28:35,True,True
2019-09-12T12:30:32,What is the trailer song at the end ?,1,1,R K,vo4m0nPDm9Y,0.0,2019-09-12 12:30:32,True,True
2019-09-12T13:46:04,"that was a good movie, thanks for uploading it on youtube.",5,0,Unusual Mind,vo4m0nPDm9Y,0.44999999999999996,2019-09-12 13:46:04,True,True
2019-09-12T14:32:39,"I don't know what the movie is about but I want to see it. So this now a Wham movie. First the Beatles, Elton John and now Wham??",9,1,Audrey Kennedy,vo4m0nPDm9Y,0.25,2019-09-12 14:32:39,True,True
2019-09-12T15:03:27,lsahdkjdshfjkh I'm already IN LOVE with this movie!! BUT it would have been even better if they hadn't spoiled about 50% of the movie AND the plot twist in TWO trailers lol Imma still watch it 54684354564 times though. That's for certain :'),4,0,Lilly J.,vo4m0nPDm9Y,0.5738839285714286,2019-09-12 15:03:27,True,True
2019-09-12T15:50:43,Ah I can't wait anything with George Michael music. Emilia is someone you WANT to be friends with looks fun :),21,0,Chanel Fitzgerald,vo4m0nPDm9Y,0.4,2019-09-12 15:50:43,True,True
2019-09-12T16:55:40,Emilia has an amazing voice,25,0,Is that a chicken,vo4m0nPDm9Y,0.6000000000000001,2019-09-12 16:55:40,True,True
2019-09-12T18:09:53,Crazy Rich Targaryen,246,0,Nhon Trong,vo4m0nPDm9Y,-0.11249999999999999,2019-09-12 18:09:53,True,True
2019-09-12T18:23:50,Emilia Clarke singing!!!! who doesn’t fall in love with Emilia Clarke ❤️,45,0,Judith Villarin,vo4m0nPDm9Y,0.5,2019-09-12 18:23:50,True,True
2019-09-12T19:01:45,"emilia works awesome, but the guy is generic af",5,1,uzi zizu,vo4m0nPDm9Y,0.5,2019-09-12 19:01:45,True,True
2019-09-12T22:53:17,He is definitely a ghost or a figment of her imagination. Assuming it was his heart she got in the operation. 😉,178,20,KitKat Savoy,vo4m0nPDm9Y,0.0,2019-09-12 22:53:17,True,True
2019-09-13T00:21:36,Emilia is so beautiful wow !!!!!!!!!!!!!!!!!!!!!!!!!!!!,9,0,mattias mizznoin,vo4m0nPDm9Y,0.925,2019-09-13 00:21:36,True,True
2019-09-13T00:50:12,She's gonna die at the end and give her heart to henryyyyy 😔,0,0,Mari Kov,vo4m0nPDm9Y,0.0,2019-09-13 00:50:12,True,True
2019-09-13T04:29:56,Cant wait for this one to come out...,0,0,BJ Truax,vo4m0nPDm9Y,0.0,2019-09-13 04:29:56,True,True
2019-09-13T06:18:32,Bahaha the mother and son from Crazy Rich Asians is here😂,964,7,Jimkookie BangTan,vo4m0nPDm9Y,-0.11249999999999999,2019-09-13 06:18:32,True,True
2019-09-13T07:16:34,Me Before You actress + Crazy Rich Asian actor = So exciting can't wait to watch it. 😍,44,1,Johanie Bashary,vo4m0nPDm9Y,0.018750000000000003,2019-09-13 07:16:34,True,True
2019-09-13T07:49:30,They make cute couple !,1,1,TELEVISIBLE,vo4m0nPDm9Y,0.625,2019-09-13 07:49:30,True,True
2019-09-13T08:50:00,not digging this but she's mah queen,2,0,echolot,vo4m0nPDm9Y,0.0,2019-09-13 08:50:00,True,True
2019-09-13T13:36:48,Nothing says Xmas like interracial marriage. puke.,2,1,HEAT SEEKER,vo4m0nPDm9Y,0.0,2019-09-13 13:36:48,True,True
2019-09-13T15:49:54,I would watch anything as long as it has Emilia.,16,0,romarssi everything!!,vo4m0nPDm9Y,-0.05,2019-09-13 15:49:54,True,True
2019-09-13T17:48:31,He’s the guy who gave HER his heart because he is the heart donor,59,8,Nina C.,vo4m0nPDm9Y,0.0,2019-09-13 17:48:31,True,True
2019-09-13T19:30:45,"Emilia, such a sweet girl",8,0,revelink nation,vo4m0nPDm9Y,0.175,2019-09-13 19:30:45,True,True
2019-09-13T20:38:35,Never have I wanted to watch a Christmas movie until this,0,0,ORLA,vo4m0nPDm9Y,0.0,2019-09-13 20:38:35,True,True
2019-09-13T21:54:11,"Unadulterated, bland, uninspired shite.",0,0,backtothefuture1066,vo4m0nPDm9Y,-0.08888888888888886,2019-09-13 21:54:11,True,True
2019-09-14T02:03:19,😍😍😍 Last Christmas .... (Sing),0,0,Togi Mulana Sihaloho,vo4m0nPDm9Y,0.0,2019-09-14 02:03:19,True,True
2019-09-14T06:11:57,Love this already,0,0,D10NN3 B,vo4m0nPDm9Y,0.5,2019-09-14 06:11:57,True,True
2019-09-14T06:34:04,2:58 LOOOOOOOOOOOOOOL,2,2,heartlessface,vo4m0nPDm9Y,0.0,2019-09-14 06:34:04,True,True
