timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2018-08-29T15:00:36,First,1,0,Ганнибал TM,w4GtJB5WAlQ,0.25,2018-08-29 15:00:36,True,True
2018-08-29T15:01:16,Seconds No. 😊😊 2Seconds vives,1,0,Shoot- Em-Up Gaming,w4GtJB5WAlQ,0.0,2018-08-29 15:01:16,True,True
2018-08-29T15:01:18,Sometimes I gotta like my own comment to get the ball rolling,428,12,Daniel Garcia,w4GtJB5WAlQ,0.6,2018-08-29 15:01:18,True,True
2018-08-29T15:01:27,21st viewer,4,0,Smartphone Ka Smarty,w4GtJB5WAlQ,0.0,2018-08-29 15:01:27,True,True
2018-08-29T15:01:31,Can’t wait to see this after Venom,1,0,WeenIsLickAh,w4GtJB5WAlQ,0.0,2018-08-29 15:01:31,True,True
2018-08-29T15:01:44,Second and awesome,0,0,Dharma Lingam,w4GtJB5WAlQ,0.5,2018-08-29 15:01:44,True,True
2018-08-29T15:02:20,Whiplash > La La Land,122,10,K K,w4GtJB5WAlQ,0.0,2018-08-29 15:02:20,True,True
2018-08-29T15:03:39,49 viewer,0,0,ken x,w4GtJB5WAlQ,0.0,2018-08-29 15:03:39,True,True
2018-08-29T15:04:05,Interesting science fiction movies,4,2,GreenCassidy,w4GtJB5WAlQ,0.5,2018-08-29 15:04:05,True,True
2018-08-29T15:04:19,2018下半年最期待的電影！有Ryan就給讚 ❤️ 光是預告片就讓人震撼不已！ 感覺會在戲院哭死😭,5,0,張耕齊,w4GtJB5WAlQ,0.0,2018-08-29 15:04:19,True,True
2018-08-29T15:04:20,✌I m waiting. 😱😱,0,0,Sujai R,w4GtJB5WAlQ,0.0,2018-08-29 15:04:20,True,True
2018-08-29T15:04:43,10th,0,0,Nick Godhakya,w4GtJB5WAlQ,0.0,2018-08-29 15:04:43,True,True
2018-08-29T15:04:52,First man who travels to moon,0,0,rakesh arora,w4GtJB5WAlQ,0.25,2018-08-29 15:04:52,True,True
2018-08-29T15:05:01,LOVE U RYAN GOSLING,1,0,arjun PeaKsz,w4GtJB5WAlQ,0.5,2018-08-29 15:05:01,True,True
2018-08-29T15:05:04,Release in Tamil 🙂😎✌️,4,0,Paul walker,w4GtJB5WAlQ,0.0,2018-08-29 15:05:04,True,True
2018-08-29T15:05:13,ROMANTIC HERO IS BACK,1,0,arjun PeaKsz,w4GtJB5WAlQ,0.0,2018-08-29 15:05:13,True,True
2018-08-29T15:05:16,I'm the 50th viewer 😂😂😂😂,0,0,Thangadurai Rajoo,w4GtJB5WAlQ,0.0,2018-08-29 15:05:16,True,True
2018-08-29T15:05:32,I'm the 50th viewer 😂😂😂😂,0,0,Thangadurai Rajoo,w4GtJB5WAlQ,0.0,2018-08-29 15:05:32,True,True
2018-08-29T15:05:48,Inception HORNNNNNNN...,0,0,Richard Li,w4GtJB5WAlQ,0.0,2018-08-29 15:05:48,True,True
2018-08-29T15:06:05,50 views  84 likes YouTube sometimes goes crazy,9,1,Shoren Kenji,w4GtJB5WAlQ,-0.6,2018-08-29 15:06:05,True,True
2018-08-29T15:06:17,Excited.,0,0,D E X I L,w4GtJB5WAlQ,0.375,2018-08-29 15:06:17,True,True
2018-08-29T15:06:18,Did I just saw the entire movie??,0,1,praveen reddy,w4GtJB5WAlQ,0.0,2018-08-29 15:06:18,True,True
2018-08-29T15:06:27,Im here to soon ... I should here if this video reach trending,0,0,Nicholas Krisna,w4GtJB5WAlQ,0.0,2018-08-29 15:06:27,True,True
2018-08-29T15:06:32,So awesome So amazing  So fantastic  And exilent  Very nice movie first man I waiting this  movie plz give me one ❤,0,0,COSMIC STUDIOS,w4GtJB5WAlQ,0.6060000000000001,2018-08-29 15:06:32,True,True
2018-08-29T15:07:01,Oscar for Ryan Gosling and Claire Foy,0,0,Jack Sam,w4GtJB5WAlQ,0.0,2018-08-29 15:07:01,True,True
