timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2016-12-01T17:21:38,drama like it has to be,0,0,Murad Sharm,waTEbgLYG-g,0.0,2016-12-01 17:21:38,True,True
2016-12-01T17:30:42,interesting,1,0,Say What Again i Dare you i Double Dare you!,waTEbgLYG-g,0.5,2016-12-01 17:30:42,True,True
2016-12-01T17:45:02,"It was almost bearable, but when that pop song kicked in.. I was done. This looks shit.",324,24,ChildOfTheSun32,waTEbgLYG-g,-0.2,2016-12-01 17:45:02,True,True
2016-12-01T18:01:00,"So is the curly hair guy Jesus? and the other people angels? And when she says ""I never left you, I never left Missy"" does that mean she was their families guardian angel?",0,2,Danny Zerka,waTEbgLYG-g,-0.109375,2016-12-01 18:01:00,True,True
2016-12-01T18:02:06,So excited about this movie. Read the book. It was wonderful. Can't wait to see this movie. It's a must watch for all who want to know my Living God. Please when is it going to be released.,5,0,Dorcas Osei-Poku,waTEbgLYG-g,0.6875,2016-12-01 18:02:06,True,True
2016-12-01T18:03:03,i was done after 40 secs smh,14,2,Sanghera Namjeet,waTEbgLYG-g,0.0,2016-12-01 18:03:03,True,True
2016-12-01T18:03:45,A must watch for all who want to know JESUS,11,26,Dorcas Osei-Poku,waTEbgLYG-g,0.0,2016-12-01 18:03:45,True,True
2016-12-01T18:06:57,Where the hell is Shaq?,0,0,Dr Phot,waTEbgLYG-g,0.0,2016-12-01 18:06:57,True,True
2016-12-01T18:23:32,STOP WATCHING THIS AT 38 SECONDS...  IF YOUR NOT ALREADY INTERESTED THE SPOILERS I'M ARE AFTER SO JUST DONT...,0,0,Chino Vash,waTEbgLYG-g,0.25,2016-12-01 18:23:32,True,True
2016-12-01T18:24:14,Interesting.,0,0,Frederick Weeks Jr.,waTEbgLYG-g,0.5,2016-12-01 18:24:14,True,True
2016-12-01T18:24:54,This movie honestly don't make any sense,2,0,Ali Hussein,waTEbgLYG-g,0.6,2016-12-01 18:24:54,True,True
2016-12-01T18:31:34,"Are they saying Gracie, Lucy, or Missy?",6,6,NejiHina100,waTEbgLYG-g,0.0,2016-12-01 18:31:34,True,True
2016-12-01T18:34:07,"i swear this is basically the same storyline as collateral beauty? Dad loses child, and has weird visions and people telling him life is bigger than that",3,2,Ali Mallett,waTEbgLYG-g,-0.2,2016-12-01 18:34:07,True,True
2016-12-01T18:34:59,"I'm not on the same page with god right now and while I was still going to church and my friend suggested this book, I was hesitant. I ended up reading the whole thing because I LOVE how the writer described god. It's not just a man. He appears to you in the form or person you needs most at the moment and the main character needed a strong female to comfort him. Not a man telling him. That's what I loved most and I don't know if I will ever be so close to God, but I know that if I need him, he will come to me in the way he thinks is best.",67,28,NejiHina100,waTEbgLYG-g,0.3896103896103896,2016-12-01 18:34:59,True,True
2016-12-01T18:44:20,"0:59, it's always sunnier on the other side.",0,0,Jon Curry,waTEbgLYG-g,-0.125,2016-12-01 18:44:20,True,True
2016-12-01T18:45:02,Dafaqqqqq,0,0,Cool Guy,waTEbgLYG-g,0.0,2016-12-01 18:45:02,True,True
2016-12-01T18:58:01,It's kinda like What Dreams May Come,0,0,CO,waTEbgLYG-g,0.0,2016-12-01 18:58:01,True,True
2016-12-01T19:02:34,"Well this looks like an hour and 45 minutes of ""DO YOU SEE HOW EMOTIONAL WE CAN MAKE THIS?  LOOK, A *DEAD* CHILD!  AND MALE EMOTIONS!  AND ETHNIC CHARACTERS!  SO BEAUTIFUL!""",366,26,Hayden Vandenbrink,waTEbgLYG-g,0.1875,2016-12-01 19:02:34,True,True
2016-12-01T19:05:02,Wtf,1,0,Vincent Roy,waTEbgLYG-g,-0.5,2016-12-01 19:05:02,True,True
2016-12-01T19:10:26,"Book was fantastic, can't wait to see this!",2,0,Mark Davies,waTEbgLYG-g,0.5,2016-12-01 19:10:26,True,True
2016-12-01T19:12:05,A christian movie eh?,0,0,DOMINOSMOFO,waTEbgLYG-g,0.0,2016-12-01 19:12:05,True,True
2016-12-01T19:15:58,It's funny cause she's called Missy and then she goes missing... haah.. Anyway the movie looks like shit :),20,3,Jonathan Anderson,waTEbgLYG-g,0.0875,2016-12-01 19:15:58,True,True
2016-12-01T19:18:23,"Every true Christian knows the shack is massively heretical, read your bible",0,0,jhrdcchtgvdskujhb,waTEbgLYG-g,0.11666666666666665,2016-12-01 19:18:23,True,True
2016-12-01T19:24:12,what's the point to show the whole movie in nowadays trailers!!!!!!,1,0,muslim lovesjesus,waTEbgLYG-g,0.762939453125,2016-12-01 19:24:12,True,True
2016-12-01T19:25:36,I already know that dude in the garage is the kidnapper.,0,0,Aventus Arentino,waTEbgLYG-g,0.0,2016-12-01 19:25:36,True,True
2016-12-01T19:25:56,"So, the god almighty is willing to help a father in coming to terms with his child murdered (or worse) but not willing to save an innocent child from being murdered in the first place? Such moral, much mysterious, wow!",1,0,PzFalconer,waTEbgLYG-g,0.06666666666666667,2016-12-01 19:25:56,True,True
2016-12-01T19:29:24,So the start of Prisoners mixed with a bit of Collateral Beauty but all of it really crap and sappy.,0,0,Kebab Master,waTEbgLYG-g,-0.4,2016-12-01 19:29:24,True,True
2016-12-01T19:30:57,This is a movie for people who can't handle reality.,18,6,Bendc1970A1,waTEbgLYG-g,0.0,2016-12-01 19:30:57,True,True
2016-12-01T19:36:21,I don't get it. Looks like two films mashed together,0,1,Robby Mcrobrob,waTEbgLYG-g,0.0,2016-12-01 19:36:21,True,True
2016-12-01T19:38:55,fuck this shit,1,0,Noe Díaz,waTEbgLYG-g,-0.30000000000000004,2016-12-01 19:38:55,True,True
2016-12-01T19:52:44,"This is basically Collateral Beauty, but with a white Will Smith.",0,0,nemes1s,waTEbgLYG-g,0.0,2016-12-01 19:52:44,True,True
2016-12-01T19:55:13,fuck this thought i was gonna be a cool thriller horror movie tss some bulahit religios crap again,8,3,adrian yellow,waTEbgLYG-g,-0.2833333333333334,2016-12-01 19:55:13,True,True
2016-12-01T19:55:53,"They could make a twist, and at the end of the movie he gets his revenge on the serial killer while his ""vision friends"" all stand around with wide eyes and mouths agape while Sam smiles satisfied.",21,1,captainsewerrat,waTEbgLYG-g,0.2,2016-12-01 19:55:53,True,True
2016-12-01T20:10:10,"I have read the book and found it to be very imocional, makes you think, feel, and i don't know if i am gonna watch the movie but that book changed my point of view in some things, considering the religion, and i can't say that im all that much religious but i have a different perspective about it, all a can say is that i understand it know. People, be good 2 one another.",0,0,Petra,waTEbgLYG-g,0.22499999999999998,2016-12-01 20:10:10,True,True
2016-12-01T20:14:52,"Just a simple warning to anyone of the Christian faith who plans to see this, the story heavily pushes universalism, which is the belief that God saves everyone, and it negates everything having to do with Christ or the cross. The author of the book believed Jesus to be a liar and a crook. Watch it if you want. I'm just throwing that out there.",0,0,Jason Keene,waTEbgLYG-g,-0.05,2016-12-01 20:14:52,True,True
2016-12-01T20:14:54,if anyone has never seen the book or listen to the audio book you should listen to this it's extremely good,0,0,RagingStarLight,waTEbgLYG-g,0.7,2016-12-01 20:14:54,True,True
2016-12-01T20:16:51,"Damn, for a second I thought this was going to be a good movie....",0,0,Kevin B,waTEbgLYG-g,0.35,2016-12-01 20:16:51,True,True
2016-12-01T20:17:13,"I must have read this book a hundred times, there were times when I cried while reading it. It has such a beautiful message, I hope you give this movie a chance like I will. If not, then you should definitely read the book. God bless😊",0,0,writing Nomad caster,waTEbgLYG-g,0.2833333333333333,2016-12-01 20:17:13,True,True
2016-12-01T20:17:19,"Wait a sec, he just met God by going to a shack in the forest! Where is that forest , I need to find that shack so I can get some questions answered!!!!",15,6,boxertest,waTEbgLYG-g,-0.30517578125,2016-12-01 20:17:19,True,True
2016-12-01T20:19:26,"Damn, Sam Worthington's career has dropped to a massive low when he's in a religious propaganda shit-fest. I really hope he's able to make a come back with Avatar 2.",10,0,senseisifu,waTEbgLYG-g,0.08571428571428572,2016-12-01 20:19:26,True,True
2016-12-01T20:20:40,Don't need to see that... but damn I love Octavia Spencer!,0,0,Dharzjinion,waTEbgLYG-g,0.625,2016-12-01 20:20:40,True,True
2016-12-01T20:21:09,"So this is one of those ""sweet"" stories where every Austrailian actor spends the whole movie whispering in American accents??",7,0,Bill Proud,waTEbgLYG-g,0.18333333333333335,2016-12-01 20:21:09,True,True
