timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2013-11-14T20:25:52,1st,0,0,its Lordy,xsKHweFi7AU,0.0,2013-11-14 20:25:52,True,True
2013-11-14T20:26:33,Ehhhhhhhhhhhh... This trailer is meh compared to the other ones...,0,1,idh0530,xsKHweFi7AU,-0.125,2013-11-14 20:26:33,True,True
2013-11-14T20:26:33,1st,0,0,its Lordy,xsKHweFi7AU,0.0,2013-11-14 20:26:33,True,True
2013-11-14T20:26:46,Boom,0,0,its Lordy,xsKHweFi7AU,0.0,2013-11-14 20:26:46,True,True
2013-11-14T20:28:57,Awesome,0,0,Canal do Ferry,xsKHweFi7AU,1.0,2013-11-14 20:28:57,True,True
2013-11-14T20:30:06,First comment batches ahahahaha,0,0,Almalki Basem,xsKHweFi7AU,0.25,2013-11-14 20:30:06,True,True
2013-11-14T20:30:08,First comment batches ahahahaha,0,0,Almalki Basem,xsKHweFi7AU,0.25,2013-11-14 20:30:08,True,True
2013-11-14T20:30:46,Awesome.....:D,1,8,Theminoxclimb,xsKHweFi7AU,0.0,2013-11-14 20:30:46,True,True
2013-11-14T20:30:46,Very excited for Tuesday!,1,3,Timothy Hafer,xsKHweFi7AU,0.609375,2013-11-14 20:30:46,True,True
2013-11-14T20:31:04,i love this game :D,10,0,CsOkee932,xsKHweFi7AU,0.3666666666666667,2013-11-14 20:31:04,True,True
2013-11-14T20:31:19,First,0,0,Max Hamon,xsKHweFi7AU,0.25,2013-11-14 20:31:19,True,True
2013-11-14T20:32:32,5 more days til it comes out on PC!,10,0,CipherFiveZero,xsKHweFi7AU,0.625,2013-11-14 20:32:32,True,True
2013-11-14T20:32:41,Nice,0,0,JackSlajter,xsKHweFi7AU,0.6,2013-11-14 20:32:41,True,True
2013-11-14T20:33:20,This looks ALOT better then the undergound crap,86,1,Freddie Craven,xsKHweFi7AU,-0.15000000000000002,2013-11-14 20:33:20,True,True
2013-11-14T20:33:34,POLISH,0,0,GGOHAS,xsKHweFi7AU,0.0,2013-11-14 20:33:34,True,True
2013-11-14T20:33:58,AWESOME 1 MORE DAY UNTIL I CAN PLAY ON THE PS4!!!!!,12,1,Alberto A. Jr.,xsKHweFi7AU,1.0,2013-11-14 20:33:58,True,True
2013-11-14T20:34:11,best game ever!!!!!!,14,0,Luchezar Iliev,xsKHweFi7AU,0.0,2013-11-14 20:34:11,True,True
2013-11-14T20:34:13,"Ребята, вы лучшие)))",13,0,Arslan Mimidiminov,xsKHweFi7AU,0.0,2013-11-14 20:34:13,True,True
2013-11-14T20:34:30,#need for speed underground 3,47,3,Kevynny santos,xsKHweFi7AU,0.0,2013-11-14 20:34:30,True,True
2013-11-14T20:34:33,"I don't know if the game will ass beautiful as in this trailer, but it s really impressionant",25,1,Arnaud Lacroix,xsKHweFi7AU,0.21666666666666665,2013-11-14 20:34:33,True,True
2013-11-14T20:36:02,geil,0,0,TagJam,xsKHweFi7AU,0.0,2013-11-14 20:36:02,True,True
2013-11-14T20:39:03,The bloody best game (NFS HOT PURSUIT BECAUSE ITS THE BEST GAME IN THE NFS SERIES),0,0,Alex TheLion,xsKHweFi7AU,0.1083333333333333,2013-11-14 20:39:03,True,True
2013-11-14T20:41:58,Really amazing game!!!! Waiting for it!,0,0,Avsten,xsKHweFi7AU,-0.19999999999999996,2013-11-14 20:41:58,True,True
