timestamp,text,like_count,reply_count,author,trailer_id,sentiment_score,datetime,used_for_model,used_for_visualization
2015-06-18T18:31:48,Nice man peanut. %~~~~,0,0,Breezy,zQpUQPrAfQM,0.6,2015-06-18 18:31:48,True,True
2015-06-18T19:50:53,What happened to the old peanuts music?,73,7,Ysmael Ocampo,zQpUQPrAfQM,0.1,2015-06-18 19:50:53,True,True
2015-06-18T20:03:38,https://www.kickstarter.com/projects/772378471/the-legend-of-everett-forge-issue-1-fire-and-brims,0,0,Scott Wilke,zQpUQPrAfQM,0.0,2015-06-18 20:03:38,True,True
2015-06-18T20:07:08,SO CUTE,0,0,Paula Kater,zQpUQPrAfQM,0.5,2015-06-18 20:07:08,True,True
2015-06-18T20:09:39,REMAKES REMAKES REMAKES SEQUELS SEQUELS SEQUELS We're too scared to come up with anything original because money!,47,21,YAH21,zQpUQPrAfQM,0.46875,2015-06-18 20:09:39,True,True
2015-06-18T20:17:30,"I just felt like a kid again for 2 minutes and 53 seconds. What a throwback, this looks awesome!",1,0,Endergizer,zQpUQPrAfQM,1.0,2015-06-18 20:17:30,True,True
2015-06-18T20:49:49,I thing this looks pretty good..,1,0,CompleteAura,zQpUQPrAfQM,0.475,2015-06-18 20:49:49,True,True
2015-06-18T20:55:22,Song?,0,1,Patrick Tawns,zQpUQPrAfQM,0.0,2015-06-18 20:55:22,True,True
2015-06-18T20:59:40,music doesn't really fit,285,21,SpookDogg,zQpUQPrAfQM,0.4,2015-06-18 20:59:40,True,True
2015-06-18T21:03:09,yay im excited!!,0,0,Christy,zQpUQPrAfQM,0.5859375,2015-06-18 21:03:09,True,True
2015-06-18T21:39:25,looks like Hollywood is FINNALY doing something good!,145,2,samsquanch1996,zQpUQPrAfQM,0.875,2015-06-18 21:39:25,True,True
2015-06-18T21:43:30,Omg my childhood,9,0,BTSArmy,zQpUQPrAfQM,0.0,2015-06-18 21:43:30,True,True
2015-06-18T21:44:59,nice art style,5,0,Cosmic Amy,zQpUQPrAfQM,0.6,2015-06-18 21:44:59,True,True
2015-06-18T22:14:02,Holy shite,0,0,Burnt Jef,zQpUQPrAfQM,0.0,2015-06-18 22:14:02,True,True
2015-06-18T22:19:32,"they spoiler like, the whole movie",52,7,atenahena,zQpUQPrAfQM,0.2,2015-06-18 22:19:32,True,True
2015-06-18T22:25:26,no no NO NO NOOOOO.,0,0,Vinny Balbo,zQpUQPrAfQM,0.0,2015-06-18 22:25:26,True,True
2015-06-18T22:49:40,i LOOOOOOVE IT!!!!! CANT WAAAAIT!!!!!,0,0,WestCoastTRUTH,zQpUQPrAfQM,0.0,2015-06-18 22:49:40,True,True
2015-06-18T22:57:06,My soul just imploded and exploded at the same time.   I don't know whether to feel happy or sad.,0,0,William Stevens,zQpUQPrAfQM,0.10000000000000002,2015-06-18 22:57:06,True,True
2015-06-18T23:19:23,"If anyone could get beaned in a baseball game against snowmen, it's Charlie Brown.",0,0,dukevega1972,zQpUQPrAfQM,-0.4,2015-06-18 23:19:23,True,True
2015-06-18T23:32:11,First. FIRST OMG THIS IS MY FIRST TIME BEING ON THE COMMENT LIST!!! GOTTA MAKE MY TIME WORTHWHILE!!!  *puffs in air*  I'M SOOOOOOO gonna be in the middle with this movie. Hope it stent doesn't pander to a demographic and just try to be what Peanut's always was: good ol fun.,4,2,D'angelo JacobHymenShits,zQpUQPrAfQM,0.42354910714285715,2015-06-18 23:32:11,True,True
2015-06-18T23:45:30,Take my money,2,0,fran zamor,zQpUQPrAfQM,0.0,2015-06-18 23:45:30,True,True
2015-06-19T00:10:01, I'm a young teenage boy who doesn't know who the peanuts are because I'm to busy playing video games and blogging on social media so can some older individual explain this to me.﻿,27,12,Jim joe Kelly,zQpUQPrAfQM,0.06666666666666667,2015-06-19 00:10:01,True,True
2015-06-19T00:30:01,"love this style, really reflects the 2d cartoon",16,0,seanthebrawn,zQpUQPrAfQM,0.35,2015-06-19 00:30:01,True,True
2015-06-19T01:01:13,The songs covered all racial markets,0,0,FunkMasterKRoc,zQpUQPrAfQM,0.0,2015-06-19 01:01:13,True,True
2015-06-19T01:01:55,i thought i heard the narrator say penis,0,1,John,zQpUQPrAfQM,0.0,2015-06-19 01:01:55,True,True
2015-06-19T01:22:03,11/10 This movie is God-tier.,6,0,Boogster Su,zQpUQPrAfQM,0.0,2015-06-19 01:22:03,True,True
2015-06-19T01:29:50,I really hope the younger generation gets the peanuts.,99,3,J Rock,zQpUQPrAfQM,0.1,2015-06-19 01:29:50,True,True
2015-06-19T02:18:39,Not sure if I should be getting my hopes up for this...,0,0,Steven Holmes,zQpUQPrAfQM,-0.25,2015-06-19 02:18:39,True,True
2015-06-19T02:28:01,Looks dope,1,0,SMAYE,zQpUQPrAfQM,0.0,2015-06-19 02:28:01,True,True
2015-06-19T03:44:15,I was honestly having a really bad day until I saw this. I'm so excited! ❤️,3,0,Angela Maixmo,zQpUQPrAfQM,0.12291666666666672,2015-06-19 03:44:15,True,True
2015-06-19T04:45:50,13 people are blockheads,0,0,NFVideodrome,zQpUQPrAfQM,0.0,2015-06-19 04:45:50,True,True
2015-06-19T04:57:46,This is making me feel all nostalgic and shit,0,0,NameIsZ,zQpUQPrAfQM,-0.35,2015-06-19 04:57:46,True,True
2015-06-19T05:27:47,Old but gold.,3,0,Jacob GoFlex,zQpUQPrAfQM,0.1,2015-06-19 05:27:47,True,True
2015-06-19T07:04:23,Why 3d?,0,5,James Santiago,zQpUQPrAfQM,0.0,2015-06-19 07:04:23,True,True
2015-06-19T07:48:42,I can't wait!!!,1,0,cinamooon,zQpUQPrAfQM,0.0,2015-06-19 07:48:42,True,True
2015-06-19T07:56:04,"Honestly one of the most original and memorable quotes (in my opinion anyways) is ""Charlie Brown, you Blockhead!"" ",2,0,Darwin Aguilero,zQpUQPrAfQM,0.525,2015-06-19 07:56:04,True,True
2015-06-19T10:01:38,This looks sucky . . .,0,2,decunamus2,zQpUQPrAfQM,0.0,2015-06-19 10:01:38,True,True
2015-06-19T11:24:49,"Wow, Snoopy rarely showed his love for Charlie in that obvious way before. But I like it! A lot!",23,0,ANdy Reacts,zQpUQPrAfQM,0.225,2015-06-19 11:24:49,True,True
2015-06-19T13:41:37,LjhbghLuna  ￼     ,0,0,Ngọc Diệp Nguyễn,zQpUQPrAfQM,0.0,2015-06-19 13:41:37,True,True
2015-06-19T13:53:17, Stop at 2:40 😂,3,0,My Leg Official Vine,zQpUQPrAfQM,0.0,2015-06-19 13:53:17,True,True
2015-06-19T18:44:59,What is their not to love about this trailer!!! Finally a little fan service,1,0,Chris Kioone,zQpUQPrAfQM,0.39453125,2015-06-19 18:44:59,True,True
2015-06-19T19:40:56,song?,2,1,LuisGerardo S.M.,zQpUQPrAfQM,0.0,2015-06-19 19:40:56,True,True
2015-06-19T20:48:10,"Marketing-Only Pop Songs aside, I'm REALLY excited to see this now! Looks like a ton of fun and the animation looks fantastic! :D",0,0,The MilanToon Channel,zQpUQPrAfQM,0.5671875,2015-06-19 20:48:10,True,True
2015-06-19T21:28:12,Doesn't look that good to me.,0,0,All Around the World Experiments,zQpUQPrAfQM,0.7,2015-06-19 21:28:12,True,True
2015-06-19T21:33:06,"The moving truck ""Mendelson & Melendez Moving Co"" seen at 0:06 pays homage to a couple of Peanuts producers.  Lee Mendelson was the Executive Producer on the Peanuts animated special, ""A Charlie Brown Christmas"" among others, and Bill Melendez was the person responsible for turning the Peanuts characters into animated characters first for Ford commercials and later for the TV specials.  Melendez was also the voice for Snoopy and Woodstock.",7,3,Mark Paul,zQpUQPrAfQM,0.2017857142857143,2015-06-19 21:33:06,True,True
2015-06-19T22:57:18,The t-pain music was pretty random and took me out for a second ,0,0,Action Scott,zQpUQPrAfQM,-0.08333333333333333,2015-06-19 22:57:18,True,True
2015-06-19T22:59:00,I'm calling it now RugRats movie 2018 new animation! Just like this watch you'll see.,1,2,Action Scott,zQpUQPrAfQM,0.17045454545454544,2015-06-19 22:59:00,True,True
2015-06-20T01:18:19,This looks amazing.,1,0,Fitness Enthusiast,zQpUQPrAfQM,0.6000000000000001,2015-06-20 01:18:19,True,True
2015-06-20T01:57:34,0.o,0,0,Dameleon,zQpUQPrAfQM,0.0,2015-06-20 01:57:34,True,True
