movie_title,key_words
Guardians of the Galaxy,Guardians of the Galaxy
The Hunger Games: Mockingjay - Part 1,"The Hunger Games,Mockingjay"
Captain America: The Winter Soldier,"Captain America,The Winter Soldier"
The Lego Movie,The Lego
Transformers: Age of Extinction,"Transformers,Age of Extinction"
Maleficent,Maleficent
X-Men: Days of Future Past,"X-Men,Days of Future Past"
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes
Big Hero 6,Big Hero 6
The Amazing Spider-Man 2,The Amazing Spider-Man
Godzilla,Godzilla
22 Jump Street,22 Jump Street
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
The Hobbit: The Battle of the Five Armies,"The Hobbit,The Battle of the Five Armies"
Interstellar,Interstellar
How to Train Your Dragon 2,How to Train Your Dragon 2
Gone Girl,Gone Girl
Divergent,Divergent
Neighbors,Neighbors
Ride Along,Ride Along
Rio 2,Rio 2
Lucy,Lucy
The Fault in Our Stars,The Fault in Our Stars
Mr. Peabody & Sherman,"Mr,Peabody,Sherman"
300: Rise of an Empire,"300,Rise of an Empire"
The Maze Runner,The Maze Runner
Noah,Noah
The Equalizer,The Equalizer
Edge of Tomorrow,Edge of Tomorrow
Non-Stop,Non-Stop
Heaven Is for Real,Heaven Is for Real
Fury,Fury
Dumb and Dumber To,Dumb and Dumber To
Tammy,Tammy
Annabelle,Annabelle
The Other Woman,The Other Woman
Let's Be Cops,"Let,Be Cops"
The Monuments Men,The Monuments Men
Penguins of Madagascar,Penguins of Madagascar
Hercules,Hercules
The Purge: Anarchy,"The Purge,Anarchy"
Night at the Museum: Secret of the Tomb,"Night at the Museum,Secret of the Tomb"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible,Horrible,No Good,Very Bad Day"
Think Like a Man Too,Think Like a Man Too
The Nut Job,The Nut Job
Into the Woods,Into the Woods
Unbroken,Unbroken
God's Not Dead,"God,Not Dead"
Son of God,Son of God
Planes: Fire & Rescue,"Planes,Fire,Rescue"
The Grand Budapest Hotel,The Grand Budapest Hotel
RoboCop,RoboCop
Annie,Annie
Dracula Untold,Dracula Untold
Exodus: Gods and Kings,"Exodus,Gods and Kings"
The Hundred-Foot Journey,The Hundred-Foot Journey
No Good Deed,No Good Deed
Horrible Bosses 2,Horrible Bosses 2
Muppets Most Wanted,Muppets Most Wanted
Ouija,Ouija
Jack Ryan: Shadow Recruit,"Jack Ryan,Shadow Recruit"
The Boxtrolls,The Boxtrolls
If I Stay,If I Stay
The Book of Life,The Book of Life
About Last Night,About Last Night
Into the Storm,Into the Storm
Jersey Boys,Jersey Boys
The Judge,The Judge
Blended,Blended
The Giver,The Giver
Need for Speed,Need for Speed
A Million Ways to Die in the West,A Million Ways to Die in the West
St. Vincent,"St,Vincent"
John Wick,John Wick
Dolphin Tale 2,Dolphin Tale 2
The Expendables 3,The Expendables 3
Earth to Echo,Earth to Echo
Sex Tape,Sex Tape
Million Dollar Arm,Million Dollar Arm
This Is Where I Leave You,This Is Where I Leave You
Paranormal Activity: The Marked Ones,"Paranormal Activity,The Marked Ones"
Nightcrawler,Nightcrawler
Chef,Chef
Get on Up,Get on Up
3 Days to Kill,3 Days to Kill
Deliver Us from Evil,Deliver Us from Evil
When the Game Stands Tall,When the Game Stands Tall
Draft Day,Draft Day
Oculus,Oculus
The Best of Me,The Best of Me
A Walk Among the Tombstones,A Walk Among the Tombstones
That Awkward Moment,That Awkward Moment
The November Man,The November Man
Birdman,Birdman
Boyhood,Boyhood
Endless Love,Endless Love
The Theory of Everything,The Theory of Everything
Pompeii,Pompeii
Transcendence,Transcendence
"As Above, So Below","As Above,So Below"
Top Five,Top Five
Brick Mansions,Brick Mansions
The Imitation Game,The Imitation Game
Wild,Wild
"I, Frankenstein","I,Frankenstein"
The Gambler,The Gambler
The Legend of Hercules,The Legend of Hercules
Bears,Bears
Addicted,Addicted
A Haunted House 2,A Haunted House 2
A Most Wanted Man,A Most Wanted Man
Begin Again,Begin Again
The Single Moms Club,The Single Moms Club
Devil's Due,"Devil,Due"
And So It Goes,And So It Goes
Step Up All In,Step Up All In
Beyond the Lights,Beyond the Lights
America: Imagine the World Without Her,"America,Imagine the World Without Her"
Left Behind,Left Behind
Sin City: A Dame to Kill For,"Sin City,A Dame to Kill For"
Labor Day,Labor Day
Winter's Tale,"Winter,Tale"
Belle,Belle
The Drop,The Drop
Magic in the Moonlight,Magic in the Moonlight
Sabotage,Sabotage
Moms' Night Out,"Mom,Night Out"
The Quiet Ones,The Quiet Ones
Legends of Oz: Dorothy's Return,"Legends of Oz,Dorothy,Return"
Jurassic World,Jurassic World
